License Number,Facility Name,Street Address,City,Parish,Facility Phone Number,License Capacity,License Type,License Status,Age Range,Operation Days,Director,Director Designee
429,Life Church Academy,13271 Highway 90,Boutte,ST. CHARLES,9857852456,229,Type III ,Open,2 M To 12 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Jamie Matherne,Glenn Zetsch
431,Allen Action Agency Inc Kinder Center,1409 Carver Street,Kinder,ALLEN,3373629946,63,Type III ,Open,3 Y To 7 Y,Monday From: 07:30 To: 15:00 / Tuesday From: 07:30 To: 15:00 / Wednesday From: 07:30 To: 15:00 / Thursday From: 07:30 To: 15:00 / Friday From: 07:30 To: 15:00,Sandy  Brick ; VICKIE  TUNWAR,BROOKLYN JOHNSON
436,First Baptist Child Care,1400 Nolan Trce,Leesville,VERNON,3372390199,134,Type II ,Open,6 W To 12 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,Ethel Thornton,Rachel Packer; Wanda  Hall
439,Emmanuel Baptist Church Preschool,1200 Farmerville Hwy,Ruston,LINCOLN,3182558491,121,Type III ,Open,6 W To 12 Y,Monday From: 07:25 To: 17:30 / Tuesday From: 07:25 To: 17:30 / Wednesday From: 07:25 To: 17:30 / Thursday From: 07:25 To: 17:30 / Friday From: 07:25 To: 17:30,Kathy Mitchell; Amanda Martin,
441,"Nanny's Preschool and Child Development Center, Inc.",1415 Peterman Dr,Alexandria,RAPIDES,3184456857,96,Type III ,Open,1 Y To 12 Y,Monday From: 06:30 To: 17:15 / Tuesday From: 06:30 To: 17:15 / Wednesday From: 06:30 To: 17:15 / Thursday From: 06:30 To: 17:15 / Friday From: 06:30 To: 17:15,Tami Hughes,Sharon Fuglaar
449,St. Lucy Daycare and Child Development Center,1224 Aycock Street,Houma,TERREBONNE,9858761246,104,Type III ,Open,12 M To 12 Y,Monday From: 06:30 To: 17:15 / Tuesday From: 06:30 To: 17:15 / Wednesday From: 06:30 To: 17:15 / Thursday From: 06:30 To: 17:15 / Friday From: 06:30 To: 17:15,Courtney Virgin,Sherrel Butler
457,Young Years Prep,216 Sand Beach Blvd,Shreveport,CADDO,3187974462,330,Type III ,Open,2 Y To 14 Y,Monday From: 07:00 To: 18:00 / Tuesday From: 07:00 To: 18:00 / Wednesday From: 07:00 To: 18:00 / Thursday From: 07:00 To: 18:00 / Friday From: 07:00 To: 18:00,Sterling Young,Cristen Foshee; Deborah Staples
459,University United Methodist Day School,3501 Patrick St,Lake Charles,CALCASIEU,3374784347,171,Type III ,Open,6 W To 11 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Katherine Stewart,Amy Hathaway; Jessica Meche
462,Trinity Heights Baptist Church Daycare,3820 Old Mooringsport Rd,Shreveport,CADDO,3182211971,240,Type I ,Open,12 W To 12 Y,Monday From: 07:00 To: 18:00 / Tuesday From: 07:00 To: 18:00 / Wednesday From: 07:00 To: 18:00 / Thursday From: 07:00 To: 18:00 / Friday From: 07:00 To: 18:00,Emily Johnson,
488,Lakeview Presbyterian Weekday School,5915 Louis Xiv St,New Orleans,ORLEANS,5044882172,82,Type I ,Open,12 M To 7 Y,Monday From: 07:45 To: 16:00 / Tuesday From: 07:45 To: 16:00 / Wednesday From: 07:45 To: 16:00 / Thursday From: 07:45 To: 16:00 / Friday From: 07:45 To: 16:00,Angelle Guepet,
506,KinderCare Learning Center,11349 Greenwell Springs Rd,Baton Rouge,EAST BATON ROUGE,2252730932,100,Type III ,Open,6 W To 12 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,Jamesia Webster,
516,"Sugar 'N Spice Acadiana's Preschool, Inc.",166 S Beadle Rd,Lafayette,LAFAYETTE,3372346568,234,Type III ,Open,6 W To 14 Y,Monday From: 06:45 To: 17:45 / Tuesday From: 06:45 To: 17:45 / Wednesday From: 06:45 To: 17:45 / Thursday From: 06:45 To: 17:45 / Friday From: 06:45 To: 17:45,Alexis Stoute-Desormeaux,Sarah Leblanc
520,Amite Baptist Preschool and Daycare,7100 Amite Church Road,Denham Springs,LIVINGSTON,2256652060,235,Type I ,Open,6 W To 12 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,Jennifer Baker,
525,Kiddee Korner Inc.,4300 Saint Ann St,New Orleans,ORLEANS,5044502883,35,Type II ,Open,6 W To 12 Y,Monday From: 07:30 To: 16:00 / Tuesday From: 07:30 To: 16:00 / Wednesday From: 07:30 To: 16:00 / Thursday From: 07:30 To: 16:00 / Friday From: 07:30 To: 16:00,ALISON KRAMER,
536,St. Andrew's Pre-School,17510 Monitor Ave,Baton Rouge,EAST BATON ROUGE,2257539877,148,Type I ,Open,6 M To 13 Y,Monday From: 09:00 To: 14:00 / Tuesday From: 09:00 To: 14:00 / Wednesday From: 09:00 To: 14:00 / Thursday From: 09:00 To: 14:00 / Friday From: 09:00 To: 14:00,Christy Holstein,
548,Parkview Baptist Preschool,5750 Parkview Church Rd,Baton Rouge,EAST BATON ROUGE,2252912500,442,Type I ,Open,6 W To 6 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Liberty Cheatham,
549,C.N.Burrell Sr. Christian Academy,9185 Wilbur St,Baton Rouge,EAST BATON ROUGE,2257756442,90,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Sharon McNeely,
550,Cedarwood School EC,607 Heavens Dr,Mandeville,ST. TAMMANY,9858457111,239,Type III ,Open,6 W To 4 Y,Monday From: 08:00 To: 16:00 / Tuesday From: 08:00 To: 16:00 / Wednesday From: 08:00 To: 16:00 / Thursday From: 08:00 To: 16:00 / Friday From: 08:00 To: 16:00,Amy Haley,Kendall  Smith
559,Parkview Baptist Early Learning Center,6301 Camphor St,Metairie,JEFFERSON,5044560115,121,Type III ,Open,6 W To 5 Y,Monday From: 07:00 To: 17:00 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:00 / Thursday From: 07:00 To: 17:00 / Friday From: 07:00 To: 17:00,James Reed,Lisa Lopez
562,Country Day School of BR,4455 North Blvd,Baton Rouge,EAST BATON ROUGE,2259284042,104,Type II ,Open,4 M To 5 Y,Monday From: 07:30 To: 17:30 / Tuesday From: 07:30 To: 17:30 / Wednesday From: 07:30 To: 17:30 / Thursday From: 07:30 To: 17:30 / Friday From: 07:30 To: 17:30,Amy Laureles; Carla Schild,Faith Laureles
571,The Rocking Chair Daycare,821 Haring Rd,Metairie,JEFFERSON,5047330137,25,Type I ,Open,5 W To 16 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Debra  Barrouquere; Debra Barrouquere,
574,"Kids Are People Too, Inc.",17211 Old Jefferson Highway,Prairieville,ASCENSION,2256738625,86,Type III ,Open,6 W To 14 Y,Monday From: 06:45 To: 18:00 / Tuesday From: 06:45 To: 18:00 / Wednesday From: 06:45 To: 18:00 / Thursday From: 06:45 To: 18:00 / Friday From: 06:45 To: 18:00,Jamie Broussard; Michelle Raborn,Marcie Boultinghouse
577,Memorial Baptist Early Learning Center,5701 Veterans Memorial Blvd,Metairie,JEFFERSON,5044557635,142,Type I ,Open,6 W To 4 Y,Monday From: 07:00 To: 18:00 / Tuesday From: 07:00 To: 18:00 / Wednesday From: 07:00 To: 18:00 / Thursday From: 07:00 To: 18:00 / Friday From: 07:00 To: 18:00,Heidi Bock,Rachel Ehrman
590,Comite Child Development Center,12250 Greenwell Springs Rd,Baton Rouge,EAST BATON ROUGE,2252732699,94,Type I ,Open,6 W To 12 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,Christian Bell,
593,Country Place Day Care Inc,1045 Bellevue Rd,Haughton,BOSSIER,3189493786,57,Type III ,Open,12 M To 13 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,Dianne Farr,Andrea Parks
613,Hickory Day Care Inc,620 Hickory Ave,Harahan,JEFFERSON,5047375305,58,Type I ,Open,6 W To 5 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Tina Wellman,
657,St. Timothy's Episcopal Preschool,1101 Belle Alliance Dr,La Place,ST. JOHN,9856527001,56,Type I ,Open,2 Y To 5 Y,Monday From: 08:00 To: 15:00 / Tuesday From: 08:00 To: 15:00 / Wednesday From: 08:00 To: 15:00 / Thursday From: 08:00 To: 15:00 / Friday From: 08:00 To: 15:00,Kathleen Giovingo,
704,St. George Nursery School,10064 Kinglet Dr,Baton Rouge,EAST BATON ROUGE,2252910299,41,Type I ,Open,6 W To 15 Y,Monday From: 07:45 To: 15:30 / Tuesday From: 07:45 To: 15:30 / Wednesday From: 07:45 To: 15:30 / Thursday From: 07:45 To: 15:30 / Friday From: 07:45 To: 15:30,Kelly Corsten,
717,KinderCare Learning Center,1188 Oneal Ln,Baton Rouge,EAST BATON ROUGE,2252724210,100,Type III ,Open,6 W To 5 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,LaTari  Cooks,
718,First United Methodist Childcare Center,2500 Military Rd Hwy 371,Ringgold,BIENVILLE,3188949707,43,Type I ,Open,6 W To 12 Y,Monday From: 07:00 To: 18:00 / Tuesday From: 07:00 To: 18:00 / Wednesday From: 07:00 To: 18:00 / Thursday From: 07:00 To: 18:00 / Friday From: 07:00 To: 18:00,Melanie Hutchins,
726,Christ the King Preschool,1001 W Esplanade Ave,Kenner,JEFFERSON,5044692909,112,Type I ,Open,2 Y To 5 Y,Thursday From: 08:30 To: 15:30 / Friday From: 08:30 To: 15:30 / Monday From: 08:30 To: 15:30 / Tuesday From: 08:30 To: 15:30 / Wednesday From: 08:30 To: 15:30,Maritza Sprague,Kristin Diaz; Tammy Ravain
731,Northlake Christian Early Learning Center,70104 Wolverine Dr,Covington,ST. TAMMANY,9856350403,216,Type III ,Open,6 W To 5 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Susan Hickey; Patricia Segura,
775,St. Aloysius Child Care Center,1957 Stuart Avenue,Baton Rouge,EAST BATON ROUGE,2253431338,275,Type III ,Open,6 W To 4 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Caitlin Boudreaux,Christine  Currier; Shaune  Wells; Nekooshia  Richardson
777,"Lollipops Play School, Inc.",110 Leonie St,Lafayette,LAFAYETTE,3379815856,40,Type I ,Open,6 W To 5 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Judith Trahan,
782,"Seven Oaks Academy of Louisiana, Inc",1901 36th St,Kenner,JEFFERSON,5044641144,163,Type I ,Open,12 M To 12 Y,Monday From: 07:00 To: 18:00 / Tuesday From: 07:00 To: 18:00 / Wednesday From: 07:00 To: 18:00 / Thursday From: 07:00 To: 18:00 / Friday From: 07:00 To: 18:00,Karen Bailey,Emelda Dessauer; Joan Klein; Christina Kives; Jenna Hellmers; Ashley Klein
786,Holy Family Pre-School,155 Holy Family Ln,Luling,ST. CHARLES,9857859244,126,Type I ,Open,12 M To 5 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Yvonne Pertuit,Teresa Majoria
788,Bossier OCS-Hooter Park Head Start,1519 Hooter Park St,Bossier City,BOSSIER,3187522171,289,Type III ,Open,34 M To 68 M,Monday From: 08:00 To: 16:00 / Tuesday From: 08:00 To: 16:00 / Wednesday From: 08:00 To: 16:00 / Thursday From: 08:00 To: 16:00 / Friday From: 08:00 To: 16:00,Sharon Paysinger,Virginia Hudson; Joyce Williams
794,"Years to Grow Daycare & Youth Camp, Inc",1206 Fortune Rd,Youngsville,LAFAYETTE,3378567336,225,Type I ,Open,6 W To 12 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,Jennifer Trahan; Tela Hebert,Rachel Romero; Cathy Melancon
797,Claiborne Christian Preschool,330 Laird St,West Monroe,OUACHITA,3183970990,305,Type III ,Open,6 W To 12 Y,Monday From: 06:45 To: 18:00 / Tuesday From: 06:45 To: 18:00 / Wednesday From: 06:45 To: 18:00 / Thursday From: 06:45 To: 18:00 / Friday From: 06:45 To: 18:00,Melinda Layfield,Wendy Wooley; Lacey  Spence; Sarah Tremaine
802,Gran's Learning Center,317 Rainbow Dr,Pineville,RAPIDES,3184437791,65,Type III ,Open,6 W To 8 Y,Monday From: 05:30 To: 18:00 / Tuesday From: 05:30 To: 18:00 / Wednesday From: 05:30 To: 18:00 / Thursday From: 05:30 To: 18:00 / Friday From: 05:30 To: 18:00,Ainsley Fontenot,
804,New Covenant Presbyterian Weekday School,4375 Highway 22,Mandeville,ST. TAMMANY,9856261627,64,Type I ,Open,1 Y To 15 Y,Monday From: 07:30 To: 17:00 / Tuesday From: 07:30 To: 17:00 / Wednesday From: 07:30 To: 17:00 / Thursday From: 07:30 To: 17:00 / Friday From: 07:30 To: 17:00,Katherine Cook,
