Type,License #,Name,Address,City,Zip,Phone,Email,Ages Served,Total Capacity,Capacity Under 3,Expiration Date,Legal Operator (LO),Address (LO),City (LO),Zip (LO)
Child Care Center,DCCC.12098,ROBERGE EARLY LEARNING CENTER,80 BERLIN RD,CROMWELL,06416-2602,860-635-0787,relcinc83@gmail.com,6 weeks-9 years,45,20,9/30/26,ROBERGE DAY CARE CENTER INC,80 BERLIN ROAD,CROMWELL,06416
Child Care Center,DCCC.12106,KENSINGTON NURSERY SCHOOL,185 SHELDON ST,BERLIN,06037-2039,860-828-7412,kcceducation@kensingtoncong.org,3 years-5 years,32,0,12/31/28,KENSINGTON CONGREGATIONAL CHURCH UCC,185 SHELDON STREET,BERLIN,05037
Child Care Center,DCCC.12108,YMCA CHILD DAY CARE CTR @ ANNIE FISHER SCHOOL,280 PLAINFIELD ST,HARTFORD,06112-1740,860-293-1966,rebecca.scheuer@ghymca.org,3 years-12 years,80,0,10/31/28,YMCA OF METROPOLITAN HARTFORD INC,50 STATE HOUSE SQ,HARTFORD,06103-3902
Child Care Center,DCCC.12115,MIDDLETOWN COOPERATIVE PRESCHOOL,440 WEST ST,MIDDLETOWN,06457-4007,860-276-7228,MCPTEACHER@MIDDLETOWNCOOP.ORG,6 weeks-5 years,25,16,10/31/28,MIDDLETOWN COOPERATIVE PRESCHOOL INC,440 WEST STREET,MIDDLETOWN,06457
Child Care Center,DCCC.12122,KIDDIE KOLLEGE NURSERY SCHOOL,246 BOSTON ST,GUILFORD,06437-2831,203-453-9846,director@kiddiekollegeguilford.org,2 years-5 years,29,8,4/30/26,BETH EL ASSEMBLY OF GOD CHURCH INC,246 BOSTON STREET,GUILFORD,06437
Child Care Center,DCCC.12127,BETHANY LUTHERAN NURSERY SCHOOL,1655 BOULEVARD,WEST HARTFORD,06107-2502,860-521-8782,nurseryschool@blcwh.org,3 years-5 years,20,0,10/31/28,BETHANY LUTHERAN CHURCH,1655 BOULEVARD,WEST HARTFORD,06107
Child Care Center,DCCC.12130,BRIGHT BEGINNINGS,185 W MAIN ST,PLANTSVILLE,06479-1131,860-621-9770,brightbeginningsct@gmail.com,6 weeks-10 years,56,20,12/31/28,BRIGHT BEGINNINGS INC,185 WEST MAIN STREET,PLANTSVILLE,06479
Child Care Center,DCCC.12132,CANAAN CHILD CARE CENTER,90 PEASE ST,CANAAN,06018-2026,860-824-0597,canaanchildcarecenter@gmail.com,3 years-11 years,66,0,9/30/26,CANAAN CHILD CARE CENTER INC,PO BOX 811,CANAAN,06018
Child Care Center,DCCC.12135,BLOOMFIELD PRESCHOOL AND CHILDCARE CENTER,10 WINTONBURY AVENUE,BLOOMFIELD,06002,860-242-0183,director@bloomfieldchildcarecenter.org,6 weeks-12 years,128,69,11/30/28,FIRST CONGREGATIONAL CHURCH,10 WINTONBURY AVENUE,BLOOMFIELD,05002
Child Care Center,DCCC.12138,HYLAND EARLY LEARNING CENTER,355 NEW BRITAIN AVE FL 1,HARTFORD,06106-3833,860-757-0701,jennifer.baglin@hartford.gov,2 years-12 years,65,8,9/30/26,CITY OF HARTFORD,550 MAIN STREET,HARTFORD,06103
Child Care Center,DCCC.12145,STEP-A-WAY NURSERY SCHOOL,423 MAIN ST,MONROE,06468-1136,203-261-4717,stepaway423@gmail.com,2 years-5 years,48,13,10/31/28,STEPNEY BAPTIST CHURCH INC,423 MAIN STREET,MONROE,06468
Child Care Center,DCCC.12155,NURSERY ON NOTCH HILL,320 NOTCH HILL RD,NORTH BRANFORD,06471-1858,203-481-0240,nurseryonnotchhill@gmail.com,18 months-10 years,24,7,10/31/28,ZION EPISCOPAL CHURCH,320 NOTCH HILL ROAD,BRANFORD,06471
Child Care Center,DCCC.12161,MOTHERS DAY OUT,35 SHELTON RD,TRUMBULL,06611-5132,203-377-7518,debpacknick@gmail.com,12 months-12 years,46,16,12/31/28,NICHOLS UNITED METHODIST CHURCH,35 SHELTON RD,TRUMBULL,06611-5132
Child Care Center,DCCC.12168,FIRST CHURCH ACADEMY FOR YOUNG CHILDREN,12 SOUTH MAIN STREET,WEST HARTFORD,06107,860-232-2106,dquinn@firstchurchacademy.org,6 weeks-5 years,100,24,1/31/29,FIRST CHURCH OF CHRIST CONGREGATIONAL INC,12 SOUTH MAIN STREET,WEST HARTFORD,06107
Child Care Center,DCCC.12181,NEIGHBORHOOD MUSIC SCHOOL PRESCHOOL & TODDLER PGM,100 AUDUBON ST,NEW HAVEN,06510-1206,203-506-2166,cmissakian@nmsnewhaven.org,6 weeks-5 years,35,8,12/31/28,NEIGHBORHOOD MUSIC SCHOOL INC,100 AUDUBON STREET,NEW HAVEN,06510
Child Care Center,DCCC.12183,MILFORD COOPERATIVE PRESCHOOL LEARNING CTR,1000 NEW HAVEN AVE,MILFORD,06460-6939,203-874-5869,milfordcooperativepreschool@gmail.com,3 years-8 years,25,0,11/30/28,MILFORD COOPERATIVE PRESCHOOL LEARNING CTR INC,PO BOX 3618,MILFORD,06460
Child Care Center,DCCC.12188,VILLAGE PRE-SCHOOL,141 GREENWOOD AVE,BETHEL,06801-2527,203-743-9497,sndbx12@gmail.com,6 weeks-12 years,79,16,11/30/28,UNITED METHODIST CHURCH,PO BOX 249,BETHEL,06801
Child Care Center,DCCC.12194,CALVIN HILL DAY CARE CTR-KLF KINDERGARTEN,150 HIGHLAND ST,NEW HAVEN,06511-2015,203-764-9350,susan@calvinhilldaycare.org,2 years-6 years,72,16,12/31/28,CALVIN HILL DAY CARE CENTER INC,150 HIGHLAND STREET,NEW HAVEN,06511
Child Care Center,DCCC.12197,WEE CARE DAY CARE,726 NORTH MAIN ST,MANCHESTER,06040-5106,860-649-6167,weecaredaycare3@aol.com,6 weeks-12 years,60,8,12/31/28,WEE CARE DAY CARE CENTER INC,726 NORTH MAIN STREET,MANCHESTER,06040
Child Care Center,DCCC.12200,KINDERCARE  LEARNING  CENTER #070220,1544 BYAM RD,CHESHIRE,06410-1003,203-574-2892,mbaribault@kindercare.com,6 weeks-12 years,67,32,12/31/28,KINDERCARE EDUCATION LLC,5005 MEADOWS RD STE 200,LAKE OSWEGO,97035-4288
Child Care Center,DCCC.12202,PARK NURSERY SCHOOL,283 BROADWAY,NORWICH,06360,860-889-6447,parknurseryschool@gmail.com,3 years-5 years,21,0,11/30/28,PARK NURSERY SCHOOL- BOARD OF DIRECTORS,283 BROADWAY,NORWICH,06360
Child Care Center,DCCC.12211,SUNNY SIDE UP EARLY CARE LEARNING CENTER,76 MAPLE AVENUE,NORTH HAVEN,06473,203-239-7395,ndower5071@aol.com,6 weeks-9 years,80,19,12/31/28,KJKJK  LLC,76 MAPLE AVENUE,NORTH HAVEN,06473
Child Care Center,DCCC.12213,COS COB COMMUNITY PRESCHOOL,54 BIBLE ST,COS COB,06807-2106,203-661-0182,coscobcommunitypreschool@greenwichct.org,3 years-5 years,32,0,10/31/28,TOWN OF GREENWICH- PARKS AND RECREATION DEPT,101 FIELD POINT RD,GREENWICH,06830-6463
Child Care Center,DCCC.12214,EAST GRANBY CONGREGATIONAL NURSERY SCHOOL,9 RAINBOW RD,EAST GRANBY,06026-9762,860-653-3913,egccns9@gmail.com,3 years-5 years,25,0,11/30/28,EAST GRANBY CONG CHURCH,PO BOX 390,EAST GRANBY,06026
Child Care Center,DCCC.12218,SOMERS COOPERATIVE PRESCHOOL,599 MAIN ST,SOMERS,06071-2101,860-698-0661,somerscooperativeinfo@gmail.com,3 years-5 years,20,0,12/31/28,COOPERATIVE PRESCHOOL ASSOCIATION OF SOMERSINC.,PO BOX 433,SOMERS,06071
Child Care Center,DCCC.12222,FIRST CHURCH PRESCHOOL,108 SOUND BEACH AVE,OLD GREENWICH,06870-1519,203-637-5430,Bethg@fccog.org,18 months-6 years,116,16,10/31/28,FIRST CONGREGATIONAL CHURCH OF GREENWICH,108 SOUND BEACH AVENUE,OLD GREENWICH,06870
Child Care Center,DCCC.12235,FIRST CONG CHURCH DARIEN NURSERY SCHOOL,14 BROOKSIDE ROAD,DARIEN,06820,203-655-3150,Kguarini@fccnurseryschool.org,18 months-5 years,128,16,1/31/29,FIRST CONGREGATIONAL CHURCH OF DARIEN,14 BROOKSIDE ROAD,DARIEN,06820
Child Care Center,DCCC.12242,CHILDREN'S PRESCHOOL,608 WHITNEY AVE,NEW HAVEN,06511-2219,203-777-2491,director@thechildrenspreschool.org,3 years-5 years,30,0,11/30/28,CHILDREN'S PRESCHOOL INC,608 WHITNEY AVENUE,NEW HAVEN,06511
Child Care Center,DCCC.12246,WEST NORWALK NURSERY SCHOOL,275 RICHARDS AVE,NORWALK,06850-2715,203-853-9060,klwechter@gmail.com,3 years-5 years,36,0,10/31/28,CHURCH COUNCIL- UNITED CONGREGATIONAL CHURCH,275 RICHARDS AVENUE,NORWALK,05850
Child Care Center,DCCC.12248,ST ANDREW'S CHILD CARE CENTER,1230 TOWNSEND AVE,NEW HAVEN,06513-4502,203-469-9000,standrewschildcarecenter@gmail.com,12 months-6 years,70,16,2/28/29,ST ANDREW'S UNITED METHODIST CHURCH,1230 TOWNSEND AVENUE,NEW HAVEN,06512
Child Care Center,DCCC.12250,NOROTON PRESBYTERIAN NURSERY SCHOOL,2011 POST ROAD,DARIEN,06820,203-655-3223,Director@npns.org,2 years-5 years,137,16,1/31/29,NOROTON PRESBYTERIAN CHURCH,2011 POST ROAD,DARIEN,06820
Child Care Center,DCCC.12252,TRINITY CHRISTIAN SCHOOL,180 PARK AVE,WINDSOR,06095-3343,860-688-2008,n.dagenhart@tcswindsor.org,3 years-12 years,67,0,11/30/28,TRINITY UNITED METHODIST CHURCH,180 PARK AVENUE,WINDSOR,06095
Child Care Center,DCCC.12254,CHURCHERY SCHOOL,867 WEST AVON ROAD,AVON,06001,860-675-6144,churcheryschool@yahoo.com,2 years-5 years,36,16,12/31/28,MEMORIAL UNITED METHODIST CHURCH,867 WEST AVON ROAD,AVON,06001
Child Care Center,DCCC.12260,UNITED DAY SCHOOL,69 WOLFE AVE,BEACON FALLS,06403-1119,203-729-9006,uniteddayschool@yahoo.com,3 years-13 years,48,0,12/31/28,UNITED DAY SCHOOL INC,69 WOLFE AVENUE,BEACON FALLS,06403
Child Care Center,DCCC.12262,COMMUNITY NURSERY SCHOOL OF GUILFORD,262 SACHEM'S HEAD ROAD,GUILFORD,06437,203-453-5500,racheldanielscns@gmail.com,3 years-10 years,36,0,11/30/28,COMMUNITY NRSRY SCH BOARD OF DIRECTORS,262 SACHEM'S HEAD ROAD,GUILFORD,06437
Child Care Center,DCCC.12264,KINDERCARE LEARNING CENTER #301247,494 CHAPEL RD,SOUTH WINDSOR,06074-4196,860-282-1379,southwindsor@kindercare.com,6 weeks-12 years,88,48,2/28/29,KINDERCARE LEARNING CENTERS LLC,650 NE HOLLADAY ST STE 1400,PORTLAND,97232-2096
Child Care Center,DCCC.12267,STERLING HOUSE PRESCHOOL,2283 MAIN ST,STRATFORD,06615-5920,203-378-2606,akapitan@sterlingcc.org,3 years-12 years,65,0,2/28/29,STERLING HOUSE COMMUNITY CENTER INC,2283 MAIN ST,STRATFORD,06615-5920
Child Care Center,DCCC.12283,NAUGATUCK YMCA PRESCHOOL AND EARLY LEARNING CENTER,284 CHURCH ST,NAUGATUCK,06770-4122,203-729-9622,rpaul@naugatuckymca.org,6 weeks-5 years,74,28,2/28/29,YOUNG MEN'S CHRISTIAN ASSOCIATION OF NAUGATUCK,284 CHURCH ST,NAUGATUCK,06770-4122
Child Care Center,DCCC.12291,COMMUNITY CO-OP NURSERY SCHOOL,4 TROLLEY PL,NORWALK,06853-2011,203-866-2184,admin@CCNSCT.org,18 months-5 years,46,8,12/31/28,COMMUNITY CO-OP NRSRY SCH INC,PO BOX 95,NORWALK,06853
Child Care Center,DCCC.12293,BEATRICE FOX AUERBACH EARLY CHILD CENTER,335 BLOOMFIELD AVE,WEST HARTFORD,06117-1543,860-231-6344,gpasternak@mandelljcc.org,3 months-12 years,300,56,10/31/28,JOYCE D. AND ANDREW J. MANDELL GREATER HARTFORD JEWISH COMMUNITY CENTER,335 BLOOMFIELD AVENUE,WEST HARTFORD,06117
Child Care Center,DCCC.12299,THE GRAUER PRESCHOOL,40 ARCH ST,GREENWICH,06830-6525,203-869-4848,Chogan@familycenters.org,3 years-5 years,55,0,11/30/28,FAMILY CENTERS INC,40 ARCH ST,GREENWICH,06830-6525
Child Care Center,DCCC.12304,EXTRAS,45 LINCOLN CITY RD,SALISBURY,06068-1711,860-435-9926,extrasprogram@gmail.com,5 years-12 years,60,0,3/31/29,TOWN OF SALISBURY,C/O LINCOLN CITY ROAD,LAKEVILLE,06039
Child Care Center,DCCC.12306,QUAKERLANE COOPERATIVE NURSERY SCHOOL,144 QUAKER LN S,WEST HARTFORD,06119-1636,860-523-9550,tracy.daly22@gmail.com,3 years-5 years,35,0,2/28/29,QUAKER LANE COOPERATIVE NURSERY SCHOOL INC,144 SOUTH QUAKER LANE,WEST HARTFORD,06119
Child Care Center,DCCC.12309,CHRIST CHURCH NURSERY SCHOOL- GREENWICH,254 E PUTNAM AVE,GREENWICH,06830-4801,203-869-5334,Jpurdy@christchurchgreenwich.org,18 months-5 years,127,8,1/31/29,CHRIST CHURCH,254 EAST PUTNAM AVENUE,GREENWICH,06830
Child Care Center,DCCC.12315,CLC PALMER'S HILL,64 PALMERS HILL RD,STAMFORD,06902-2113,203-323-5944,annawitkowski@clcstamford.org,3 years-5 years,170,0,12/31/28,CLC OF FAIRFIELD COUNTY INC.,64 PALMERS HILL RD,STAMFORD,06902-2113
Child Care Center,DCCC.12334,MECCA MARLBOROUGH ELEM CHILD CARE,25 SCHOOL DR,MARLBOROUGH,06447-1507,860-295-9400,meccachildren@gmail.com,3 years-12 years,82,0,3/31/29,MECCA INC,25 SCHOOL DRIVE,MARLBOROUGH,06447
Child Care Center,DCCC.12336,WINDSOR DISCOVERY CENTER & MONTESSORI SCHOOL,114 PALISADO AVE,WINDSOR,06095-2531,860-285-1400,casey@townofwindsorct.com,6 weeks-12 years,206,31,3/31/29,TOWN OF WINDSOR,114 PALISADO AVENUE,WINDSOR,06095
Child Care Center,DCCC.12340,ROUND HILL NURSERY SCHOOL,466 ROUND HILL RD,GREENWICH,06831-2640,203-869-4910,Cneiswonger@rhns.org,3 years-5 years,61,0,12/31/28,ROUND HILL NURSERY SCHOOL INC,466 ROUND HILL ROAD,GREENWICH,06830
Child Care Center,DCCC.12346,FIRST PRESBYTERIAN NURSERY SCHOOL,178 OENOKE RDG,NEW CANAAN,06840-4109,203-966-5234,swalker@fpns.net,3 years-5 years,71,0,2/28/29,FIRST PRESBYTERIAN NURSERY SCHOOL BOARD,178 OENOKE RIDGE,NEW CANAAN,06840
Child Care Center,DCCC.12349,KENT COMMUNITY NURSERY SCHOOL,6 BRIDGE ST,KENT,06757-1316,860-927-1294,director.kcns@gmail.com,3 years-12 years,25,0,12/31/28,KENT COMMUNITY NURSERY INC,PO BOX 594,KENT,06757
Child Care Center,DCCC.12356,ST SAVIOUR'S CHURCH NURSERY SCHOOL,350 SOUND BEACH AVE,OLD GREENWICH,06870-1930,203-698-1303,mbasso.sscns@gmail.com,2 years-5 years,66,8,1/31/29,VESTRY OF ST SAVIOUR'S EPISCOPAL CHURCH,350 SOUND BEACH AVENUE,GREENWICH,06870
Child Care Center,DCCC.12357,NOANK BAPTIST CHURCH DAY NURSERY SCHOOL,18 CATHEDRAL HTS,GROTON,06340-5706,860-536-7129,noankvillagepreschool@gmail.com,18 months-5 years,13,13,3/31/29,NOANK BAPTIST CHURCH,18 CATHEDRAL HEIGHTS,NOANK,06340
Child Care Center,DCCC.12371,TEMPLE BETH TIKVAH PRESCHOOL,196 DURHAM ROAD,MADISON,06443,203-245-8039,nsdirector@tbtshoreline.org,18 months-12 years,43,10,3/31/29,TEMPLE BETH TIKVAH,196 DURHAM ROAD,MADISON,06443
Child Care Center,DCCC.12375,KINDERCARE LEARNING CENTER #070212,158 WESTBROOK RD,ESSEX,06426-1553,860-767-1072,essex@kindercare.com,6 weeks-12 years,70,40,3/31/29,KINDERCARE EDUCATION LLC,5005 MEADOWS RD STE 200,LAKE OSWEGO,97035-4288
Child Care Center,DCCC.12377,YMCA NAUBUC SACD,82 GRISWOLD ST,GLASTONBURY,06033-1078,860-550-4368,cassidy.flanagan@ghymca.org,5 years-12 years,76,0,3/31/29,YMCA OF METROPOLITAN HARTFORD INC,50 STATE HOUSE SQ,HARTFORD,06103-3902
Child Care Center,DCCC.12378,UNITED METHODIST PRESCHOOL,165 SOUTH AVENUE,NEW CANAAN,06840,203-966-3176,mnskids34@aol.com,2 years-5 years,68,8,12/31/28,UNITED METHODIST CHURCH BOARD OF TRUSTEES,165 SOUTH AVE,NEW CANAAN,06840
Child Care Center,DCCC.12381,PUMPKIN PRESCHOOL,449 GRASMERE AVENUE,FAIRFIELD,06824,203-255-7505,dp@pumpkinpreschool.com,6 weeks-10 years,68,28,3/31/29,PUMPKIN INDUSTRIES INC,449 GRASMERE AVE,FAIRFIELD,06824-6145
Child Care Center,DCCC.12418,ST PAUL'S NURSERY SCHOOL- FAIRFIELD,661 OLD POST RD,FAIRFIELD,06824-6648,203-255-1902,directors@stpaulsnurseryschool.net,2 years-5 years,112,16,2/28/29,ST PAUL'S NURSERY SCHOOL OF FAIRFIELD INC,661 OLD POST ROAD,FAIRFIELD,06430
Child Care Center,DCCC.12442,OUR LADY OF GRACE DAY CARE CENTER,635 GLENBROOK ROAD,STAMFORD,06906,203-348-5531,sgesuina@aol.com,3 years-6 years,134,0,4/30/29,LITTLE WRKRS SACRED HEARTS OF JESUS & MARY STMFD,635 GLENBROOK RD,STAMFORD,06906-1409
Child Care Center,DCCC.12446,BABY COTTAGE,1109 NEWFIELD AVENUE,STAMFORD,06905,203-329-7666,babycottage1986@gmail.com,6 weeks-5 years,64,48,3/31/29,THE BABY COTTAGE INC,1109 NEWFIELD AVENUE,STAMFORD,06905
Child Care Center,DCCC.12455,WESTPORT-WESTON COOP NURSERY SCHOOL,10 LYONS PLAINS RD,WESTPORT,06880-1302,203-227-9318,libbyg@westportwestoncoop.org,18 months-12 years,80,10,4/30/29,WESTPORT-WESTON COOP NURSERY SCHOOL INC,10 LYONS PLAINS ROAD,WESTPORT,06880
Child Care Center,DCCC.12456,MARGARET C GRIFFIN CHILD DEV CENTER SOUTHINGTON,240 MAIN ST,SOUTHINGTON,06489-2528,860-621-5885,southingtonchilddev@gmail.com,3 years-8 years,50,0,6/30/25,MARGARET C GRIFFIN CHILD DEV CTR SOUTHINGTON INC,240 MAIN STREET,SOUTHINGTON,06489
Child Care Center,DCCC.12457,YWCA WEBSTER HILL KIDSLINK,125 WEBSTER HILL BLVD,WEST HARTFORD,06107-3771,860-525-1163,robinb@ywcahartford.org,3 years-13 years,70,0,3/31/29,YWCA HARTFORD REGION INC,135 BROAD ST,HARTFORD,06105-3718
Child Care Center,DCCC.12461,BETHANY LUTHERAN NURSERY SCHOOL- CROMWELL,50 COURT STREET,CROMWELL,06416,860-632-0597,blpscromwell@gmail.com,3 years-5 years,40,0,1/31/29,BETHANY LUTHERAN CHURCH,50 COURT STREET,CROMWELL,06416
Child Care Center,DCCC.12469,ZION LUTHERAN NURSERY SCHOOL,531 WOODRUFF ST,SOUTHINGTON,06489-2716,860-628-6007,nurseryschool@zionlutheranct.org,3 years-5 years,30,0,2/28/29,ZION EVANGELICAL LUTHERAN CHURCH,531 WOODRUFF STREET,SOUTHINGTON,06489
Child Care Center,DCCC.12472,VILLAGE GREEN PRE-SCHOOL,15 HARTFORD RD,BROOKLYN,06234-1711,860-774-3439,villagegreenpreschool15@gmail.com,3 years-12 years,30,0,2/28/29,CAROLYN OTTO,PO BOX 153,BROOKLYN,06234
Child Care Center,DCCC.12474,TRINITY COMMUNITY PRESCHOOL,33 CENTER RD,WOODBRIDGE,06525-1629,203-387-4711,sharonc@trinityefc.com,12 months-5 years,45,8,3/31/29,TRINITY EVANGELICAL FREE CHURCH INC,33 CENTER ROAD,WOODBRIDGE,06525
Child Care Center,DCCC.12479,PRESBYTERIAN NURSERY SCHOOL,2475 EASTON TPKE,FAIRFIELD,06825-1121,203-372-0855,presbykids@gmail.com,18 months-12 years,66,8,3/31/29,FIRST PRESBYTERIAN CHURCH OF FAIRFIELD,2475 EASTON TURNPIKE,FAIRFIELD,06825
Child Care Center,DCCC.12480,GREAT BEGINNINGS- COOKE STREET,15 COOKE ST,PLAINVILLE,06062-1801,860-747-1670,gbeginnings@msn.com,6 weeks-3 years,48,48,5/31/29,KAREN C  SHACKFORD,214 RIDGE ROAD,WETHERSFIELD,06109
Child Care Center,DCCC.12487,ST PAUL CHRISTIAN SCHOOL,41 EASTON RD,WESTPORT,06880-2213,203-227-7920,school@stpaulwestport.org,18 months-7 years,96,16,3/31/29,ST PAUL LUTHERAN CHURCH,41 EASTON ROAD,WESTPORT,06880
Child Care Center,DCCC.12495,WEST  HTFD EXT EXPERIENCE-BRAEBURN SCHOOL,45 BRAEBURN RD,WEST HARTFORD,06107-1605,860-878-0865,wheeco425@gmail.com,5 years-12 years,60,0,4/30/29,WHEE INC,425 OAKWOOD AVENUE,WEST HARTFORD,06110
Child Care Center,DCCC.12498,TVCCA LITTLE LEARNERS GRISWOLD,303 SLATER AVE,GRISWOLD,06351-2540,860-376-7012,dpoirier@tvcca.org,6 weeks-12 years,40,20,4/30/29,THAMES VALLEY COUNCIL FOR COMMUNITY ACTION INC,1 SYLVANDALE ROAD,JEWETT CITY,06351
Child Care Center,DCCC.12506,FIVE MILE RIVER NURSERY SCHOOL,5 PENNOYER ST,NORWALK,06853-1222,203-838-4266,director@fmrns.com,2 years-6 years,48,8,3/31/25,ROWAYTON UNITED METHODIST CHURCH,5 PENNOYER STREET,ROWAYTON,06853
Child Care Center,DCCC.12517,HILLTOP CHRISTIAN EARLY LEARNING CENTER,837 CHARLES ST,TORRINGTON,06790-3425,860-482-3727,director@hilltopchristianelc.com,2 years-6 years,70,8,3/31/29,ST PAUL'S EVANGELICAL LUTHERN CHURCH,837 CHARLES STREET,TORRINGTON,06790
Child Care Center,DCCC.12520,SUFFIELD COOPERATIVE PRESCHOOL,81 HIGH ST,SUFFIELD,06078-2113,,eboone@suffieldcooperativepreschool.com,3 years-5 years,26,0,4/30/25,SUFFIELD COOPERATIVE SCHOOL INC,81 HIGH STREET,SUFFIELD,06078
Child Care Center,DCCC.12521,ORANGE COMMUNITY NURSERY SCHOOL,525 ORANGE CENTER RD,ORANGE,06477-2960,203-795-3869,ocnsdirector@optimum.net,3 years-5 years,50,0,4/30/29,ORANGE COMMUNITY NURSERY SCHOOL INC,525 ORANGE CENTER ROAD,ORANGE,06477
Child Care Center,DCCC.12542,VALLEY PRE-SCHOOL,219 NORTH GRANBY ROAD,GRANBY,06035,860-653-3641,Vpsmanagingdirector@gmail.com,3 years-5 years,37,0,4/30/29,VALLEY PRESCHOOL INC,PO BOX 749,GRANBY,06035
Child Care Center,DCCC.12543,BETHANY NURSERY GROUP,511 AMITY ROAD,BETHANY,06524,203-393-3032,bethanynurserygroup@gmail.com,3 years-5 years,32,0,4/30/29,BETHANY NURSERY GROUP INC,511 AMITY ROAD,BETHANY,06524
Child Care Center,DCCC.12571,LEILA DAY NURSERIES,100 COLD SPRING ST,NEW HAVEN,06511-2204,203-624-1374,kim@leiladay.org,3 years-8 years,113,0,5/31/25,LEILA DAY NURSERIES INC,100 COLD SPRING STREET,NEW HAVEN,06511
Child Care Center,DCCC.12578,ORANGE CONGREGATIONAL CHURCH NURSERY SCHOOL,205 MEETINGHOUSE LN,ORANGE,06477-2446,203-298-4875,occns@yahoo.com,3 years-5 years,25,0,5/31/25,ORANGE CONGREGATIONAL CHURCH,205 MEETING HOUSE LANE,ORANGE,06477
Child Care Center,DCCC.12582,ST ANDREW'S PRESCHOOL,232 DURHAM RD,MADISON,06443-2451,203-245-1308,anitas@standrewsschoolct.org,2 years-6 years,48,13,5/31/25,VESTRY OF ST ANDREWS CHURCH,232 DURHAM ROAD,MADISON,06443
Child Care Center,DCCC.12585,CASIMIR PULASKI BEFORE/AFT SCH PROGRAM,100 CLEARVIEW AVE,MERIDEN,06450-6492,475-775-4895,rfernandez@womenfamilies.org,6 years-9 years,112,0,3/31/29,WOMEN AND FAMILIES CENTER,169 COLONY STREET,MERIDEN,06450
