Facility Number,Facility Name,Facility Type,Better Beginnings,Address,County,Director,Owner,Phone,Email Address,Website Address,Total Allowed Capacity,Voucher Participant,CACFP Facility,ABC Facility
29057,Bentonville Head Start,Child Care Center,Level 6,"2109 SE J ST, BENTONVILLE, AR, 72712",Benton,Racheal Moody,Northwest Arkansas Head Start Human Services Inc,(479) 636-7317,nzarzosa@nwaheadstart.org,,109,TRUE,TRUE,FALSE
28773,IDC & Nursery School,Licensed Child Care Family Home,Level 6,"708 JEFFERSON ST, BENTONVILLE, AR, 72712",Benton,Mary Line,Keith Line,(479) 464-8083,idcandns@gmail.com,idcandns@gmail.com,10,TRUE,TRUE,FALSE
28590,The Little Eagles Nest,Licensed Child Care Family Home,Level 6,"409 CHURCH AVE, HUNTSVILLE, AR, 72740",Madison,,Krista Houston,(479) 738-6543,thelittleeaglesnest@gmail.com,,16,TRUE,TRUE,FALSE
28336,Jean Tyson Child Development Study Center,Child Care Center,Level 6,"924 W DOUGLAS ST, FAYETTEVILLE, AR, 72701",Washington,Shelley McNally,University Of Arkansas,(479) 575-7482,smcnally@uark.edu,https://jean-tyson-child-development-study-center.uark.edu/,223,TRUE,FALSE,FALSE
28332,London-RSD Preschool,Child Care Center,Level 6,"154 School St, London, AR, 72847",Pope,Katie Hamilton,Russellville School District,(479) 967-6025,jenny.barber@rsdk12.net,www.russellvilleschools.net,45,TRUE,TRUE,TRUE
27944,The Pre-K at Happy Hollow,Child Care Center,Level 6,"2175 E Peppervine Dr, Fayetteville, AR, 72701-8237",Washington,Kathleen Hale,Fayetteville School District,(479) 718-0248,sarah.jewell@fayar.net,www.fayar.net,20,FALSE,FALSE,TRUE
27430,Hamilton Head Start,Child Care Center,Level 6,"503 ACCESS RD STE E, VAN BUREN, AR, 72956",Crawford,Heather Johnson,Head Start Child And Family Services Inc,(479) 262-6244,heather@headstartinc.org,,52,FALSE,TRUE,FALSE
27331,WARREN ABC PRESCHOOL,Child Care Center,Level 6,"228 SCOBY DR, WARREN, AR, 71671",Bradley,Laci Bratton,Warren School District No. 1,(870) 226-5099,laci.bratton@warrensd.org,,125,FALSE,TRUE,TRUE
27164,Hot Springs Child Care II,Child Care Center,Level 6,"1125 Malvern Avenue, Hot Springs, AR, 71901",Garland,Cathy Morgan,Hot Springs Child Care Center Inc.,(501) 625-7320,jlg4995@att.net,,164,TRUE,TRUE,TRUE
27141,The Pre-K at Holcomb Elementary,Child Care Center,Level 6,"2900 N Salem Rd, Fayetteville, AR, 72704-5679",Washington,Sarah Jewell,Fayetteville School District,(479) 316-9992,sarah.jewell@fayar.net,www.fayar.net,20,FALSE,TRUE,TRUE
27125,Magness Creek Elementary,Child Care Center,Level 6,"16150 Arkansas 5, Cabot, AR, 72023",Lonoke,Suzie Kelley,Cabot Public Schools,(501) 743-3565,eva.zweifel@cps.k12.ar.us,http://cabot.k12.ar.us,40,TRUE,TRUE,TRUE
26923,Susan Meek's CCFH,Licensed Child Care Family Home,Level 6,"2240 N HENSON FARM LN, FAYETTEVILLE, AR, 72701",Washington,,Susan Meek,(479) 790-2242,susan.c.meek@gmail.com,susan.c.meek@gmail.com,10,TRUE,TRUE,FALSE
26650,Cedarville Head Start,Child Care Center,Level 6,"630 PIRATES WAY, CEDARVILLE, AR, 72932",Crawford,Heather Johnson,Head Start Child And Family Services Inc,(479) 474-2353,heather@headstartinc.org,,41,FALSE,TRUE,FALSE
26615,Episcopal Collegiate School,Child Care Center,Level 6,"1701 Cantrell Road, Little Rock, AR, 72201",Pulaski,Catherine Schuhmacher,Episcopal Collegiate School,(501) 372-1194,cschuhmacher@episcopalcollegiate.org,,90,FALSE,FALSE,FALSE
26608,TONYA'S TOTS,Licensed Child Care Family Home,Level 6,"1880 Highway 36, Mount Vernon, AR, 72111",Faulkner,Tonya Rogers,Tonya Rodgers,(501) 230-3785,lukeandisaacsmom@hotmail.com,,10,TRUE,TRUE,FALSE
26431,GUY-PERKINS SCHOOL,Child Care Center,Level 6,"492 AR-25 N, Guy, AR, 72061-7800",Faulkner,Amber Wood,Guy School District,(501) 679-2768,amber.wood@gptbirds.org,,115,TRUE,FALSE,TRUE
25786,Hot Springs Child Care Center,Child Care Center,Level 6,"600 Main St A, Hot Springs, AR, 71913-4963",Garland,Katie Vega,Hot Springs Child Care Center Inc.,(501) 623-7320,jlg4995@att.net,,376,TRUE,TRUE,TRUE
25774,READY SET AND LEARN,Licensed Child Care Family Home,Level 6,"617 Bradley St, Jonesboro, AR, 72401-9189",Craighead,,Ready Set and Learn,(870) 203-9509,adaway@sbcglobal.net,,16,TRUE,TRUE,FALSE
25368,Chenal Valley-Mont,Child Care Center,Level 6,"14929 Cantrell Rd, Little Rock, AR, 72223",Pulaski,Shelby Crowson,Dorothy Moffett,(501) 868-6030,chenalvalleymontessori@yahoo.com,,84,TRUE,FALSE,FALSE
24936,Dawson Co-op/POYEN ABC,Child Care Center,Level 6,"111 North School Street, Poyen, AR, 72128",Grant,Tammy Boyette,Dawson Education Service Co-op,(501) 332-8884,tammy.boyette@dawsonesc.com,,22,TRUE,TRUE,TRUE
24785,MRS. MELISSA'S Preschool,Licensed Child Care Family Home,Level 6,"2270 Wood Hollow Rd, Ash Flat, AR, 72513-9342",Fulton,,MELISSA JENKINS,(870) 994-7900,mrs-melissa-daycare@hotmail.com,,10,TRUE,TRUE,TRUE
24732,Head Of The Class Childcare And Learning Ctr. LLC,Child Care Center,Level 6,"119 Shay Gillespie Street, Monticello, AR, 71655",Drew,Sherrie Gillespie,Head Of The Class Childcare And Learning Center Ll,(870) 367-1240,sherrie_hotc@yahoo.com,,166,TRUE,TRUE,TRUE
24648,BUFFALO ISLAND CENTRAL -EAST,Child Care Center,Level 6,"1100 Nelson St, Leachville, AR, 72438",Mississippi,Tonya Boyd,Buffalo Island Central School District,(870) 539-6415,kimberly.howard@bicschools.net,,40,TRUE,TRUE,TRUE
24330,The Pre-K at Owl Creek School,Child Care Center,Level 6,"375 N RUPPLE ST, FAYETTEVILLE, AR, 72704",Washington,Sarah Jewell,Fayetteville School District,(479) 316-9992,sarah.jewell@fayar.net,www.fayar.net,47,FALSE,TRUE,TRUE
24172,MAINSTREET KIDS,Child Care Center,Level 6,"555 Cpl Matthew E Clark Memorial Drive, Shirley, AR, 72153-8093",Van Buren,Gaya Franks,Mainstreet Kids Inc.,(501) 723-8170,mainstreetkids@live.com,,51,TRUE,TRUE,TRUE
23702,Dallas Street Head Start,Child Care Center,Level 6,"6808 DALLAS ST, FORT SMITH, AR, 72903",Sebastian,Heather Johnson,Head Start Child And Family Services Inc,(479) 242-2059,heather@headstartinc.org,,82,FALSE,TRUE,FALSE
23653,TUCKERMAN ABC PRESCHOOL,Child Care Center,Level 6,"300 Dowell St, Tuckerman, AR, 72473-9196",Jackson,Marlene Shannon,JACKSON COUNTY SCHOOL DISTRICT,(870) 349-2312,mshannon@bulldogs.k12.ar.us,,132,TRUE,TRUE,TRUE
23608,VALLEY VIEW ABC PRE SCHOOL,Child Care Center,Level 6,"5603 Kersey Ln, Jonesboro, AR, 72404-8804",Craighead,Beth Carr,Valley View School Dist,(870) 935-4602,beth.carr@valleyviewschools.net,,100,TRUE,TRUE,TRUE
23573,Lil Hawks Preschool Center,Child Care Center,Level 6,"5690 HWY 9, Center Ridge, AR, 72027",Conway,Johnna Setzer,NEMO VISTA PUBLIC SCHOOL DISTRICT,(501) 893-2435,jsetzer@nemo.k12.ar.us,,74,FALSE,FALSE,TRUE
23480,WCC BEAR CUB PRESCHOOL,Child Care Center,Level 6,"3259 AR-157, Judsonia, AR, 72081-9323",White,Shuana Pate,WHITE COUNTY CENTRAL SCHOOL,(501) 729-3947,spate@wccbears.org,wccsd.k12.ar.us,114,TRUE,FALSE,TRUE
23469,Deer Preschool,Child Care Center,Level 6,"HWY 16, Deer, AR, 72628",Newton,LaDonna Love,O.U.R. Cooperative,(870) 428-5253,clambe@oursc.k12.ar.us,,26,TRUE,TRUE,TRUE
23102,Westside Pre-School,Child Care Center,Level 6,"1701 South 2nd Street, Cabot, AR, 72023",Lonoke,Suzie Kelley,Cabot Public Schools,(501) 743-3566,eva.zweifel@cps.k12.ar.us,http://cabot.k12.ar.us,62,TRUE,TRUE,TRUE
22826,PRE-K PCSSD Sylvan Hills Elementary,Child Care Center,Level 6,"402 Deejay Hudson Drive, Sherwood, AR, 72120",Pulaski,Nikki Stolzer,Pulaski County Special School District,(501) 833-1140,nstolzer3086@pcssd.org,,26,FALSE,TRUE,TRUE
22794,Parson Hills Elementary Pre-K,Child Care Center,Level 6,"2326 Cardinal Dr, Springdale, AR, 72764-5735",Washington,Megan Rojo,Springdale Public Schools,(479) 750-8877,mrojo@sdale.org,www.sdale.org,40,TRUE,TRUE,TRUE
22786,Ouachita Child Enrichment ABC,Child Care Center,Level 6,"1274 Maul Road, Camden, AR, 71701",Ouachita,Crystal Chandler,"Ouachita Enrichment Centers, Inc.",(870) 836-8508,fdismuke@oectrs.org,,110,TRUE,TRUE,TRUE
22609,Parkers Chapel ABC Preschool,Child Care Center,Level 6,"401 Parkers Chapel Rd., El Dorado, AR, 71730",Union,Tara Morgan,South Central Service Co-op,(870) 862-9767,tara.morgan@scscoop.org,,61,FALSE,TRUE,TRUE
22599,CROWLEY'S RIDGE EDUCATIONAL COOPERATIVE-LAKE CITY,Child Care Center,Level 6,"2001 HIGHWAY 18, LAKE CITY, AR, 72437",Craighead,Emily Gillis,CROWLEY'S RIDGE EDUCATIONAL COOPERATIVE,(870) 237-4326,egillis@crmail.k12.ar.us,,22,TRUE,FALSE,TRUE
22580,East End Elementary Pre-K,Child Care Center,Level 6,"21801 Arch Street, Little Rock, AR, 72206",Saline,Alisa Gray,Sheridan School District,(501) 888-4264,joysharp@sheridanschools.org,www.sheridanschools.org,44,FALSE,FALSE,TRUE
22532,BROOKLAND ELEMENTARY PRESCHOOL,Child Care Center,Level 6,"120 N Hickory St, BROOKLAND, AR, 72417",Craighead,Jennifer Easley,Brookland Public School,(870) 938-0610,jeasley@bpsbearcats.com,,240,TRUE,FALSE,TRUE
16390,Bright Beginnings,Licensed Child Care Family Home,Level 6,"308 S Wright St, Siloam Springs, AR, 72761-3120",Benton,,Debbie Mays,(479) 427-8110,debbiemays@me.com,siloampreschool.com,10,TRUE,TRUE,FALSE
15925,EVENING SHADE DAY CARE,Licensed Child Care Family Home,Level 6,"2 PARK CIRCLE, EVENING SHADE, AR, 72532",Sharp,,LORENE CAHALL,(870) 384-2655,lcahall71@gmail.com,,10,TRUE,TRUE,FALSE
14760,Harrisburg Play School - Infant And Toddler Center,Child Care Center,Level 6,"603 CENTER STREET, HARRISBURG, AR, 72432",Poinsett,Donna Massengill,Play School Day Care Center,(870) 578-9537,donnajmassengill@gmail.com,,54,TRUE,TRUE,TRUE
14403,Western Grove Learning Center,Child Care Center,Level 6,"241 US 65B, Western Grove, AR, 72685",Newton,Sarah Tibbitts,Newton Co. Special Service Corporation Inc.,(870) 446-6054,jhorsman2016@gmail.com,,16,FALSE,TRUE,FALSE
13747,Western Grove Head Start,Child Care Center,Level 6,"300 School St, Western Grove, AR, 72685",Newton,Brittany Stuart,Ozark Opportunities Inc,(870) 429-8242,cragland@ozarkopp.org,,25,TRUE,TRUE,FALSE
13549,MTN HOME I HEADSTART,Child Care Center,Level 6,"1414 Post Oak Rd, Mountain Home, AR, 72653",Baxter,Angela Calarena,Ozark Opportunities Inc,(870) 741-9406,cragland@ozarkopp.org,,92,TRUE,TRUE,TRUE
13346,Winstons Tender Care,Licensed Child Care Family Home,Level 6,"1105 S Olive St, Pine Bluff, AR, 71601-4943",Jefferson,,Carolyn Winston,(870) 536-8482,winstonbeaut@sbcglobal.net,,16,TRUE,TRUE,FALSE
13118,SHALYNN DARAY LANE,Licensed Child Care Family Home,Level 6,"558 SADDLE CLUB ROAD, ASH FLAT, AR, 72513",Fulton,,Mrs. Shay's FHDC,(870) 994-2717,monsha69@hotmail.com,,16,TRUE,TRUE,TRUE
11547,Lisa Wood DCFH,Licensed Child Care Family Home,Level 6,"10888 OTTER RD, PRAIRIE GROVE, AR, 72753",Washington,,Lisa Wood,(479) 466-2774,lwdaycare@yahoo.com,,16,TRUE,TRUE,FALSE
11343,Bearden Early / Head Start Center,Child Care Center,Level 6,"PO Box 199, 431 N School St, Bearden, AR, 71720-0199",Ouachita,Donna Green,Families And Children Together Inc.,(870) 687-2955,michelle.scarlett@fact-inc.com,,31,FALSE,TRUE,FALSE
11320,Fairview Head Start/Early Head Start Center,Child Care Center,Level 6,"800 Barnes Street, El Dorado, AR, 71730",Union,Angela Smith,Families And Children Together Inc.,(870) 310-0692,angela.smith@fact-inc.com,,128,FALSE,TRUE,FALSE
8715,Norfork Head Start Center,Child Care Center,Level 6,"215 Mildred Simpson Dr, Norfork, AR, 72658-8498",Baxter,Shanon Gardner,Ozark Opportunities Inc,(870) 741-9406,cragland@ozarkopp.org,,40,TRUE,FALSE,FALSE
8561,PRE-K PCSSD Clinton Elementary,Child Care Center,Level 6,"142 Hollywood Avenue, Sherwood, AR, 72120",Pulaski,Nikki Stolzer,Pulaski County Special School District,(501) 833-1200,nstolzer3086@pcssd.org,,143,FALSE,FALSE,TRUE
8510,Greenwood Head Start,Child Care Center,Level 6,"22 ELEMENTARY LOOP, GREENWOOD, AR, 72936",Sebastian,Heather Johnson,Head Start Child And Family Services Inc,(479) 996-8822,heather@headstartinc.org,http://arheadstart.org/start,39,FALSE,FALSE,FALSE
7993,Portland ABC Preschool,Child Care Center,Level 6,"314 Highway 160 E, Portland, AR, 71663",Ashley,Christa Aycock,Hamburg School District,(870) 737-4333,caycock@hsdlions.org,,24,TRUE,TRUE,TRUE
7992,Hamburg ABC Pre-K & Childcare,Child Care Center,Level 6,"517 E Lincoln ST, Hamburg, AR, 71646",Ashley,Susan Smith,Hamburg School District,(870) 853-5035,caycock@hsdlions.org,,132,TRUE,TRUE,TRUE
7780,Our House Children's Programs,Child Care Center,Level 6,"302 E Roosevelt Rd Building 9, Little Rock, AR, 72206-2304",Pulaski,Rachael Borné,Our House Inc.,(501) 374-7383,rachael@ourhouseshelter.org,,577,TRUE,TRUE,TRUE
7778,YELLVILLE SUMMIT EARLY HEAD START,Child Care Center,Level 6,"Hwy 62 E, Yellville, AR, 72687-9318",Marion,Stephanie Guillen,Ozark Opportunities Inc,(870) 741-9406,cragland@ozarkopp.org,,32,TRUE,FALSE,FALSE
7718,SHIRLEY HEAD START,Child Care Center,Level 6,"154 School Street, Shirley, AR, 72153",Van Buren,Jessica Morton,Ozark Opportunities Inc,(501) 723-4301,hthompson@ozarkopp.org,,21,TRUE,FALSE,FALSE
7581,Omaha Preschool,Child Care Center,Level 6,"522 W College St, Omaha, AR, 72662-8904",Boone,Kayla Villines,Omaha Public School District,(870) 433-2453,kayla.villines@omaha.k12.ar.us,,41,FALSE,TRUE,TRUE
6358,Jasper Headstart Center,Child Care Center,Level 6,"600 Clark St, Jasper, AR, 72641",Newton,Lalani Pomatto,Ozark Opportunities Inc,(870) 446-5818,cragland@ozarkopp.org,,24,TRUE,FALSE,FALSE
3152,CHRIS EICHLER DCFH,Licensed Child Care Family Home,Level 6,"467 Foster Rd, Romance, AR, 72136-7066",White,,Christine Eichler,(501) 940-6804,halfmoon_shine@hotmail.com,,10,TRUE,FALSE,FALSE
1637,Second Presbyterian Preschool,Child Care Center,Level 6,"600 Pleasant Valley Dr, Little Rock, AR, 72227-2149",Pulaski,Paige Majors,Second Presbyterianpreschool Church Inc.,(501) 227-6034,jamie@spplr.org,,345,FALSE,FALSE,FALSE
1458,UCA CHILD STUDY CENTER,Child Care Center,Level 6,"115 Farris Rd, Conway, AR, 72034-6259",Faulkner,Megan Fotioo,Uca,(501) 450-3356,mfotioo@uca.edu,uca.edu,49,TRUE,FALSE,FALSE
614,ST JOE HEAD START,Child Care Center,Level 6,"250 South Highway 65, Saint Joe, AR, 72675",Searcy,Megan Hill,Ozark Opportunities Inc,(870) 741-9406,cragland@ozarkopp.org,,21,TRUE,FALSE,FALSE
66,St John HeadStart,Child Care Center,Level 6,"1816 N 8TH ST, FORT SMITH, AR, 72904",Sebastian,Heather Johnson,Head Start Child And Family Services Inc,(479) 782-9376,heather@headstartinc.org,,80,FALSE,FALSE,FALSE
51948,Discovery STEAM Program @ Thaden School,Out of School Time,Level 5,"800 Southeast C Street, Downtown Bentonville, Bentonville, AR, 72712",Benton,Katie Bartelt,"Discovery STEAM Program, LLC",(479) 412-0770,nick.bartelt@joindiscoverysteam.com,www.joindiscoverysteam.com,76,TRUE,FALSE,FALSE
51723,The After School Program at Prairie Grove Elementary,Out of School Time,Level 5,"801 Viney Grove Rd, Prairie Grove, AR, 72753-2623",Washington,Dawn Peckham,"Jason Coates Enterprises, LLC",(479) 756-5077,info@afterschoolprog.com,afterschoolprog.com,108,TRUE,FALSE,FALSE
51368,Midland Preschool,Child Care Center,Level 5,"3900 Floral Road, Floral, AR, 72534",Independence,Valerie Hibbitts,Midland School District,(501) 345-8801,vhibbitts@midlandschools.org,,31,TRUE,FALSE,FALSE
48637,After School Program at Lisa Fayetteville,Out of School Time,Level 5,"1166 Van Asche Drive, Fayetteville, AR, 72704",Washington,Jordan Woods,"Jason Coates Enterprises, LLC",(479) 756-5077,info@afterschoolprog.com,www.afterschoolprog.com,111,TRUE,FALSE,FALSE
48086,Jada Sims Academy,Child Care Center,Level 5,"113 Merriman Ave, Wynne, AR, 72396",Cross,Shirley Simmons,Jada Sims Academy,(870) 238-5349,wcecc102@gmail.com,,56,TRUE,FALSE,TRUE
48046,DREAM Early Childhood & Afterschool Academy,Child Care Center,Level 5,"8324 AR-107 Building B, Sherwood, AR, 72120",Pulaski,"Javonne ""Jody"" Abernathy",D.R.E.A.M.,(501) 392-6304,dreamnlr@yahoo.com,dreamarkansas.org,309,TRUE,FALSE,TRUE
47996,Discovery STEAM Program Willowbrook/Brightfield Elementary,Out of School Time,Level 5,"1800 SW Gator Blvd, Bentonville, AR, 72713-4962",Benton,Allison Sims,Discovery STEAM Program LLC,(479) 412-0770,nick.bartelt@joindiscoverysteam.com,,1197,TRUE,FALSE,FALSE
46891,Mill Creek Preschool,Licensed Child Care Family Home,Level 5,"389 Fairview Dr, Russellville, AR, 72802-2507",Pope,,Wendy Chancellor,(479) 970-9971,wchance71@gmail.com,,10,TRUE,FALSE,FALSE
45321,Dawson Coop / Gardner ABC,Child Care Center,Level 5,"525 Hammond Dr., Hot Springs, AR, 71913",Garland,Shasta Pentecost,Howard A Dawson South Central Education Cooperative,(870) 246-1450,shasta.pentecost@dawsonesc.com,,80,TRUE,FALSE,TRUE
45228,Mrs. Krystal's Preschool,Licensed Child Care Family Home,Level 5,"2926 Highway 62/412, Highland, AR, 72542-8017",Sharp,Krystal Dravenstott,Mrs. Krystal's Preschool,(870) 751-1428,mrskrystalspreschool@gmail.com,https://www.facebook.com/Mrs-Krystals-Preschool-101244622694524,16,TRUE,FALSE,FALSE
45226,The After School Program at Lisa Academy Rogers,Out of School Time,Level 5,"590 S Horsebarn Rd, Rogers, AR, 72758-8760",Benton,Dawn Peckham,"Jason Coates Enterprises, LLC",(479) 756-5077,info@afterschoolprog.com,www.afterschoolprog.com,120,TRUE,FALSE,FALSE
28777,ABC CHILDRENS ACADEMY DOVER SITE 2,Early Intervention Day Treatment (EIDT),Level 5,"105 Library Rd, Dover, AR, 72837-9005",Pope,MARIE HERDMAN,Abc Childrens Academy And Developmental Center Inc,(479) 331-1450,regionaldirector@myabcca.com,,54,TRUE,TRUE,TRUE
25446,Ouachita Child Enrichment Center,Early Intervention Day Treatment (EIDT),Level 5,"1284 Maul Rd, Camden, AR, 71701-2744",Ouachita,Crystal Chandler,"Ouachita Enrichment Centers, Inc.",(870) 836-0400,tsims@oectrs.org,,118,TRUE,TRUE,FALSE
24034,ABC Children's Academy Russellville Site 2,Early Intervention Day Treatment (EIDT),Level 5,"308 E 11th, Russellville, AR, 72801",Pope,Amanda Farmer,Abc Childrens Academy And Developmental Center Inc,(479) 968-5084,russellville@myabcca.com,,60,TRUE,TRUE,FALSE
35475,The After School Program at Lisa Academy,Out of School Time,Level 5,"301 Holcomb St, Springdale, AR, 72764-4404",Washington,Jordan Woods,Jason Coates Enterprises LLC,(479) 756-5077,jtucker@afterschoolprog.com,www.afterschoolprog.com,60,TRUE,FALSE,FALSE
35418,Westside ABC Preschool,Child Care Center,Level 5,"193 School St, Hartman, AR, 72840-9456",Johnson,Amanda Canady,Westside School District,(479) 497-1088,acanady@westsiderebels.net,,24,FALSE,FALSE,TRUE
35414,Leap Forward CDC 2,Child Care Center,Level 5,"3801 JFK Blvd, North Little Rock, AR, 72116",Pulaski,LaAngela Medley,Leap Forward CDC,(501) 349-2212,leap.forward@yahoo.com,,55,TRUE,TRUE,TRUE
35301,SAU Tech Preschool,Child Care Center,Level 5,"6415 Spellman Road, Camden, AR, 71701",Ouachita,Stephanie Davidson,South Central Service Co-op,(870) 574-4500,robin.cole@scscoop.org,,20,FALSE,TRUE,TRUE
31220,Adam's Clubhouse-Quality Care for Special Needs Children,Out of School Time,Level 5,"880 N Redmond Rd, Jacksonville, AR, 72076-3672",Pulaski,Renee Green,"Adam's Clubhouse - Quality Care for Special Needs Children, Inc.",(501) 982-2326,rgreen.adamsclubhouse@gmail.com,www.AdamsClubhouse.org,36,TRUE,FALSE,FALSE
31177,Dawson Co-op/ Ft. Lake ABC Program,Child Care Center,Level 5,"4207 Park Ave, Hot Springs, AR, 71901-9473",Garland,Tammy Boyette,Dawson Education Service Co-op,(501) 701-1708,shastap@dawsonesc.com,,58,TRUE,FALSE,TRUE
30700,AEL Rogers Lilac Center,Child Care Center,Level 5,"900 W LILAC ST, ROGERS, AR, 72756",Benton,Darlene Bonilla,ARKANSAS EARLY LEARNING INC,(870) 931-1172,dbonilla@arearlylearning.org,,48,FALSE,TRUE,FALSE
30443,Beard Elementary Preschool,Child Care Center,Level 5,"1600 Cavanaugh Rd, Fort Smith, AR, 72908",Sebastian,Sarah Yancey,Ft. Smith Public Schools,(479) 785-2501,syancey@fortsmithschools.org,,76,TRUE,TRUE,TRUE
30406,NETTLETON PRE K UNIVERSITY HEIGHTS,Child Care Center,Level 5,"UNIVERSITY HEIGHTS ELEMENTARY, 300 BOWLING LANE, JONESBORO, AR, 72401",Craighead,Jackie Powell,Nettleton School District,(870) 910-7823,jennifer.gray@nettletonschools.net,,106,FALSE,FALSE,TRUE
30158,The After School Program at Knapp Elementary,Child Care Center,Level 5,"2634 ORIOLE ST, SPRINGDALE, AR, 72764",Washington,Dawn Peckham,Jason Coates Enterprises LLC,(479) 750-8850,info@afterschoolprog.com,www.afterschoolprog.com,64,TRUE,FALSE,FALSE
29967,Oark ABC Preschool,Child Care Center,Level 5,"307 AR-215, Oark, AR, 72852",Johnson,Rachel Turner,O.U.R. Cooperative,(870) 302-3100,clambe@oursc.k12.ar.us,,20,TRUE,TRUE,TRUE
29771,J. B. Hunt Elementary Pre-K,Child Care Center,Level 5,"3511 SILENT GROVE RD, SPRINGDALE, AR, 72762",Benton,Megan Rojo,Springdale Public Schools,(479) 750-8775,mrojo@sdale.org,www.sdale.org,40,TRUE,TRUE,TRUE
