FacilityId,FacilityName,FacilityType,LicenseNumber,LicenseStatus,AcceptsCCAP,PhoneNumber,Capacity,FirstName,LastName,Address,City,State,Zip,EffectiveDate,ExpirationDate,AgeRange
10003639,ANCHORAGE MONTESSORI SCHOOL,LC,11704,BI,Yes,(907) 276-2240,154 Children,LAURA,ROARK,5001 NORTHWOOD DR,ANCHORAGE,AK,99517,20230101,20241231,19M - 12 Y
10016650,ANCHORAGE WALDORF SCHOOL,LC,11924,BI,Yes,(907) 333-9062,70 Children,RENEE,PARKS,3250 BAXTER RD,ANCHORAGE,AK,99504,20230901,20250831,3Y - 12 Y
10007068,ANDREA'S DAY CARE,GL,11742,BI,Yes,(907) 371-0619,12 Children,EVELYN,LIMON,120 INA STREET,FAIRBANKS,AK,99701,20230301,20250228,0M - 12 Y
10008456,ANIMAL CRACKER KIDS,GL,11771,BI,Yes,(907) 388-9869,12 Children,WINTR,GRAHAM,333 BARANOF AVE UNIT A,FAIRBANKS,AK,99701,20230301,20250228,4W - 12 Y
10003526,ANNA LISA DAY CARE,LH,11893,BI,Yes,(907) 332-5410,8 Children,ANNA LISA,BARNUM,8116 E 20TH AVE,ANCHORAGE,AK,99504,20240901,20260831,0M - 12 Y
10016734,ANTHC CHILD DEVELOPMENT CENTER,LC,11909,BI,Yes,(907) 729-4769,100 Children,JESILYN,DAVIS,4115 AMBASSADOR DR,ANCHORAGE,AK,99508,20230801,20250731,6W - 6 Y
10012686,ANTZE PANTZE DAYCARE,LH,11647,BI,Yes,(907) 830-8703,8 Children,TANYAU,JONES-HINTON,601 N PARK ST,ANCHORAGE,AK,99508,20221201,20241130,0M - 12 Y
10015920,ARCTIC EXPLORERS PRESCHOOL,LC,12157,BI,No,(907) 750-4308,28 Children,SUSAN,GRANT,99 ST. NICHOLAS DRIVE,NORTH POLE,AK,99705,20240901,20260831,2Y - 12 Y
10017008,ARELIS CARE,LH,11761,BI,Yes,(907) 720-3182,8 Children,ARELIS,ARIAS,5220 LIONHEART DR,ANCHORAGE,AK,99508,20230401,20250331,0M - 12 Y
10010362,ARRGEL PLAYHOUSE,LH,12025,BI,Yes,(907) 231-6929,8 Children,MAY,DAYRIT,"2104 MCKINLEY AVE,UNIT B",ANCHORAGE,AK,99517,20240401,20260331,1M - 11 Y
10017155,AUKE LAKE PRESCHOOL LLC,LC,12144,BI,Yes,(907) 790-7900,60 Children,EMILY,GILE (BARNETT),11024 AUKE LAKE WAY,JUNEAU,AK,99801,20240901,20260831,6W - 12 Y
10014862,AVG CHILD CARE CENTER,LC,12054,BI,Yes,(907) 225-4462,52 Children,GIRLIE,CRUZ,1922 TONGASS AVE,KETCHIKAN,AK,99901,20240301,20260228,1M - 12 Y
10015813,AVG CHILD CARE EXTENSION,LC,11780,BI,Yes,(907) 821-5131,13 Children,GIRLIE,CRUZ,735 JACKSON ST,KETCHIKAN,AK,99901,20230501,20250430,5Y - 12 Y
10002210,AYSHIA'S FUN HOUSE,LH,11899,BI,Yes,(907) 563-1392,8 Children,SHERMEKA,HINTON,2905 E 20TH AVE,ANCHORAGE,AK,99508,20230801,20250731,0W - 12 Y
10003506,BAYSHORE EARLY LEARNING CENTER,LC,12163,BI,Yes,(907) 522-4906,40 Children,SUSAN,JENSEN (GREEN),3131 AMBER BAY LOOP,ANCHORAGE,AK,99515,20240901,20260831,3Y - 7 Y
10007784,BBNA CHILD CARE CENTER,LC,12015,BI,Yes,(907) 842-4059,55 Children,ANNE,SHADE,"VAL A. LARSON FAMILY RESOURCE CENTER,1500 KANAKNAK ROAD",DILLINGHAM,AK,99576,20240201,20260131,0W - 12 Y
10003742,BEAR VALLEY SCHOOL AGE CHILD CARE,LC,12203,BI,No,(907) 310-4122,90 Children,KAITLYN,CHRISTOPHER,15001 MOUNTAIN AIR DR,ANCHORAGE,AK,99516,20241101,20261031,4Y - 12 Y
10017088,BENTEH EARLY LEARNING ACADEMY,LC,12155,BI,Yes,(907) 671-6861,60 Children,HEATHER,BAILEY,4401 W. PALMER WASILLA HIGHWAY,WASILLA,AK,99654,20240701,20260630,6W - 6 Y
10000381,BERSABE DAYCARE,GL,12005,BI,Yes,(907) 942-3799,12 Children,MARIA,MEJIA DE MONGE,410 WILLOW STREET,KODIAK,AK,99615,20240101,20251231,0W - 12 Y
10000456,BETTY ELIASON CHILD CARE CENTER,LC,11976,BI,Yes,(907) 747-5892,99 Children,ERIKA,APATHY,607 LINCOLN STREET,SITKA,AK,99835,20231201,20251130,6W - 12 Y
10003713,BGC CHILD DEVELOPMENT CENTER-TURNAGAIN,LC,12067,BI,Yes,(907) 249-5400,50 Children,SYDNEY,SINGER,3500 W NORTHERN LIGHTS,ANCHORAGE,AK,99517,20240501,20260430,5Y - 12 Y
10003608,BGC CHILD DEVELOPMENT CENTER-WOODLAND PA,LC,12220,BI,Yes,(907) 312-9776,142 Children,KAYLA,PETERSON,2300 W 36TH AVE,ANCHORAGE,AK,99517,20241101,20261031,6W - 12 Y
10003645,BIGGS DAYCARE,LH,11793,BI,Yes,(907) 242-0607,8 Children,LOURDES,BIGGS,8740 BELL PL,ANCHORAGE,AK,99507,20230401,20250331,3M - 5 Y
10010423,BLESSED STAR CHILD CARE,LH,11928,BI,Yes,(907) 538-5554,8 Children,ESTRELLA,BROCALES,4402 E 5TH AVE,ANCHORAGE,AK,99508,20230901,20250831,6W - 12 Y
10017229,BOYS & GIRLS CLUB OF THE KENAI PENINSULA,LC,12196,PR,Yes,(907) 283-2682,42 Children,EMILY,JOHNSON,320 S SPRUCE STREET,KENAI,AK,99611,20240901,20250831,8W - 5 Y
10003757,BRIGHT BEGINNINGS ELC - ABBOTT,LC,11942,BI,Yes,(907) 341-1201,150 Children,JENNIFER,SCHOAF,2500 ABBOTT ROAD,ANCHORAGE,AK,99507,20231001,20250930,6W - 11 Y
10013138,BRIGHT BEGINNINGS ELC - OLD SEWARD,LC,11819,BI,Yes,(907) 341-1200,125 Children,JOHN,DELOACH,1000 SUNDOWN CT,ANCHORAGE,AK,99515,20230501,20250430,6W - 11 Y
10000683,BRIGHT BEGINNINGS LEARNING CENTER,LC,11767,BI,Yes,(907) 456-2263,45 Children,JOSLYN,SEEKINS,3411 LATHROP STREET SUITE A,FAIRBANKS,AK,99701,20230301,20250228,3Y - 12 Y
10014574,BRIGHT MINDS LEARNING CENTER LLC,LC,12029,BI,Yes,(907) 357-2600,126 Children,KERRIE,SPAIN,172 S. LAMONT CIR,WASILLA,AK,99623,20240601,20260531,0W - 12 Y
10017160,BUG'Z PLAYHOUSE,LH,12055,PR,No,(907) 422-7199,8 Children,HELEN,STEWART,13375 CHERRY WOOD LANE,SEWARD,AK,99664,20240301,20250228,6W - 10 Y
10000242,BUNNELL HOUSE EARLY CHILDHOOD LAB SCHOOL,LC,11696,BI,Yes,(907) 474-6393,31 Children,JENNIFER,TAYLOR,1793 CHATANIKA DR,FAIRBANKS,AK,99775,20221201,20241130,3Y - 6 Y
10003419,CAMP FIRE ALASKA - ALPENGLOW SAP,LC,11963,BI,Yes,(907) 891-2741,80 Children,THERESA,RINEHART,19201 DRIFTWOOD BAY,EAGLE RIVER,AK,99577,20231101,20251031,5Y - 12 Y
10017146,CAMP FIRE ALASKA - AQUARIAN SAP,LC,12213,BI,Yes,(907) 727-9400,80 Children,THERESA,RINEHART,1705 W. 32ND AVENUE,ANCHORAGE,AK,99517,20241101,20261031,5Y - 12 Y
10016963,CAMP FIRE ALASKA - CHESTER VALLEY SAP,LC,12152,BI,Yes,(907) 891-3347,80 Children,THERESA,RINEHART,1751 PATTERSON ST,ANCHORAGE,AK,99504,20240901,20260831,5Y - 12 Y
10003424,CAMP FIRE ALASKA - CHUGIAK SAP,LC,12021,BI,Yes,(907) 891-2642,80 Children,THERESA,RINEHART,19932 OLD GLENN HIGHWAY,CHUGIAK,AK,99567,20240201,20260131,5Y - 12 Y
10003425,CAMP FIRE ALASKA - DENALI SAP,LC,11770,BI,Yes,(907) 717-4341,63 Children,MELANIE,HOOPER,952 CORDOVA STREET,ANCHORAGE,AK,99501,20230401,20250331,5Y - 12 Y
10003427,CAMP FIRE ALASKA - GOVERNMENT HILL SAP,LC,11992,BI,Yes,(907) 891-3191,80 Children,THERESA,RINEHART,525 E BLUFF DR,ANCHORAGE,AK,99501,20231201,20251130,5Y - 12 Y
10003428,CAMP FIRE ALASKA - HOMESTEAD SAP,LC,12039,BI,Yes,(907) 744-7164,80 Children,THERESA,RINEHART,18001 BARONOFF ST,EAGLE RIVER,AK,99577,20240301,20260228,5Y - 12 Y
10003429,CAMP FIRE ALASKA - HUFFMAN SAP,LC,11808,BI,Yes,(907) 891-1628,80 Children,NICHOLE,BOYDEN,12000 LORRAINE ST,ANCHORAGE,AK,99516,20230501,20250430,5Y - 12 Y
10003430,CAMP FIRE ALASKA - INLET VIEW SAP,LC,12009,BI,Yes,(907) 717-4535,70 Children,THERESA,RINEHART,1219 N STREET,ANCHORAGE,AK,99501,20240201,20260131,5Y - 12 Y
10016973,CAMP FIRE ALASKA - MULDOON SAP,LC,11964,BI,No,(907) 312-9948,80 Children,THERESA,RINEHART,525 CHERRY ST,ANCHORAGE,AK,99504,20231101,20251031,5Y - 12 Y
10016972,CAMP FIRE ALASKA - NORTH STAR SAP,LC,11957,BI,Yes,(907) 312-9963,80 Children,THERESA,RINEHART,605 W. FIREWEED LANE,ANCHORAGE,AK,99503,20231101,20251031,5Y - 12 Y
10003436,CAMP FIRE ALASKA - O'MALLEY SAP,LC,12073,BI,Yes,(907) 742-5800,50 Children,THERESA,RINEHART,11100 ROCKRIDGE DRIVE,ANCHORAGE,AK,99516,20240501,20260430,5Y - 12 Y
10003434,CAMP FIRE ALASKA - OCEAN VIEW SAP,LC,11953,BI,Yes,(907) 891-3207,80 Children,NICHOLE,BOYDEN,11911 JOHNS ROAD,ANCHORAGE,AK,99515,20231101,20250430,5Y - 12 Y
10003656,CAMP FIRE ALASKA - RAVENWOOD SAP,LC,12083,BI,Yes,(907) 891-0674,80 Children,THERESA,RINEHART,9500 WREN LANE,EAGLE RIVER,AK,99577,20240601,20260531,5Y - 12 Y
10003440,CAMP FIRE ALASKA - ROGERS PARK SAP,LC,12037,BI,Yes,(907) 891-1643,70 Children,THOMAS,MARTIN,1400 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99508,20240301,20260228,5Y - 12 Y
10017221,CAMP FIRE ALASKA - SAND LAKE SCHOOL AGE,LC,12171,PR,Yes,(907) 312-9948,64 Children,MELANIE,HOOPER,7500 JEWEL LAKE ROAD,ANCHORAGE,AK,99502,20240801,20250731,5Y - 12 Y
10003446,CAMP FIRE ALASKA - SCENIC PARK SAP,LC,12060,BI,Yes,(907) 891-3281,45 Children,THERESA,RINEHART,3933 PATTERSON STREET,ANCHORAGE,AK,99504,20240501,20260430,5Y - 12 Y
10003662,CAMP FIRE ALASKA - TRAILSIDE SAP,LC,12211,BI,Yes,(907) 891-3290,80 Children,THERESA,RINEHART,5151 ABBOTT ROAD,ANCHORAGE,AK,99507,20241101,20261031,5Y - 12 Y
10017044,CAMP FIRE ALASKA - TYSON SAP,LC,12201,BI,No,(907) 632-0427,80 Children,THERESA,RINEHART,2801 RICHMOND CIRCLE,ANCHORAGE,AK,99508,20241101,20260930,5Y - 12 Y
10003767,CARMEN'S CHILDCARE,LH,11973,BI,Yes,(907) 947-2703,8 Children,CARMEN,PERALTA,3712 E 18TH AVE,ANCHORAGE,AK,99508,20231201,20251130,0Y - 12 Y
10003451,CAROUSEL CHILD CARE CENTER,LC,11944,BI,Yes,(907) 333-1231,115 Children,THERESA,ROBERTSON,6370 DEBARR RD,ANCHORAGE,AK,99504,20231101,20251031,12M - 12 Y
10003697,CASA CUNA DAY CARE,LH,11820,BI,Yes,(907) 277-3010,8 Children,MARIBEL,HERNANDEZ,823 LANE ST,ANCHORAGE,AK,99508,20230601,20250531,0M - 12 Y
10001101,CATHOLIC SCHOOLS OF FAIRBANKS CHILD CARE,LC,11824,BI,Yes,(907) 456-4574,110 Children,BRITTANY,MILTON,615 MONROE ST,FAIRBANKS,AK,99701,20230501,20250430,3Y - 12 Y
10017082,CCS EARLY LEARNING - FAIRVIEW CENTER,LC,11932,BI,Yes,(907) 373-7000,140 Children,MARK,LACKEY,3892 W BIRCH LEAF WAY,WASILLA,AK,99654,20231001,20250930,0W - 5 Y
10016867,CCS EARLY LEARNING - PALMER CENTER,LC,11765,BI,Yes,(907) 746-4483,92 Children,MARK,LACKEY,905 WEST AUKLET AVE,PALMER,AK,99645,20230301,20250228,0W - 5 Y
10000437,CCS EARLY LEARNING - WASILLA CENTER,LC,11785,BI,Yes,(907) 373-7795,130 Children,MARK,LACKEY,2100 E. FOUNDRY WAY,WASILLA,AK,99654,20230401,20250331,0Y - 5 Y
10016711,CCS EARLY LEARNING- EARLY HEAD START CEN,LC,11766,BI,Yes,(907) 373-7736,48 Children,MARK,LACKEY,2060 E. FOUNDRY WAY,WASILLA,AK,99654,20230301,20250228,0W - 3 Y
10004754,CHARLIE'S LIL' ANGELS,LH,12044,BI,Yes,(907) 398-4170,8 Children,CHARLOTTE,YAMADA,1806 4TH AVE,KENAI,AK,99611,20240201,20260131,0W - 12 Y
10010447,CHENEY LAKE FAMILY CHILD CARE,LH,11985,BI,Yes,(907) 830-8830,8 Children,NICKELLE,PANTOJA,6631 FOOTHILL DR,ANCHORAGE,AK,99504,20231201,20251130,6W - 12 Y
10016224,CHICKADEE HOUSE MONTESSORI SCHOOL,LH,12014,BI,No,(907) 346-0888,8 Children,NAOMI,OZURU,8901 WINCHESTER ST,ANCHORAGE,AK,99507,20240201,20260131,3Y - 6 Y
10003709,CHILD'S EARLY LEARNING CENTER,LC,11668,BI,No,(907) 336-3770,88 Children,APRIL,YOUNG,7231 MEADOW ST,ANCHORAGE,AK,99507,20221201,20241130,6W - 6 Y
10003482,CHILDCARE DE ANGELES,LH,11908,BI,Yes,(907) 615-7910,8 Children,MARITZA,PRICE,1711 FLATWATER CIR,ANCHORAGE,AK,99507,20230801,20250731,0M - 12 Y
10017213,"CHILDREN'S EARLY LEARNING CENTER, LLC",LC,12139,PR,Yes,(907) 336-3770,88 Children,TEAGAN,STRYNCHUK,7231 MEADOW STREET,ANCHORAGE,AK,99507,20240701,20250630,6W - 6 Y
10000207,CHILDREN'S PALLAS,LC,12080,BI,Yes,(907) 424-4323,37 Children,LOREEN,PALLAS,526 FIRST STREET,CORDOVA,AK,99574,20240501,20260430,6W - 12 Y
10017111,CHILDREN'S PARK DAYCARE,LH,12115,NC,Yes,(907) 753-6422,6 Children,ALLIZON (SAS,URRUTIA (RAMOS),6601 DONNA DRIVE #1,ANCHORAGE,AK,99504,20240701,20241231,12W - 12 Y
10013504,CHILDREN'S WORLD BIL MONT INFANT -,LC,11895,BI,Yes,(907) 349-4182,20 Children,MONICA,LIDREN,3800 W 80TH AVE,ANCHORAGE,AK,99502,20230901,20250831,6W - 18 M
10003769,CHILDREN'S WORLD BILIN.MONT.TODDLER PRO.,LC,12167,BI,Yes,(907) 349-4182,16 Children,MONICA,LIDREN,3833 STRAWBERRY RD,ANCHORAGE,AK,99502,20240901,20260831,12M - 3 Y
10003560,CHILDREN'S WORLD BILINGUAL MONTESSORI,LC,12184,BI,Yes,(907) 349-4182,143 Children,MONICA,LIDREN,7423 JEWEL LAKE ROAD,ANCHORAGE,AK,99502,20241001,20260930,19M - 12 Y
10000789,CHILKAT VALLEY PRESCHOOL,LC,12001,BI,Yes,(907) 766-3213,24 Children,JESSIE,ADAMS-WEINERT,33 MISSION STREET,HAINES,AK,99827,20231201,20241130,19M - 7 Y
10004623,CHIQUILLADAS CHILD CARE,GL,12040,BI,Yes,(907) 723-3088,12 Children,ANA,RODRIGUEZ,10200 HERON WAY,JUNEAU,AK,99801,20240201,20260131,0Y - 12 Y
10016724,CLARE SWAN EARLY LEARNING CENTER,LC,11788,BI,No,(907) 793-3626,72 Children,CAROLYN,HACKETT,800 NORTHWAY DR,ANCHORAGE,AK,99508,20230301,20250228,6W - 6 Y
10014388,COAST TO COAST KID CARE,GL,12099,BI,Yes,(207) 812-0239,12 Children,MELISSA,LAROW,33896 TIEHACKER ROAD,SEWARD,AK,99664,20240601,20260531,6W - 12 Y
10012723,COOK INLET NATIVE HEAD START,LC,11715,BI,No,(907) 433-1600,16 Children,ETHAN,PETTICREW,6901 E TUDOR RD STE 7,ANCHORAGE,AK,99507,20230101,20241231,6W - 3 Y
10017026,COOK INLET NATIVE HEAD START - 16,LC,12087,BI,No,(907) 433-1601,24 Children,ETHAN,PETTICREW,370 W 16TH AVE,ANCHORAGE,AK,99501,20240601,20260531,6W - 3 Y
10016893,CREATIVE CARE,GL,11960,BI,Yes,(907) 513-9354,12 Children,KELLY,JAGD,49780 KOTSINA ST,NIKISKI,AK,99635,20231001,20250930,0W - 12 Y
10016400,CREATIVE MINDS PRESCHOOL,LC,9866,,No,(907) 441-0875,13 Children,MELANIE,LINN,10901 MAUSEL STREET STE 105,EAGLE RIVER,AK,99577,20171201,20191130,3Y - 6 Y
10000131,"CREATIVE PLAY & PRESCHOOLS, LTD - KENAI",LC,11698,BI,Yes,(907) 283-7529,49 Children,SAMUEL,GENSEL,135 BIDARKA STREET,KENAI,AK,99611,20221201,20241130,0W - 12 Y
10000132,"CREATIVE PLAY & PRESCHOOLS, LTD-SOLDOTNA",LC,12069,BI,Yes,(907) 262-7529,75 Children,AMY,LARSON,125 E REDOUBT AVE,SOLDOTNA,AK,99669,20240401,20260331,0W - 12 Y
10005573,CREDIT UNION 1 LEARNING CENTER,LC,12058,BI,Yes,(907) 339-8373,33 Children,KAYLA,HAYES (NILLES),1941 ABBOTT RD,ANCHORAGE,AK,99507,20240501,20260430,12M - 12 Y
10011101,CRISTO VIENE,LH,11901,BI,Yes,(907) 715-3484,8 Children,MARTHA,REYES,5000 CHENA AVE,ANCHORAGE,AK,99508,20230801,20250731,0M - 12 Y
10015725,CRYSTAL CDC- LAKE OTIS,LC,11999,BI,Yes,(907) 770-2643,132 Children,SUYEON (LEE),YI,8620 LAKE OTIS PKWY,ANCHORAGE,AK,99507,20240101,20251231,8W - 6 Y
10007303,CRYSTAL CHILD DEVELOPMENT CENTER,LC,11752,BI,Yes,(907) 277-2644,148 Children,SUYEON (LEE),YI,1515 W 33RD AVE,ANCHORAGE,AK,99503,20230301,20250228,8W - 6 Y
10016989,D AND G'S PLAYHOUSE,LH,11753,BI,Yes,(907) 744-1957,8 Children,REEXELL,FERNANDEZ SERGIO,6520 MEADOW STREET,ANCHORAGE,AK,99507,20230301,20250228,6M - 10 Y
10013123,DANIELLE'S DAYCARE,LH,12062,BI,Yes,(907) 398-3147,8 Children,DANIELLE,EDWARDS-DEAN,619 CEDAR DR.,KENAI,AK,99611,20240401,20260331,6W - 12 Y
10000134,DEE'S LITTLE ANGELS,GL,11877,BI,Yes,(907) 357-6300,12 Children,DEANNA,SCOTT,3401 #A EAST COTTLE LOOP,WASILLA,AK,99654,20230701,20250630,6W - 12 Y
10016904,DEE'S LITTLE ANGELS CHILDCARE CENTER,LC,11850,BI,Yes,(907) 521-3811,42 Children,DEANNA,SCOTT,4280 S. KNIK GOOSEBAY RD,WASILLA,AK,99623,20230601,20250531,6W - 12 Y
10017036,DEE'S LITTLE ANGELS CHILDCARE II,LC,11746,BI,Yes,(907) 357-6300,65 Children,DEANNA,SCOTT,3060 NORTH LAZY EIGHT COURT #7,WASILLA,AK,99654,20230201,20250131,6W - 12 Y
10017154,DEE'S LITTLE ANGELS SCHOOL AGE CENTER,LC,12038,PR,Yes,(907) 357-6303,28 Children,ELBERT,SCOTT,3341 E. PALMDALE DR.,WASILLA,AK,99654,20240201,20250131,7Y - 12 Y
10004667,DENALI CHILD DEVELOPMENT CENTER,MC,0,,Yes,(907) 552-8304,,STEPHANIE,MONTOYA,7377 15TH ST,ELMENDORF AFB,AK,99506,,,
10016865,DENALI GYMNASTICS & FITNESS INC. ROOM 8,LC,11880,BI,No,(907) 373-3547,22 Children,ADAM,BARRETT,222 E. KALLI CIRCLE,WASILLA,AK,99654,20230701,20250630,0W - 12 Y
10000461,"DENALI GYMNASTICS & FITNESS, INC.",LC,11881,BI,Yes,(907) 373-3547,150 Children,ADAM,BARRETT,300 E KALLI CIR,WASILLA,AK,99654,20230701,20250630,0W - 12 Y
10009077,DENALI PRE-SCHOOL AND LEARNING CENTER,LC,11828,BI,Yes,(907) 683-7789,32 Children,BETTY,GREEN,#3 SULFIDE WAY,HEALY,AK,99743,20230501,20250430,1M - 12 Y
10013234,DEYA'S DAY CARE,LH,11794,BI,Yes,(907) 332-1102,8 Children,DEYANIRA,ROJAS,814  KLEVIN STREET,ANCHORAGE,AK,99508,20230501,20250430,0M - 12 Y
10003460,DIANA'S,LH,11805,BI,Yes,(907) 561-5930,7 Children,ELIA,CEDENO,6751 PEBBLEBROOK CIR,ANCHORAGE,AK,99507,20230501,20250430,0Y - 12 Y
10017144,DISCOVERY PRESCHOOL,LC,12141,BI,Yes,(907) 463-3030,41 Children,NICOLE,BOWERS,206 4TH STREET,JUNEAU,AK,99801,20240901,20260831,4W - 8 Y
10000324,DOLORES' DAY CARE,LH,12142,BI,Yes,(907) 209-0200,8 Children,DOLORES,HEALEY,8662 DUDLEY ST,JUNEAU,AK,99801,20240901,20260831,1M - 10 Y
10015392,DOUGLAS CHILDCARE,LH,11910,BI,No,(907) 465-7093,8 Children,SIMA,SHOJA,628 B ST. ANN'S AVENUE,DOUGLAS,AK,99824,20230801,20250731,12M - 5 Y
10003461,DREAMMAKERS DAYCARE,LH,11907,BI,Yes,(907) 349-5201,5 Children,JUITA,JOHNSON,"639 E 76TH AVE,UNIT 1",ANCHORAGE,AK,99518,20230901,20250831,0M - 12 Y
