Provider Name,Permit Type,Permit Number,Operator,Facility Type,Street,City,State,Zip,County,Phone,ABC Level,Last ABC Inspection Date,Capacity,Head Start,First Steps,Breastfeeding Friendly,Sleep Safe
St. Helena Head Start,Approval,22286,Tanzala Shanklin,Child Care Center,1031 Sea Island Pkwy.,Saint Helena Island,SC,29920,Beaufort,(843)-838-6854,A+,09/28/2022,292,True,False,False,False
Tender Years CDC/Early Head Start Center,Approval,17680,Tomika Shell,Child Care Center,6862 Lower Richland Boulevard,HOPKINS,SC,29061,Richland,(803)-783-5212,A+,02/08/2024,76,False,False,False,True
The Franklin School EHS,Approval,24834,Debra Hughes,Child Care Center,100 Franklin Street,SPARTANBURG,SC,29303,Spartanburg,(864)-586-7130,A+,04/14/2022,60,False,False,False,False
Thelma Brown Head Start Center,Approval,233,Tammara G Fulmore,Child Care Center,304 North Alexander Street,FLORENCE,SC,29501,Florence,(843)-678-3417,A+,12/01/2023,100,True,True,False,False
This is My Child Center for Child Development and Education,License,17124,Monica Rogers,Child Care Center,84 Groce Road,LYMAN,SC,29365,Spartanburg,(864)-439-7760,A+,09/02/2022,79,False,True,True,False
USC Aiken Children's Center,License,21471,Lynn Williams,Child Care Center,471 University Parkway,AIKEN,SC,29801,Aiken,(803)-641-3385,A+,01/18/2024,73,False,False,False,False
Washington Street UMC CDC,License,12694,Nancy Felicia Yockel,Child Care Center,1401 Washington Street,COLUMBIA,SC,29201,Richland,(803)-254-8405,A+,04/10/2024,162,False,False,False,False
West Ashley Head Start,Approval,23065,Paula Bellinger-Haynes,Child Care Center,1401 Ashley River Road,CHARLESTON,SC,29407,Charleston,(843)-571-2424,A+,08/31/2022,185,True,False,True,False
York Head Start Center,Approval,763,Ella L Bowen,Child Care Center,37 Pinckney Street,YORK,SC,29745,York,(803)-684-2093,A+,05/17/2022,100,True,False,False,False
York Technical College Child Development Center,License,14788,Nicole Fuller,Child Care Center,452 South Anderson Road,ROCK HILL,SC,29730,York,(803)-981-7172,A+,06/14/2022,121,False,True,False,False
Alston Bailey Elementary,Not Licensed (Exempt),,Ava Graham Haynes,Exempt,820 West 5Th North St,Summerville,SC,29483,Dorchester,(843) 695-5215,A,08/19/2024,0,False,False,False,False
Batesburg-Leesville Head Start,Approval,577,Isabel Adams,Child Care Center,118 Pinewood Drive,Batesburg,SC,29006,Lexington,(803)-532-4039,A,02/12/2024,80,True,False,False,False
Beaufort Head Start,Approval,18011,Valerie Renae Priester,Child Care Center,1800 Prince St.,BEAUFORT,SC,29902,Beaufort,(843)-255-7233,A,11/29/2023,60,True,False,False,False
Beech Hill Elementary,Not Licensed (Exempt),,Queen Bailey,Exempt,1001 Beech Hill Rd,Summerville,SC,29485,Dorchester,(843) 832-7041,A,09/23/2024,0,False,False,False,False
Betty's Creative Corner 929,License,24723,Ashley Woodard,Child Care Center,"929 Doughtery Road ",AIKEN,SC,29803,Aiken,(803)-226-0391,A,03/14/2024,53,False,True,False,False
Blossom Academy,License,24968,Quiana Dixon,Child Care Center,101-105 N. York Street,LANCASTER,SC,29720,Lancaster,(803)-999-3798,A,07/26/2022,100,False,True,False,False
Bright Horizon at USC,License,18159,Tasha M. Harrison,Child Care Center,1530 Wheat Street,COLUMBIA,SC,29201,Richland,(803)-777-9202,A,06/24/2024,285,False,False,False,False
Charles Webb Center,Approval,545,Wanda W Pointer,Child Care Center,1611 Evergreen Street,CHARLESTON,SC,29407,Charleston,(843)-852-5545,A,07/29/2024,115,False,False,False,False
Chavis Early Head Start,Approval,22589,Shelia Dicks,Child Care Center,2811 S. State Hwy. 41-51,HEMINGWAY,SC,29554,Williamsburg,(843)-558-7307,A,07/23/2024,102,True,False,False,False
"Children's Place, Inc.",License,10967,Margaret Stillman Ford,Child Care Center,310 Barnwell Avenue NE,AIKEN,SC,29801,Aiken,(803)-641-4144,A,12/07/2023,70,False,False,False,False
Compass Point Preschool,License,24773,Karen Martini -Waller,Child Care Center,1201 Chesterfield Hwy Bldg 200,CHERAW,SC,29520,Chesterfield,(843)-921-1484,A,05/22/2024,40,False,True,False,False
Crescent Child Development Center,License,25287,"Tara Gregori, Tabatha Allen",Child Care Center,2168 Dunlap Street,CHARLESTON,SC,29406,Charleston,(843)-225-8871,A,09/10/2024,98,False,True,False,False
Dream Catchers Learning,Not Licensed (Exempt),,Brittney Scott,Exempt,2441 Atlas Road,Columbia,SC,29209,Richland,(803) 429-1256,A,02/16/2023,0,False,False,False,False
Eagle Nest Extended Day,Not Licensed (Exempt),,Theresa Elliott,Exempt,8640 River Oaks Dr,N Charleston,SC,29420,Dorchester,(843) 695-2464,A,05/26/2023,0,False,False,False,False
Fantasy Island Infant and Childcare Center,License,12630,"Leah Scott, Patricia Wilson, Evelyn Stivender",Child Care Center,2126 Chestnut Street,COLUMBIA,SC,29204,Richland,(803)-254-5635,A,02/21/2024,79,False,True,False,False
Flowertown Elementary,Not Licensed (Exempt),,Kelly Collins,Exempt,Flowertown Elementary,Summerville,SC,29485,Dorchester,(843) 832-1262,A,05/25/2023,0,False,False,False,False
Fort Dorchester Elementary,Not Licensed (Exempt),,Andrea Wilkinson,Exempt,5201 Old Glory Lane,Summerville,SC,29483,Dorchester,(843) 486-5778,A,04/07/2022,0,False,False,False,False
Fosters Day Care,License,14606,Laurie Foster,Child Care Center,2260 Otranto Road,CHARLESTON,SC,29406,Charleston,(843)-569-3914,A,06/03/2024,72,False,True,False,False
Freedom Montessori School,License,18311,Pamela Brantley,Child Care Center,215 E. Main Street,ROCK HILL,SC,29730,York,(803)-327-7885,A,08/16/2022,79,False,False,False,False
Grace Academy,License,22869,Jennifer Bishop,Child Care Center,"5010 Monticello Road ",COLUMBIA,SC,29203,Richland,(803)-445-1752,A,02/23/2023,77,False,True,False,False
Hardeeville Head Start Center,Approval,22929,Chantell Monique Fields,Child Care Center,150 Hurricane Alley,Hardeeville,SC,29927,Jasper,(843)-310-1888,A,12/12/2023,60,True,False,False,False
Hope Academy,License,22247,Mara Dunkin,Child Care Center,1301 Summit Parkway,Columbia,SC,29229,Richland,(803)-699-9934,A,06/14/2024,206,False,False,False,False
James J Davis Head Start,Approval,746,Karen Huggins,Child Care Center,364 Kean Neck Road,SEABROOK,SC,29940,Beaufort,(843)-466-3565,A,10/03/2021,343,True,False,False,False
"Kids Stuff Learning Center, LLC",License,26255,Ashley Scott,Child Care Center,813 Springdale Rd,WEST COLUMBIA,SC,29170,Lexington,(803)-735-6498,A,,92,False,False,False,False
Knightsville Elementary,Not Licensed (Exempt),,Veronica Campbell,Exempt,Dorchester School District Ii,Summerville,SC,29483,Dorchester,(843) 695-2982,A,09/21/2023,0,False,False,False,False
Little Love Christian Academy,License,24547,Alice Williams-Ellison,Child Care Center,6000 Colonial Drive,Columbia,SC,29203,Richland,(803)-400-2622,A,11/07/2024,55,False,True,False,False
McCormick Head Start,Approval,18467,Deborah Gunter,Child Care Center,615 Clayton Street,MC CORMICK,SC,29835,Mccormick,(864)-852-6010,A,03/27/2024,91,True,False,False,False
Megiddo KidStation,License,24719,Carola Kosht Dearman,Child Care Center,1461 Gregg Highway NW,AIKEN,SC,29801,Aiken,(803)-392-7062,A,01/30/2024,40,False,True,False,False
Miss Tammy's Little Learning Center-Redland,License,25074,Michelle Eckler Brittain,Child Care Center,109 Redland Road,Landrum,SC,29356,Spartanburg,(864)-457-4812,A,06/14/2022,94,False,True,False,False
Mon-Aetna Baptist Church CEC,License,17662,Kimberly R Smith,Child Care Center,1431B Lockhart Hwy,UNION,SC,29379,Union,(864)-427-2017,A,05/11/2022,265,False,True,False,False
Mullins Early Head Start,Approval,796,Hope Brown,Child Care Center,338 Academy Street,MULLINS,SC,29574,Marion,(843)-464-8002,A,11/06/2023,16,False,False,False,False
New Jerusalem Missionary Baptist Church CDC,License,21410,Steven Laverne Butterfield,Child Care Center,9303 Marlboro Avenue,Barnwell,SC,29812,Barnwell,(803)-541-6007,A,10/14/2024,83,False,True,False,False
Newington Elementary,Not Licensed (Exempt),,Renee Ketchel,Exempt,10 King Charles Circle,Summerville,SC,29485,Dorchester,(843) 832-7858,A,05/08/2024,0,False,False,False,False
Oakbrook Elementary School,Not Licensed (Exempt),,Criscelina Boo,Exempt,306 Old Fort Road,Ladson,SC,29456,Dorchester,(843) 832-7009,A,05/03/2024,0,False,False,False,False
OCAB Orangeburg Head Start Center,Approval,23822,Sarah Patricia Gaffney,Child Care Center,1826 Joe S. Jeffords Highway,Orangeburg,SC,29115,Orangeburg,(803)-585-7786,A,01/19/2024,520,True,False,False,False
Palmetto Education Center Head Start,Approval,24614,Susan Harrison Williamson,Child Care Center,200 Broad Street,MULLINS,SC,29574,Marion,(843)-464-6100,A,05/03/2023,69,True,False,False,False
Preschool @ Holly Springs Center,License,24559,Jennifer McKittrick,Child Care Center,120 Holly Springs Road,Pickens,SC,29671,Pickens,(864)-878-9335,A,03/07/2019,155,False,True,False,False
Richland County First Steps - Virginia Wingard Site,License,25068,Joanne Elizabeth Vaughn,Child Care Center,1500 Broad River,COLUMBIA,SC,29210,Richland,(803)-888-7344,A,09/20/2023,138,False,False,False,False
Ridgeland Head Start,Approval,23250,Linda Sue Bryson,Child Care Center,250 Jaguar Trail Unit103,RIDGELAND,SC,29936,Jasper,(843)-489-8845,A,,60,True,False,False,False
Robertville Head Start,Approval,760,Sherry Wright,Child Care Center,9731 Cotton Hill Road,PINELAND,SC,29934,Jasper,(843)-726-5636,A,,184,False,False,False,False
Roper Learning Center,License,24207,"Marjorie Fitzgibbon, Lori M May",Child Care Center,16 Farmfield Ave,CHARLESTON,SC,29407,Charleston,(843)-722-2293,A,08/16/2024,241,False,False,False,False
Rubye H Jones Head Start,Approval,24392,Lorrene Ann Stoddard,Child Care Center,40 John McCarroll Way,GREENVILLE,SC,29607,Greenville,(864)-520-8097,A,08/31/2023,26,True,False,False,False
Saluda Learning Center,Approval,887,Cynthia Howard,Child Care Center,117 South Bouknight Ferry Road,SALUDA,SC,29138,Saluda,(864)-445-9009,A,03/24/2023,405,True,False,False,False
Sand Hill Elementary,Not Licensed (Exempt),,Kim Cline,Exempt,324 Gnarley Oak Ln,Summerville,SC,29485,Dorchester,(843) 695-5216,A,09/15/2023,0,False,False,False,False
Southside Early Childhood Center,Approval,798,Brandan Wayne Craig,Child Care Center,500 Hampton Road,LANCASTER,SC,29720,Lancaster,(803)-283-3915,A,10/15/2024,443,True,False,False,False
Spann Extended Day,Not Licensed (Exempt),,Cornelia Smalls,Exempt,901 John Mckissick Way,Summerville,SC,29483,Dorchester,(843) 832-7042,A,09/16/2024,0,False,False,False,False
St. Michael and All Angels' Episcopal Church ELC,License,16556,Eriana Neiblum-Lamkin,Child Care Center,6408 Bridgewood Road,Columbia,SC,29206,Richland,(803)-782-8800,A,03/26/2024,130,False,False,False,False
St. Stephen Elementary Head Start,Approval,24153,Erica Wyrwas-Vanbeek,Child Care Center,1053 Russellville Rd,SAINT STEPHEN,SC,29479,Berkeley,(843)-567-2813,A,05/08/2023,40,True,False,False,False
Summerville Elementary Edc,Not Licensed (Exempt),,Sara Williams,Exempt,835 South Main St,Summerville,SC,29483,Dorchester,(843) 832-7869,A,04/24/2024,0,False,False,False,False
The House of Smiles,License,24168,Juandalyn P. Holmes,Child Care Center,215 Carolina Avenue,Moncks Corner,SC,29461,Berkeley,(843)-860-1173,A,09/07/2018,40,False,True,False,False
The Learning Tree Day School,License,17669,Bonita McMenamin,Child Care Center,2061 Glenn's Bay Road,MYRTLE BEACH,SC,29575,Horry,(843)-650-8733,A,12/01/2023,99,False,True,False,False
Whitesville Elementary Head Start,Approval,23403,Brandon Harris Gantt,Child Care Center,324 Gaillard Road,MONCKS CORNER,SC,29461,Berkeley,(843)-899-8880,A,10/16/2023,80,True,False,False,False
Whittaker Head Start,Approval,502,"Tammy Pendergrass, Sherina Janae Harley",Child Care Center,2326 Worship Street,LITTLE ROCK,SC,29567,Dillon,(843)-841-3116,A,04/23/2024,180,True,False,False,False
William Reeves Extended Da,Not Licensed (Exempt),,Frankie Turner,Exempt,1003 Dubose School Rd,Summerville,SC,29483,Dorchester,(843) 695-2457,A,09/12/2024,0,False,False,False,False
1+1=2 Daycare,License,17438,ALVONIA SHEPHERD,Child Care Center,80 Crested Eagle Drive,Ridgeland,SC,29936,Jasper,(843)-726-9408,B+,08/25/2021,32,False,False,False,False
Abbeville Head Start,Approval,312,Amy T Glover,Child Care Center,706 Carolina Circle,Abbeville,SC,29620,Abbeville,(864)-459-5275,B+,03/30/2022,159,True,False,False,False
Aja Sherred,License,25266,"Aja Sherred ",Family Child Care Home,123 Starlight Drive,GREENVILLE,SC,29605,Greenville,(864)-546-0278,B+,10/30/2024,6,False,False,False,False
Allendale Learning Academy,License,26251,Trina Badger,Child Care Center,191 Pleasant St West,ALLENDALE,SC,29810,Allendale,(803)-702-9006,B+,,44,False,False,False,False
Amanda Hullinger,License,24888,"Amanda Hullinger ",Family Child Care Home,5453 Kings River Drive,NORTH CHARLESTON,SC,29420,Dorchester,(843)-518-8011,B+,08/23/2024,6,False,False,False,False
Angela Anderson,License,24765,"Angela Anderson ",Family Child Care Home,916 Walker Road,PENDLETON,SC,29670,Anderson,(864)-634-1732,B+,05/15/2024,6,False,False,False,False
Angeline C Nowlin,License,16852,Angeline Nowlin C,Group Child Care Home,330 East Sam Harrell Road,FLORENCE,SC,29506,Florence,(843)-665-8355,B+,11/15/2024,12,False,False,False,False
Antioch 3 & 4K Development Center Preschool,License,22987,Clarice Jones,Child Care Center,1207 1/2 E Howe Springs Road,FLORENCE,SC,29505,Florence,(843)-661-6599,B+,01/25/2024,41,False,True,False,False
April Glenn,Registration,24304,"April Glenn ",Family Child Care Home,"1013 Fairfield Drive ",ANDERSON,SC,29621,Anderson,(864)-245-1905,B+,11/21/2024,6,False,False,False,False
Archway Academy #8,License,25686,Samantha Segars,Child Care Center,601 Brushy Creek Road,EASLEY,SC,29642,Pickens,(864)-855-4851,B+,,99,False,False,False,False
Ashley Swilley,Registration,24602,"Ashley Swilley ",Family Child Care Home,6601 Bent Creek Drive,NORTH CHARLESTON,SC,29420,Dorchester,(313)-670-1587,B+,12/04/2024,6,False,False,False,False
