Certificate Number,Account Name,Type,Status,Certificate Effective Date,Certificate Expiration Date,Physical County,Physical Street,Physical City,Physical State/Province,Physical Zip/Postal Code,Phone,Capacity-Infants,Capacity-One-Year-Olds,School Aged,Capacity-Total Licensed,License Tier,Approved To,
CDC-6172,A.E.S.D.#68 - Alhambra Head Start - Westwood,Child Care Center,Active,10/1/2023,9/30/2024,MARICOPA,4711 North 23rd Avenue,Phoenix,AZ,85015,6022465155,0,0,,65,60+ licensed capacity,Part Day Care; 3/4/5-year-old Care,
CDC-18586,A.E.S.D.#68 - Alhambra Preschool Academy,Child Care Center,Active,7/1/2022,6/30/2025,MARICOPA,4730 West Campbell Avenue,Phoenix,AZ,85031,6022465155,0,0,,345,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-18360,A.E.S.D.#68 - Alhambra Traditional School,Child Care Center,Active,8/1/2024,7/31/2025,MARICOPA,5725 North 27th Avenue,Phoenix,AZ,85017,6024848816,0,0,Licensed,210,60+ licensed capacity,Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-17677,A.E.S.D.#68 - Cordova Middle School,Child Care Center,Active,9/1/2023,8/31/2024,MARICOPA,5631 North 35th Avenue,Phoenix,AZ,85017,602-256-5155,0,0,,65,11-59 licensed capacity,Full-Day Care; 3/4/5-year-old Care,
CDC-14314,A.E.S.D.#68 - Head Start - Granada Primary School,Child Care Center,Active,8/1/2024,7/31/2025,MARICOPA,3232 West Campbell Avenue,Phoenix,AZ,85017,6022465155,0,0,,95,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-14313,A.E.S.D.#68 - Head Start - Sevilla Primary School,Child Care Center,Active,8/1/2024,7/31/2025,MARICOPA,3801 West Missouri Avenue,Phoenix,AZ,85019,6022420281,0,0,,95,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
0020214CDCPE26463704,A.J.U.S.D.#43 - The Early Learning Center Daycare,Child Care Center,Active,1/29/2024,1/28/2025,Pinal,550 South Ironwood Drive,Apache Junction,AZ,85120,4806777570,23,23,Licensed,128,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-18675,A.S.U. Preparatory Academy,Child Care Center,Active,8/1/2024,7/31/2025,MARICOPA,6950 East Wiliams Field Road,Mesa,AZ,85212,4807275700,0,0,Licensed,305,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-9983,A.U.S.D.#10 - Canyon Del Oro Early Childhood Center,Child Care Center,Active,8/1/2024,7/31/2025,PIMA,25 West Calle Concordia,Tucson,AZ,85704,5206965649,0,0,,45,11-59 licensed capacity,Full-Day Care; Part Day Care; Two-year-old Care; 3/4/5-year-old Care,
CDC-19155,A.U.S.D.#10 - Imagine Preschool At Amphitheater High School,Child Care Center,Active,1/3/2022,12/31/2024,PIMA,125 West Yavapai Road,Tucson,AZ,85705,5206965340,0,0,,36,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
0020011CDCTK78418018,A.U.S.D. #10 - Imagine Preschool at Copper Creek Elementary,Child Care Center,Active,8/3/2023,8/2/2024,Pima,11620 N Copper Spring Trl,Tucson,AZ,85737,520-696-6800,0,0,,45,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
0020012CDCMY33926146,A.U.S.D. #10 - Imagine Preschool at Donaldson Elementary,Child Care Center,Active,8/3/2023,8/2/2024,Pima,2040 W Omar Dr,Tucson,AZ,85704,520-696-6440,0,0,,20,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-19181,A.U.S.D.#10 - Imagine Preschool At Holaway Elementary School,Child Care Center,Active,1/13/2022,12/31/2024,PIMA,3501 North Cherry Avenue,Tucson,AZ,85719,5206966927,0,0,,20,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-17985,A.U.S.D.#10 - Imagine Preschool At Innovation Academy,Child Care Center,Active,8/1/2024,7/31/2025,PIMA,825 West Desert Fairways,Oro Valley,AZ,85755,5202694638,0,0,,25,11-59 licensed capacity,Full-Day Care; 3/4/5-year-old Care,
0020131CDCHH51521417,A.U.S.D. # 10-Imagine Preschool at Ironwood Ridge High School,Child Care Center,Active,7/28/2023,8/2/2024,Pima,2475 West Naranja Drive,Oro Valley,AZ,85742,520-696-3902,0,0,,20,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
0020009CDCCF36621555,A.U.S.D.#10 - Imagine Preschool at Keeling Elementary,Child Care Center,Active,8/3/2023,8/2/2024,Pima,2837 N Los Altos Ave,Tucson,AZ,85705,520-696-5174,0,0,,20,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
0020150CDCJE90467547,A.U.S.D. #10-Imagine Preschool at Mesa Verde Elementary,Child Care Center,Active,8/2/2023,8/2/2024,Pima,1661 West Sage Street,Tucson,AZ,85704,520-696-6090,0,0,,20,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
0020010CDCWZ41325977,A.U.S.D. #10 - Imagine Preschool at Nash Elementary,Child Care Center,Active,8/3/2023,8/2/2024,Pima,515 W Kelso St,Tucson,AZ,85705,520-696-6440,0,0,Licensed,85,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-18296,A.U.S.D.#10 - Imagine Preschool At Painted Sky Elementary,Child Care Center,Active,8/1/2024,7/31/2025,PIMA,12620 North Woodburne Avenue,Oro Valley,AZ,85755,5206963802,0,0,,65,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
0020013CDCFC64032162,A.U.S.D.#10 - Imagine Preschool at Prince Elementary,Child Care Center,Active,8/3/2023,8/2/2024,Pima,125 E Prince Rd,Tucson,AZ,85705,520-696-6486,0,0,,20,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
0020014CDCTB69817629,A.U.S.D. #10 - Imagine Preschool at Rio Vista Elementary,Child Care Center,Active,8/4/2023,8/3/2024,Pima,1351 E Limberlost Dr,Tucson,AZ,85719,520-696-5250,0,0,,20,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-19154,A.U.S.D.#10 - Imagine Preschool At Walker Elementary,Child Care Center,Active,10/28/2020,9/30/2024,PIMA,1750 West Roller Coaster Road,Tucson,AZ,85704,5206966573,0,0,,20,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
0020126CDCPP43496488,A.U.S.D. #10 - Inclusive Preschool Program at Donaldson Elementary,Child Care Center,Active,7/26/2023,8/2/2024,Pima,2040 West Omar Drive,Tucson,AZ,85704,(520) 696-6160,0,0,,20,11-59 licensed capacity,Part Day Care; 3/4/5-year-old Care,
0020127CDCCK91863255,A.U.S.D. #10 - Inclusive Preschool Program at Holaway,Child Care Center,Active,7/27/2023,8/2/2024,Pima,3501 North Cherry Avenue,Tucson,AZ,85719,(520) 696-6880,0,0,,20,11-59 licensed capacity,Part Day Care; 3/4/5-year-old Care,
CDC-15998,A.U.S.D.#15 - Ajo Elementary,Child Care Center,Active,11/1/2023,10/31/2024,PIMA,111 North Well Road,Ajo,AZ,85321,5203875618,0,0,,20,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
0020132CDCHZ78361456,A.U.S.D. #-Imagine Preschool at Coronado K-8,Child Care Center,Active,7/28/2023,8/2/2024,Pima,3401 East Wilds Road,Tucson,AZ,85739,520-696-6610,0,0,,20,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
0020147CDCJP68048334,A.U.S.D # 10-Inclusive Preschool at Painted Sky Elementary,Child Care Center,Active,8/2/2023,8/2/2024,Pima,12620 North Woodburne Avenue,Oro Valley,AZ,85755,(520) 696-3800,0,0,,20,11-59 licensed capacity,Part Day Care; 3/4/5-year-old Care,
0020146CDCNO94939036,A.U.S.D #10-Inclusive Preschool Program at Copper Creek Elementary,Child Care Center,Active,8/2/2023,8/2/2024,Pima,11620 North Copper Spring Trail,Tucson,AZ,85737,(520) 696-6800,0,0,,40,11-59 licensed capacity,Part Day Care; 3/4/5-year-old Care,
0020149CDCIY20040855,A.U.S.D #10-Inclusive Preschool Program at Lulu Walker Elementary,Child Care Center,Active,8/2/2023,8/2/2024,Pima,1750 West Roller Coaster Road,Tucson,AZ,85704,(520) 696-6518,0,0,,20,11-59 licensed capacity,Part Day Care; 3/4/5-year-old Care,
CDC-15694,A.V.S.D.#51 - Robles Elementary Preschool,Child Care Center,Active,4/1/2024,3/31/2025,PIMA,10105 South Sasabe Rd,Tucson,AZ,85736,5208229418,0,0,,59,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
SGH-18388,ABC's Clubhouse,Child Care Group Home,Active,9/1/2021,8/31/2024,YUMA,246 West 23rd Street,Yuma,AZ,85364,9283881831,0,0,,9,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care,
CDC-16036,"ABC & 123 Small Blessings Center, LLC",Child Care Center,Active,1/1/2024,12/31/2024,PINAL,1060 North Arizona Blvd,Coolidge,AZ,85128,5204242959,10,10,Licensed,89,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care; Weekend Care; Evening/Nighttime Care,
CDC-18774,"ABC & 123 Small Blessings Center, LLC",Child Care Center,Active,1/1/2024,12/31/2024,PINAL,1530 North Pinal Avenue,Casa Grande,AZ,85122,5208367326,14,8,Licensed,79,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care; Weekend Care; Evening/Nighttime Care,
CDC-19146,"ABC & 123 Small Blessings Center, LLC",Child Care Center,Active,10/5/2021,9/30/2024,PINAL,99 North E Street,Eloy,AZ,85131,5204663193,16,0,Licensed,59,11-59 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care; Weekend Care; Evening/Nighttime Care,
SGH-17477,Abc Child Care,Child Care Group Home,Active,2/1/2024,1/31/2025,MARICOPA,5415 West St Kater Drive,Laveen,AZ,85339,4808198333,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; School-Age Child Care; Evening/Nighttime Care,
CDC-11150,A B C Preschool,Child Care Center,Active,2/1/2022,1/31/2025,MARICOPA,6311 South Rural Road,Tempe,AZ,85283,4808390111,10,15,Licensed,150,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
0020238CDCHT37413850,ABODE Peoria,Child Care Center,Active,5/30/2024,5/29/2025,Maricopa,13111 North 94th Drive,Peoria,AZ,85381,9723021209,11,40,Licensed,256,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-8740,Abundant Life Preschool,Child Care Center,Active,2/1/2024,1/31/2025,COCONINO,3475 East Soliere Avenue,Flagstaff,AZ,86004,9285273900,0,25,Licensed,143,60+ licensed capacity,Full-Day Care; Part Day Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-12515,Academy For Early Learning,Child Care Center,Active,1/1/2024,12/31/2024,MARICOPA,51020 Highway 60,Wickenburg,AZ,85390,9286680410,8,10,Licensed,57,11-59 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
0020197CDCKC76503725,Academy of Destiny Christian Academy,Child Care Center,Active,11/17/2023,11/16/2024,Maricopa,15220 North 39th Avenue,Phoenix,AZ,85053,602-348-8249,14,14,Licensed,113,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-9509,Accelerated Learning Laboratory,Child Care Center,Active,2/1/2024,1/31/2025,PIMA,5245 North Camino De Oeste,Tucson,AZ,85745,5208502955,0,0,Licensed,45,11-59 licensed capacity,Full-Day Care; Part Day Care; School-Age Child Care,
CDC-11818,"A Child's Place At The Ranches, L.L.C.",Child Care Center,Active,3/1/2024,2/28/2025,MARICOPA,3636 South Atherton Boulevard,Gilbert,AZ,85297,4809077590,11,22,Licensed,189,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-12649,Acorn Christian Montessori School,Child Care Center,Active,4/1/2024,3/31/2025,YAVAPAI,7555 East Long Look Drive,Prescott Valley,AZ,86314,928-775-0238,0,0,Licensed,105,60+ licensed capacity,Full-Day Care; Part Day Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-8852,Acorn Christian Montessori School,Child Care Center,Active,8/1/2024,7/31/2025,YAVAPAI,8556 East Loos Drive,Prescott Valley,AZ,86314,9287725778,0,0,Licensed,27,11-59 licensed capacity,Part Day Care; School-Age Child Care,
CDC-18907,Acorn Christian Montessori School-North Campus,Child Care Center,Active,8/1/2024,7/31/2025,YAVAPAI,8085 East Manley Drive,Prescott Valley,AZ,86314,9287750238,0,0,Licensed,59,11-59 licensed capacity,Full-Day Care; Part Day Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-10283,Active Learning Center #4,Child Care Center,Active,1/1/2024,12/31/2024,MARICOPA,3342 West Roosevelt Street,Phoenix,AZ,85009,6022723609,14,11,Licensed,165,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-13631,Active Learning Center #6,Child Care Center,Active,7/31/2022,7/31/2025,MARICOPA,704 East Butler Drive,Phoenix,AZ,85020,6026749800,8,13,Licensed,83,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-18368,Active Learning Center #7,Child Care Center,Active,9/1/2021,8/31/2024,MARICOPA,10701 North 15th Avenue,Phoenix,AZ,85029,6029446500,7,13,Licensed,114,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-18832,Active Learning Center #8,Child Care Center,Active,4/1/2024,3/31/2025,MARICOPA,4494 West Peoria Avenue #120,Glendale,AZ,85302,6235943010,10,16,Licensed,91,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
0020098CDCWO77322625,Active Learning Center 9,Child Care Center,Active,1/10/2024,1/9/2025,Maricopa,1544 E Mitchell Dr,Phoenix,AZ,85014,602-230-2689,10,9,Licensed,76,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-16285,Adams Traditional Beginnings,Child Care Center,Active,9/1/2021,8/31/2024,MARICOPA,2323 West Parkside Lane,Phoenix,AZ,85027,6029385517,0,0,Licensed,345,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-10712,Adobe Montessori School,Child Care Center,Active,6/1/2024,5/31/2025,MARICOPA,6400 West Del Rio Street,Chandler,AZ,85226,4808992980,0,0,,145,60+ licensed capacity,Full-Day Care; Part Day Care; Two-year-old Care; 3/4/5-year-old Care,
CDC-12527,A Dream Come True Preschool And Learning Center,Child Care Center,Active,8/1/2024,7/31/2025,PIMA,6163 South Midvale Park,Tucson,AZ,85746,5202943738,8,12,Licensed,46,11-59 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-16616,Advance U,Child Care Center,Active,7/31/2022,7/31/2025,MARICOPA,449 East Southern Avenue,Phoenix,AZ,85040,6022438531,0,0,Licensed,59,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-9146,Adventure School,Child Care Center,Active,10/1/2021,9/30/2024,PIMA,5757 East Pima Road,Tucson,AZ,85712,5202960656,0,0,Licensed,105,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-13640,Adventure School 2,Child Care Center,Active,10/1/2023,9/30/2024,PIMA,5801 E Pima Street,Tucson,AZ,85712,5202969775,0,0,,61,11-59 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care,
CDC-19147,Agape Preschool Llc - North,Child Care Center,Active,10/20/2021,9/30/2024,MARICOPA,10236 North 83rd Avenue,Peoria,AZ,85345,6234863134,0,10,,43,11-59 licensed capacity,Full-Day Care; Part Day Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care,
CDC-17384,"A Great Beginning, Inc.",Child Care Center,Active,8/1/2024,7/31/2025,MARICOPA,13380 West Van Buren Street,Goodyear,AZ,85338,6239329940,0,34,Licensed,105,60+ licensed capacity,Full-Day Care; Part Day Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-5248,Ahwatukee Foothills Montessori Center,Child Care Center,Active,1/1/2022,12/31/2024,MARICOPA,3221 East Chandler Boulevard,Phoenix,AZ,85048,4807593810,0,0,Licensed,125,60+ licensed capacity,Full-Day Care; Part Day Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-1036,Ahwatukee Preschool,Child Care Center,Active,7/31/2022,7/31/2025,MARICOPA,11002 South 48th Street,Phoenix,AZ,85044,4808932531,0,12,Licensed,59,11-59 licensed capacity,Full-Day Care; Part Day Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
0020004CDCWQ23539508,Aisling Village,Child Care Center,Active,5/10/2022,5/9/2025,Pinal,850 S Ironwood Dr,Apache Junction,AZ,85120,4809827950,15,9,Licensed,89,60+ licensed capacity,Full-Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-0179,A Kiddie's Kingdom,Child Care Center,Active,6/30/2022,6/30/2025,MARICOPA,2318 North 35th Avenue,Phoenix,AZ,85009,6022781513,16,20,Licensed,248,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-18260,"Akira's Learning Center, LLC",Child Care Center,Active,6/1/2024,5/31/2025,SANTA CRUZ,"1200 East Patagonia Highway, Ste# 2",Nogales,AZ,85621,5206092717,5,5,Licensed,42,11-59 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care; Evening/Nighttime Care,
CDC-18333,Ala Little Leaders - Anthem,Child Care Center,Active,11/1/2021,10/31/2024,PINAL,4380 North Hunt Highway,Florence,AZ,85132,4803449800,0,0,,88,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
0020097CDCVH87628169,ALA Little Leaders - Applied Tech,Child Care Center,Active,1/10/2024,1/9/2025,Maricopa,7729 E Pecos Rd,Mesa,AZ,85212,480-896-9960,0,0,,45,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-18285,Ala Little Leaders - Gilbert South,Child Care Center,Active,8/8/2022,9/30/2024,MARICOPA,1750 East Riggs Road,Gilbert,AZ,85298,4803449894,0,0,,156,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-18870,Ala Little Leaders - Mesa,Child Care Center,Active,8/1/2024,7/31/2025,MARICOPA,4507 South Mountain Road,Mesa,AZ,85212,4804202110,0,0,,78,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
0020161CDCQA25933611,ALA Little Leaders - San Tan Valley,Child Care Center,Active,8/16/2023,8/15/2024,Pinal,34696 North Village Lane,Queen Creek,AZ,85142,(480) 420-2100,0,0,,52,11-59 licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
CDC-18284,Ala Little Leaders - Signal Butte,Child Care Center,Active,11/1/2021,10/31/2024,MARICOPA,22512 South Signal Butte,Queen Creek,AZ,85142,480-344-9893,0,0,,130,60+ licensed capacity,Full-Day Care; Part Day Care; 3/4/5-year-old Care,
0020194CDCIB80626576,ALA Little Leaders - West Foothills,Child Care Center,Active,11/8/2023,11/7/2024,Maricopa,17608 West Olive Avenue,Waddell,AZ,85355,(623) 288-6250,0,0,,59,11-59 licensed capacity,3/4/5-year-old Care,
SGH-12863,Aldamaty's,Child Care Group Home,Active,12/1/2021,11/30/2024,PIMA,782 W Coventry Dr,Tucson,AZ,85756,5208068052,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; School-Age Child Care; Evening/Nighttime Care,
CDC-9859,Aldea Montessori School,Child Care Center,Active,9/1/2023,8/31/2024,MARICOPA,15639 North 40th Street,Phoenix,AZ,85032,6024850276,0,5,Licensed,65,60+ licensed capacity,Full-Day Care; Part Day Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-15792,Alegrias Child Care & Learning Center,Child Care Center,Active,8/1/2024,7/31/2025,MARICOPA,7420 South Rural Road,Tempe,AZ,85283,4804667610,10,12,Licensed,114,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
SGH-18529,Alfaros Child Care,Child Care Group Home,Active,3/31/2022,3/31/2025,PIMA,2401 East Aleppo Place,Tucson,AZ,85706,5208895331,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care; Evening/Nighttime Care,
SGH-9145,Alicias Day Care,Child Care Group Home,Active,11/1/2021,10/31/2024,YUMA,2036 South 46th Avenue,Yuma,AZ,85364,9283298987,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; School-Age Child Care,
0020094CGHDF68947778,Alison Heying,Child Care Group Home,Active,2/21/2024,2/20/2025,Pinal,684 West Coffee Tree Avenue,San Tan Valley,AZ,85140,3209050202,0,0,,5,1-10 licensed capacity,Part Day Care; Two-year-old Care; 3/4/5-year-old Care,
SGH-19055,Allen House Child Care Llc,Child Care Group Home,Active,7/1/2024,6/30/2025,PINAL,20482 North Conlon Road,Maricopa,AZ,85138,5202526783,0,0,,10,1-10 licensed capacity,Full-Day Care; Infant Care; One-year-old Care,
CDC-12508,All Saints Catholic School,Child Care Center,Active,7/1/2024,6/30/2025,COCHISE,1425 East Yaqui Street,Sierra Vista,AZ,85650,5203787012,0,0,,59,11-59 licensed capacity,Full-Day Care; Part Day Care; Two-year-old Care; 3/4/5-year-old Care,
CDC-1692,All Saints Pre-K Program,Child Care Center,Active,8/1/2024,7/31/2025,MARICOPA,6300 North Central Avenue,Phoenix,AZ,85012,6022744866,0,0,,185,60+ licensed capacity,Full-Day Care; 3/4/5-year-old Care,
SGH-18628,All Star Daycare / Maritza Aguilar,Child Care Group Home,Active,7/31/2022,7/31/2025,MARICOPA,4050 North 300th Drive,Buckeye,AZ,85396,9515295962,0,0,Licensed,10,1-10 licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; School-Age Child Care,
CDC-14563,All Star Preschool,Child Care Center,Active,11/1/2023,10/31/2024,MARICOPA,1830 North Country Club Drive,Mesa,AZ,85201,4808357100,11,15,Licensed,111,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
CDC-9725,All Together Now Preschool And Childcare,Child Care Center,Active,11/1/2023,10/31/2024,MARICOPA,516 South Dobson Road,Mesa,AZ,85202,4806109299,0,0,Licensed,134,60+ licensed capacity,Full-Day Care; Part Day Care; Infant Care; One-year-old Care; Two-year-old Care; 3/4/5-year-old Care; School-Age Child Care,
