Program Name,Program Phone,Program Email,Program Address 1,Program Address 2,Town,Program Zip,EEC Regional Office Address:,Program Contact Name,License First Issue Date,Most Recently Renewed,License Number,Capacity,CCRR Name,CCRR Phone,Program Type
Access Enrichment Program-Quincy,(617) 426-1070,qep@chinatownaccess.org,73 Newbury Avenue,,Quincy,2171,"500 Victory Road, Suite 2100, Quincy, MA 02171",,12/16/24,12/16/24,9139810,13,Community Care for Kids,(617) 657-5305,Large Group
"Ace-Brogan, Eva-Marie",(781) 337-0614,evamarieab@gmail.com,53 EVANS ST,,Weymouth,02191-1004,"500 Victory Road, Suite 2100, Quincy, MA 02171",,1/30/13,1/30/22,9092553,10,Community Care for Kids,(617) 657-5305,Family Child Care
"Acevedo, Ayalibys",(617) 435-5545,ayalibys@me.com,1141 HYDE PARK AVE. APT 2,,Hyde Park,2136,"500 Victory Road, Suite 2100, Quincy, MA 02171",,8/15/04,8/15/22,9101402,10,Child Care Choices of Boston,(617) 542-5437,Family Child Care
"Acevedo, Margarita",(857) 352-8843,andujarmargarita729@gmail.com,165 LAMARTINE STREET,,Jamaica Plain,2130,"500 Victory Road, Suite 2100, Quincy, MA 02171",,2/16/23,2/16/23,9113585,6,Child Care Choices of Boston,(617) 542-5437,Family Child Care
"Acevedo, Maria",(617) 333-9983,nidya1980@hotmail.com,625 METROPOLITAN AVENUE # 2,,Hyde Park,2136,"500 Victory Road, Suite 2100, Quincy, MA 02171",,5/9/99,8/18/21,9126433,10,Child Care Choices of Boston,(617) 542-5437,Family Child Care
"Acevedo, Monica",(857) 930-1980,m.acevedo0504@gmail.com,41 BULLARD ST #1,,Dorchester,02121-3839,"500 Victory Road, Suite 2100, Quincy, MA 02171",,10/19/22,10/19/22,9103021,10,Child Care Choices of Boston,(617) 542-5437,Family Child Care
"Ackerman, Tracy",(508) 337-5972,tracyackerman@verizon.net,341 Balcom Street,,Mansfield,02048-1738,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,4/29/08,4/29/23,9120058,8,Child Care Works,(508) 999-9930,Family Child Care
Acorn Center for Early Education /Care,(617) 249-2995,kathy.cheng@bcnc.net,38 ASH STREET,,Boston,2111,"500 Victory Road, Suite 2100, Quincy, MA 02171",Kathy Cheng,6/25/88,2/17/24,9140477,101,Child Care Choices of Boston,(617) 542-5437,Large Group
"Acosta, Maria",(508) 333-7485,macosta1417@gmail.com,7 Winona Street,,Brockton,02301-5035,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,9/11/02,3/24/24,9140144,10,Child Care Works,(508) 999-9930,Family Child Care
Active Kids,(508) 541-1400,chansom@adirondackclub.com,800 CHESTNUT ST,,Franklin,02038-1271,"324-R Clark Street, Worcester, MA 01606",Claire Hansom,12/22/09,6/7/24,9142360,111,Seven Hills Child Care Resources,(508) 856-7930,Large Group
"Adames de Gonzalez, Esmeralda",857-247-9755,esmeraldaadames@yahoo.com,43 Oldfields Road  2nd Floor,,Dorchester,2121,"500 Victory Road, Suite 2100, Quincy, MA 02171",,7/2/18,7/2/21,9083328,8,Child Care Choices of Boston,(617) 542-5437,Family Child Care
"Adames, Kimberly",(774) 826-8172,kimberlyadames@yahoo.com,20 Bridge Street,,Brockton,2302,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,6/14/18,6/14/24,9149505,6,Child Care Works,(508) 999-9930,Family Child Care
Adams Montessori School,(617) 773-8200,nicole@adamsmontessori.org,310 ADAMS STREET,,Quincy,2169,"500 Victory Road, Suite 2100, Quincy, MA 02171",Nicole Manny,9/10/88,2/11/24,9135391,96,Community Care for Kids,(617) 657-5305,Large Group
Adams St Early Learning Center II,(617) 696-3006,kevinchris3@verizon.net,330 EDGE HILL ROAD,,Milton,2186,"500 Victory Road, Suite 2100, Quincy, MA 02171",Christine Lenane,9/17/09,8/23/24,9147806,53,Community Care for Kids,(617) 657-5305,Large Group
"Adams, Kathleen",(617) 327-9217,katcc51@msn.com,785 VFW PKWY,,West Roxbury,02132-2406,"500 Victory Road, Suite 2100, Quincy, MA 02171",,10/23/92,10/5/21,9091375,6,Child Care Choices of Boston,(617) 542-5437,Family Child Care
"Adams, Wendy",(617) 773-5963,littlesunflowerscc@gmail.com,108 WEST ELM AVE,,Quincy,2170,"500 Victory Road, Suite 2100, Quincy, MA 02171",,9/21/98,9/21/22,9104348,8,Community Care for Kids,(617) 657-5305,Family Child Care
"Adger, Helen",(617) 288-0523,hadger1951@hotmail.com,12 Wildwood Street Apt. 1,,Dorchester,2124,"500 Victory Road, Suite 2100, Quincy, MA 02171",,11/1/95,11/1/22,9115394,6,Child Care Choices of Boston,(617) 542-5437,Family Child Care
Adventures In Montessori Early Childhood Center,(857) 273-3453,info@adventuresinmontessori.org,65 Rockwood Street,,Jamaica Plain,2130,"500 Victory Road, Suite 2100, Quincy, MA 02171",Theodora Koziol,4/30/19,10/31/23,9148464,51,Child Care Choices of Boston,(617) 542-5437,Large Group
"AGAPE Childcare and Family Life Center, Inc.",(508) 894-6794,agape.director1@gmail.com,20 Oak Street Ext,,Brockton,02301-1111,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Tracey Wilson,4/5/07,7/5/24,9147297,100,Child Care Works,(508) 999-9930,Large Group
"Agbese, Susanna",(617) 962-3969,susannamecha@yahoo.com,5 BAYBERRY LN,,Randolph,02368-5101,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,4/25/00,3/19/25,9165683,10,Community Care for Kids,(617) 657-5305,Family Child Care
"Agnew, Dorothy",(617) 436-4857,pridenjoy35@gmail.com,18 BOYDEN ST,,Dorchester Center,2124,"500 Victory Road, Suite 2100, Quincy, MA 02171",,8/19/01,8/19/22,9101749,10,Child Care Choices of Boston,(617) 542-5437,Family Child Care
"Aguasviva Franco, Luisa Yakaira",(617) 412-9834,yakaira.a.1984@gmail.com,28 Woodruff Way,,Mattapan,2126,"500 Victory Road, Suite 2100, Quincy, MA 02171",,2/25/25,2/25/25,9153127,6,Child Care Choices of Boston,(617) 542-5437,Family Child Care
"Aguasvivas Heredia, Scarlet",(617) 401-1400,scarletaguasviva60@gmail.com,12 Wabon St # 1,,Dorchester,2121,"500 Victory Road, Suite 2100, Quincy, MA 02171",,5/8/22,5/8/22,9097378,6,Child Care Choices of Boston,(617) 542-5437,Family Child Care
"Aguasvivas, Lucy",(857) 719-1016,lucyevilo70@gmail.com,16 BAIRD STREET APT 1,,Dorchester,2124,"500 Victory Road, Suite 2100, Quincy, MA 02171",,9/22/14,9/22/23,9128207,10,Child Care Choices of Boston,(617) 542-5437,Family Child Care
"Aguilar Guerrero, Sara",(857) 389-7214,saraguerrero358@gmail.com,1435 Centre Street,,West Roxbury,2132,"500 Victory Road, Suite 2100, Quincy, MA 02171",,2/16/23,2/16/23,9112863,6,Child Care Choices of Boston,(617) 542-5437,Family Child Care
"Aguilar, Dora",(857) 234-8303,doraaguilar18@gmail.com,239 High St,239 High Street,Randolph,2368,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,2/6/02,2/9/25,9163663,10,Community Care for Kids,(617) 657-5305,Family Child Care
"Ajmal, Aqsa",(339) 364-0762,aqsaajmal34@gmail.com,395 East Street,,Sharon,2067,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,10/24/22,10/24/22,9104591,6,Child Care Works,(508) 999-9930,Family Child Care
"Akshia, Albana",(781) 849-6191,akshia@comcast.net,349 LIBERTY ST,,Braintree,02184-6042,"500 Victory Road, Suite 2100, Quincy, MA 02171",,11/30/09,11/30/24,9154658,8,Community Care for Kids,(617) 657-5305,Family Child Care
Al-Noor Academy,(781) 784-0400,nkhalil@alnooracademy.org,86 Chase Drive,,Sharon,2067,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,1/6/20,1/6/24,9136703,110,Child Care Works,(508) 999-9930,Private School
Albrecht Kinder Academy,(508) 205-7165,holly.albrechtkinder@gmail.com,77 Turnpike Street,,South Easton,2375,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Holly Deely,10/5/20,4/5/25,9163824,41,Child Care Works,(508) 999-9930,Large Group
"Alcantara, Yoanny",(305) 331-7543,yoannyfamilydaycare@gmail.com,22 Pauline  St,,Randolph,2368,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,3/17/13,12/20/24,9161469,10,Community Care for Kids,(617) 657-5305,Family Child Care
"Alexander, Juanda",(617) 427-1030,alexanderkidz@aol.com,8 PASADENA RD,,Dorchester,02121-3302,"500 Victory Road, Suite 2100, Quincy, MA 02171",,8/14/97,8/14/21,9087880,10,Child Care Choices of Boston,(617) 542-5437,Family Child Care
"Allegrini, Alisa",(508) 221-0055,alisa.allegrini@gmail.com,238 Bowker Street,,Norwell,2061,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,6/14/18,6/14/24,9147705,8,Child Care Network,(508) 778-9470,Family Child Care
"Allen, Amanda",(857) 342-5070,pandacares4u@gmail.com,11 Holmfield Ave. #2,,Hyde Park,2136,"500 Victory Road, Suite 2100, Quincy, MA 02171",,9/21/20,9/21/23,9131344,6,Child Care Choices of Boston,(617) 542-5437,Family Child Care
"Allen, Joyce",(617) 442-3715,joyfirst2@gmail.com,234 West Selden Street Apt 2,,Mattapan,2126,"500 Victory Road, Suite 2100, Quincy, MA 02171",,3/15/12,3/15/24,9142957,10,Child Care Choices of Boston,(617) 542-5437,Family Child Care
Allston Brighton St. Gabriel's Head Start,(617) 783-5646,alketa.bocova@bostonabcd.org,478 Western Avenue,,Brighton,2135,"500 Victory Road, Suite 2100, Quincy, MA 02171",Alketa Bocova,7/6/85,10/2/23,9127816,76,Child Care Choices of Boston,(617) 542-5437,Large Group
"Almeida De Souza Barbosa, Fernanda",(857) 346-4163,fernandaalmeidadesouzabarbosa@gmail.com,231 Holbrook Rd,,Quincy,2171,"500 Victory Road, Suite 2100, Quincy, MA 02171",,7/7/22,8/9/23,9103131,8,Community Care for Kids,(617) 657-5305,Family Child Care
"Almonte Osiris, Narolie Anyolina",(347) 782-4802,narolieee@gmail.com,12 Oakland Av,,Quincy,2170,"500 Victory Road, Suite 2100, Quincy, MA 02171",,1/5/25,1/5/25,9144668,6,Community Care for Kids,(617) 657-5305,Family Child Care
"Alnasiri, Latifa",(617) 773-3737,alnasiri2010@hotmail.com,65 CHUBBUCK STREET,,Quincy,2169,"500 Victory Road, Suite 2100, Quincy, MA 02171",,10/6/10,10/6/22,9104062,8,Community Care for Kids,(617) 657-5305,Family Child Care
"Alvarado, Juana",(857) 492-7148,karenfamilydaycare04@gmail.com,60 LAWRENCE AVE APT 1,,Dorchester,02121-2065,"500 Victory Road, Suite 2100, Quincy, MA 02171",,2/6/01,11/27/21,9092613,10,Child Care Choices of Boston,(617) 542-5437,Family Child Care
"Alvarado, Ligia",(617) 506-0855,ligiaa11@icloud.com,55 JOHNSTON ROAD # 1,,Dorchester,2124,"500 Victory Road, Suite 2100, Quincy, MA 02171",,12/2/07,12/2/22,9109922,6,Child Care Choices of Boston,(617) 542-5437,Family Child Care
"Alves de Carvalho, Janaina",(781) 857-8763,jeniti31@hotmail.com,130 Levin Road,,Rockland,2370,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,4/8/18,4/8/24,9140240,8,Child Care Network,(508) 778-9470,Family Child Care
"Alves, Neusa",(774) 240-9424,alvesneusa09@yahoo.com,42 Hervey Street,,Brockton,2301,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,7/30/15,7/30/24,9148985,10,Child Care Works,(508) 999-9930,Family Child Care
"Amado, Maria",(617) 602-0965,gomesmaria537@yahoo.com,86 Belair Street,,Brockton,02301-2000,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,12/3/08,12/3/23,9134894,8,Child Care Works,(508) 999-9930,Family Child Care
"Amazan-Davis, Martine",(617) 820-2018,amazans@aol.com,138 Copeland Street,,Brockton,2301,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/11/15,8/11/24,9149355,10,Child Care Works,(508) 999-9930,Family Child Care
"Amelia Gomes, Leidiane",(774) 441-2966,ledianeamelia133@gmail.com,178 Keith Ave - ext,,Brockton,2301,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/25/24,8/25/24,9151825,6,Child Care Works,(508) 999-9930,Family Child Care
America's Little Angels,(508) 279-0111,buzzcurl@comcast.net,340 Pleasant Street,,Bridgewater,02324-2342,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Lisa Buzzell Curley,9/4/07,6/17/24,9142980,24,Child Care Works,(508) 999-9930,Large Group
Amo et Doceo Liberi Center,(508) 668-2660,lfitzkeon@aol.com,1 Glen Drive,,East Walpole,02032-1340,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Lisa M. Fitzgerald-McKeon,1/8/89,12/11/24,9158204,26,Child Care Works,(508) 999-9930,Large Group
"Anderson, Cheryl",(508) 824-0659,ca41987@icloud.com,41 Locust Street,,Berkley,02779-1505,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,9/11/94,9/18/24,9154287,8,Child Care Works,(508) 999-9930,Family Child Care
"Anderson, Claire",(508) 821-9121,ca1475@yahoo.com,30 DOVE ST,,East Taunton,02718-5134,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,12/1/98,4/1/25,9163575,8,Child Care Works,(508) 999-9930,Family Child Care
"Anderson, Henrietta",(781) 812-3776,greattalentsearlyacademyusa@gmail.com,81 Bay Street,,Taunton,2780,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,4/9/24,4/9/24,9137742,6,Child Care Works,(508) 999-9930,Family Child Care
"Andrade Pina, Jassica",(508) 818-3803,jahandrade@hotmail.com,36 Grove St,,Brockton,2301,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,10/28/24,10/28/24,9154232,6,Child Care Works,(508) 999-9930,Family Child Care
"Andrade, Deusa",(857) 318-3978,suzydeusa08@gmail.com,1154 Montello Street,,Brockton,2301,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,2/8/21,2/8/24,9138376,10,Child Care Works,(508) 999-9930,Family Child Care
"Andujar, Genosky",(617) 821-1209,gandujar90@gmail.com,9 robert rd,,Randolph,2368,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,2/6/22,2/6/25,9159944,8,Community Care for Kids,(617) 657-5305,Family Child Care
"Andujar, Greter",(857) 389-0103,greterandujar@gmail.com,"3 ESMOND STREET, APT #2",,Dorchester,2121,"500 Victory Road, Suite 2100, Quincy, MA 02171",,10/26/03,10/26/21,9091862,10,Child Care Choices of Boston,(617) 542-5437,Family Child Care
Angelo School,(508) 894-4501,carolmcgrath@bpsma.org,472 N MAIN ST,,Brockton,2301,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,7/20/20,7/20/22,9105151,100,Child Care Works,(508) 999-9930,Public School
Animal Crackers,(508) 699-7090,stacey.animalcrackers@gmail.com,211 Landry Avenue,,North Attleboro,2760,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Stacey Serdynski,10/5/15,1/12/23,9116410,76,Child Care Works,(508) 999-9930,Large Group
"Antony, Mary",(781) 447-3945,maryantony77@yahoo.com,53 Dorothy Road,,Whitman,02382-1436,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,6/29/11,6/29/23,9123521,8,Child Care Works,(508) 999-9930,Family Child Care
"Araque Villareal, Fanny E",(781) 853-8397,happyangels1821@hotmail.com,32 DORIS RD,1,Braintree,2184,"500 Victory Road, Suite 2100, Quincy, MA 02171",,2/19/09,2/19/24,9137655,10,Community Care for Kids,(617) 657-5305,Family Child Care
"Araujo de Rivera, Yeidy",(857) 302-9591,santanaangely1@gmail.com,78 Floyd st,Apt 2,Dorchester,2124,"500 Victory Road, Suite 2100, Quincy, MA 02171",,7/16/24,7/16/24,9160017,6,Child Care Choices of Boston,(617) 542-5437,Family Child Care
"Araujo Reilly de Liriano, Margarita",(857) 247-5105,margaritaroili203@gmail.com,"60 Woolson St, apartment 1",,Mattapan,2126,"500 Victory Road, Suite 2100, Quincy, MA 02171",,7/31/24,7/31/24,9136802,6,Child Care Choices of Boston,(617) 542-5437,Family Child Care
"Araujo, Aurea",(857) 266-7873,aureaaraujo910s@gmail.com,25 Taunton Ave,,Rockland,2370,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,1/4/24,1/4/24,9136912,6,Child Care Network,(508) 778-9470,Family Child Care
"Arauz Maklin, Karen",(857) 277-4337,karenarauzmacklin@yahoo.com,31 Leroy St #1,,Boston,2122,"500 Victory Road, Suite 2100, Quincy, MA 02171",,4/24/24,4/24/24,9141919,6,Child Care Choices of Boston,(617) 542-5437,Family Child Care
Arcadia Learning Academy,(774) 409-2891,arcadiaacademy3@gmail.com,48 Summer Street,,Taunton,2780,"500 Victory Road, Suite 2100, Quincy, MA 02171",Janetsy Sanchez,12/11/18,6/11/23,9121638,54,Child Care Works,(508) 999-9930,Large Group
Arcadia Learning Academy,(617) 825-7500,arcadialearninga1@yahoo.com,600 Columbia Road,,Dorchester,2125,"500 Victory Road, Suite 2100, Quincy, MA 02171",Shemeka Maxwell,6/11/12,5/21/24,9150006,41,Child Care Choices of Boston,(617) 542-5437,Large Group
Arcadia Learning Academy II,(508) 510-6004,arcadialearninga2@yahoo.com,15 Jonathan Drive,,Brockton,2301,"500 Victory Road, Suite 2100, Quincy, MA 02171",Sharon Jones,3/30/16,4/4/23,9118315,78,Child Care Works,(508) 999-9930,Large Group
"Arevalo, Maria",(781) 901-2337,fatima172011@gmail.com,11 Arthur Ave,,Quincy,2169,"500 Victory Road, Suite 2100, Quincy, MA 02171",,4/23/23,4/23/23,9116804,6,Community Care for Kids,(617) 657-5305,Family Child Care
"Arevalo, Mathisse",(781) 964-6782,mathissearevalo@gmail.com,46 Rose Way,,Holbrook,02343-1125,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,1/28/08,1/28/23,9112656,8,Child Care Works,(508) 999-9930,Family Child Care
"Arias de Martinez, Luisa",(210) 993-2802,elena04martinez1985@gmail.com,35 Kenberma Rd,,Boston,2124,"500 Victory Road, Suite 2100, Quincy, MA 02171",,12/8/24,12/8/24,9157358,6,Child Care Choices of Boston,(617) 542-5437,Family Child Care
"Arias De Mendez, Kenia Margarita",(857) 389-9440,keniamargarita02@hotmail.com,35 Astoria Street,,Mattapan,2126,"500 Victory Road, Suite 2100, Quincy, MA 02171",,9/25/16,9/25/22,9105185,8,Child Care Choices of Boston,(617) 542-5437,Family Child Care
"Arias Peguero, Solanyi",(617) 637-3547,solcastillo2009@gmail.com,"42 Neponset Ave, #2",,Hyde Park,2136,"500 Victory Road, Suite 2100, Quincy, MA 02171",,9/11/24,9/11/24,9149456,6,Child Care Choices of Boston,(617) 542-5437,Family Child Care
"Arias, Betsy",(781) 428-0701,betsybaez@hotmail.com,4 Mitchell Street,,Randolph,2368,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,5/27/24,5/27/24,9146559,6,Community Care for Kids,(617) 657-5305,Family Child Care
"Arias, Judith",(617) 404-5085,jca00559@gmail.com,679 Pond Street,,Weymouth,2190,"500 Victory Road, Suite 2100, Quincy, MA 02171",,11/24/22,11/24/22,9128762,6,Community Care for Kids,(617) 657-5305,Family Child Care
"Arias, Nonaliza",(781) 300-3952,lanona23151028@gmail.com,11 Mullane Ave,,Holbrook,2343,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,9/11/20,9/11/23,9127762,10,Child Care Works,(508) 999-9930,Family Child Care
"Armond, Alexandra",(774) 826-6746,alexandraarmond@yahoo.com,195 Hovendon Avenue,,Brockton,2302,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,6/15/16,6/19/22,9100207,10,Child Care Works,(508) 999-9930,Family Child Care
"Armstrong, Adrienne",(617) 851-1426,aarmstrong1228@gmail.com,263 HIGHLAND STREET,,Roxbury,2119,"500 Victory Road, Suite 2100, Quincy, MA 02171",,11/16/11,11/16/23,9129700,8,Child Care Choices of Boston,(617) 542-5437,Family Child Care
"Armstrong, Kimberly",(508) 404-9717,kimberly.armstrong920@gmail.com,40 Maple Street,,Plainville,02762-1944,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,4/20/99,4/20/23,9119094,8,Child Care Works,(508) 999-9930,Family Child Care
"Armstrong, Laura",(781) 826-3714,armstrongfam@hotmail.com,79 Olde Forge Rd,,Hanover,02339-2439,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,5/22/07,5/22/22,9097218,10,Child Care Network,(508) 778-9470,Family Child Care
"Arnold, Donna",(508) 472-9701,makpac@aol.com,865-867 West St,,Mansfield,02048-1156,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,12/15/91,11/26/22,9108687,10,Child Care Works,(508) 999-9930,Family Child Care
Arnone School,(508) 894-4257,susanecole@bpsma.org,135 BELMONT ST,,Brockton,2301,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,3/8/20,3/8/22,9100180,450,Child Care Works,(508) 999-9930,Public School
"Arrowsmith, Kimberley",(339) 832-0792,rkarrowsmith@aol.com,5 Winter Street,,Kingston,02364-1116,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,9/14/98,9/14/22,9103817,6,Child Care Network,(508) 778-9470,Family Child Care
"Arthur, Tracy",(508) 583-9161,harley97361@comcast.net,109 Norman Road,,Brockton,02302-1530,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/24/00,8/24/24,9147889,8,Child Care Works,(508) 999-9930,Family Child Care
Ashmont Nursery School,(617) 282-6063,director@ashmontnurseryschool.com,776 Washington St,,Boston,2124,"500 Victory Road, Suite 2100, Quincy, MA 02171",Edna Speller,9/16/93,5/2/23,9121595,15,Child Care Choices of Boston,(617) 542-5437,Large Group
