provider_name,phone,address,latitude,longitude,monitoring_reports
Flamboyan Mun. Carolina,787-276-7260,"Carr 860 Km 1.1 BO Martín González Carolina, PR 00983",18.371559,-65.980879,"[{'year': '2022', 'url': '/../docproveedores/Resultado-Flamboyan-Mun-de-Carolina-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Flamboyan-2023.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024 Flamboyan Mun. Carolina.pdf'}]"
Child Care Fajardo,787-863-4013,"Urb Veve Calzada Calle 17 Lote 48 Fajardo, PR 00738",18.32579,-65.65238,"[{'year': '2021', 'url': '/../docproveedores/Centro-Child-Care-Fajardo-2021.pdf'}, {'year': '2022', 'url': '/../docproveedores/Resultado-Child-Care-Fajardo-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Fajardo-Child-Care-2023.pdf'}]"
Centro De Cuido Ilán Ilán,787-257-1690,"Calle San Francisco Esq Bernardo García Edif Portales Carolina, PR 00986",18.3830589,-65.9584561,"[{'year': '2021', 'url': '/../docproveedores/Centro-de-Cuido-Ilan-Ilan-2021.pdf'}, {'year': '2022', 'url': '/../docproveedores/Centro-de-Cuido-Ilan-Ilan-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Ilan-Ilan-2023.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024 Ilan Ilan Mun. Carolina.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024-ILAN_ILAN_CCD_MUN_CAROLINA.pdf'}]"
CCDN Chikitines,787-356-5710 / 787-878-4880,"Carr 492 Km 4.2 BO Hato Tejas Arecibo, PR 00612",18.47245,-66.71573,"[{'year': '2022', 'url': '/../docproveedores/Resultado-Chikitines-2022-Arecibo.pdf'}, {'year': '2023', 'url': '/../docproveedores/Chikitines-2023.pdf'}]"
"Centro Educativo Juego, Exploro y Aprendo",787-395-7918,"Calle Dr. Pio Rechani Final Aguas Buenas, PR 00703",18.2569,-66.10294,"[{'year': '2022', 'url': '/../docproveedores/Juego-Exploro-y-Aprendo-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Juego-Exploro-y-Aprendo-2023.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024-CENTRO EDUCATIVO JUEGO EXPLORO Y APRENDO.pdf'}]"
Jardín Infantil 1,787-732-5811,"Calle Del Carmen Final Aguas Buenas, PR 00703",18.2569,-66.10294,"[{'year': '2021', 'url': '/../docproveedores/Centro-Jardin-Infantil-I-2021.pdf'}, {'year': '2022', 'url': '/../docproveedores/Jardin-Infantil-I-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Jardin-Infantil-I-2023.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024-CENTRO JARDIN INFANTIL I.pdf'}]"
Jardín Infantil 2,787-732-5810,"Carr #173 Km 7.8 BO Sumidero Aguas Buenas, PR 00703",18.21857,-66.12878,"[{'year': '2021', 'url': '/../docproveedores/Centro-Jardin-Infantil-II-2021.pdf'}, {'year': '2022', 'url': '/../docproveedores/Jardin-Infantil-II-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Jardin-Infantil-II-2023.pdf'}]"
Leopoldo Figueroa Cotto,,"Bayamón, PR 00961",0,0,"[{'year': '2021', 'url': '/../docproveedores/Leopoldo-Figueroa-Cotto-2021.pdf'}, {'year': '2023', 'url': '/../docproveedores/Leopoldo-Figueroa-Cotto-2023.pdf'}]"
CCD Aprendizaje My First School,787-530-6790,"Carr 860 Km 1.1 Bo. Martín González Carolina, PR 00978",18.371885,-65.98105,"[{'year': '2021', 'url': '/../docproveedores/CCD-Aprendizaje-My-First-School-2021.pdf'}, {'year': '2022', 'url': '/../docproveedores/My-First-School-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Resultado-CCD-Aprendizaje-My-First-School-2023.pdf'}]"
Carmen Rivera Villedas,,"Fajardo, PR 00738",18.3313173,-65.6550257,"[{'year': '2022', 'url': '/../docproveedores/Carmen-Rivera-Villedas-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Carmen-Rivera-Villedas-2023.pdf'}]"
Centro De Cuido y Desarrollo Infantil San Patricio,787-775-0088,"Urb Parkside B-20 Calle 2 Guaynabo, PR 00968",18.41576,-66.105852,"[{'year': '2022', 'url': '/../docproveedores/CCD-Infantil-San-Patricio-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Centro-de-Cuido-y-Desarrollo-Infantil-San-Patricio-2023.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024-DesarrolloInfantil_San_Patricio_-_San_Juan.pdf'}]"
Centro Querubines,787-558-2014 / 787-845-2981,"Bda. Felicia Calle Elifaz Ostaloza #1 Santa Isabel, PR 00757",17.966613,-66.400542,"[{'year': '2021', 'url': '/../docproveedores/Centro-Querubines-2021.pdf'}, {'year': '2022', 'url': '/../docproveedores/Centro-Querubines-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Resultado-Mis-Querubines-Day-Care-and-Learning-Center-Corp-2023.pdf'}]"
Sueño De Amor,787-558-2014,"BO Peñuelas Calle Homero Ortiz #81 Santa Isabel, PR 00757",18.009457,-66.351002,"[{'year': '2021', 'url': '/../docproveedores/Centro-Sueno-de-Amor-2021.pdf'}, {'year': '2022', 'url': '/../docproveedores/Centro-Sueno-de-Amor-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Resultado-Sueño-de-Amor-Santa-Isabel-2023.pdf'}]"
Ciudad Del Niño,787-730-1910 / 787-730-0808,"Carr. 840 Km 4.1 Sec. La Aldea Bayamón, PR 00960",18.366772,-66.175604,"[{'year': '2021', 'url': '/../docproveedores/Ciudad-del-Niño-2021.pdf'}, {'year': '2022', 'url': '/../docproveedores/Ciudad-del-Nino-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Resultado-CIUDAD-DEL-NIÑO-2023.pdf'}]"
Colegio Sonifel,787-801-6498 / 787-863-3553,"Calle Diego Zalduardo 312 Fajardo, PR 00738",18.317765,-65.66454,"[{'year': '2021', 'url': '/../docproveedores/Colegio-Sonifel-2021.pdf'}, {'year': '2022', 'url': '/../docproveedores/Colegio-Sonifel-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Colegio-Sonifel-2023.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024-COLEGIO SONIFEL.pdf'}]"
Cuido Corazoncito,787-731-7838 / 787-453-0430,"BO Caimito Carr 842 Km 4.9 San Juan, PR 00926",18.321249,-66.072272,"[{'year': '2021', 'url': '/../docproveedores/Resultado-Corazoncito-2021.pdf'}, {'year': '2022', 'url': '/../docproveedores/Cuido-Corazoncito-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Resultado-Corazoncito-2023.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024-Cuido Corazoncito.pdf'}]"
Escuela Mariposa Montesorri,787-883-1884 / 787-792-6596,"Urb Santa Rita Calle 3 Bloq A Vega Alta, PR 00692",18.411168,-66.323444,"[{'year': '2022', 'url': '/../docproveedores/Esc-Mariposa-Montessori-2022.pdf'}]"
Flamingo Hills Mun. Bayamón,787-779-2157 / 787-730-1910,"Urb Flamingo Hills II Calle 6 Final Bayamón, PR 00957",18.392385,-66.18441,"[{'year': '2021', 'url': '/../docproveedores/Flamingo-Hills-Mun-Bayamon-2021.pdf'}, {'year': '2022', 'url': '/../docproveedores/Flamingo-Hills-Mun-Bay-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/FLAMINGO-HILLS-2023.pdf'}]"
Fundesco,787-502-8638,"BO Honduras Carr 14 Ramal 7730 Km 1.5 Cidra, PR 00739",18.154921,-66.209885,"[{'year': '2021', 'url': '/../docproveedores/Caritas-FUNDESCO-2021.pdf'}, {'year': '2022', 'url': '/../docproveedores/Fundesco-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Caritas-FUNDESCO-2023.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024-FUNDESCO.pdf'}]"
CCDN Little Einstein,787-454-4489 / 787-554-8604,"Ave Diego 456 Esq Andres García Arecibo, PR 00612",18.4507,-66.6983,"[{'year': '2022', 'url': '/../docproveedores/Little-Einstein-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Resultado-Little-Einstein-Arecibo-2023.pdf'}]"
Mundo Mágico,787-552-8180 / 787-205-7782,"Carr 153 Km 9.6 Local 1 Santa Isabel, PR 00757",17.9912,-66.3955,"[{'year': '2021', 'url': '/../docproveedores/REPORTE-Mundo-Magico.pdf'}, {'year': '2022', 'url': '/../docproveedores/Mundo-Magico-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Mundo-Magico-2023.pdf'}]"
Nilsa Sánchez Meléndez,,"Rio Grande, PR 00745",0,0,"[{'year': '2021', 'url': '/../docproveedores/Resultado-Ronda de Niños-2021.pdf'}, {'year': '2022', 'url': '/../docproveedores/Nilsa-Sanchez-Melendez-2022.pdf'}]"
Ronda De Niños,787-862-4116,"Carr 155 Km 47.9 Ave Buena Vista Morovis, PR 00687",18.32578,-66.40656,"[{'year': '2023', 'url': '/../docproveedores/Ronda-de-Ninos-2023.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024 Ronda de Niños - Morovis.pdf'}]"
Sonia Beyley Rosario,,"Luquillo, PR 00773",18.3388,-65.7172171,"[{'year': '2022', 'url': '/../docproveedores/Sonia-Beyley-Rosario-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Sonia-Beyley-Rosario-2023.pdf'}]"
Wise People School Day Care,787-457-0764,"Urb Hermanas Davila Ave Betancces #199 Bayamon, PR 00959",18.3871,-66.159,"[{'year': '2022', 'url': '/../docproveedores/Wise-People-School-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/WISE-PEOPLE-SCHOOL-2023.pdf'}]"
Giselle Morales Rodriguez,,"Gurabo, PR 00778",18.2591,-65.9746,"[{'year': '2022', 'url': '/../docproveedores/Giselle-Morales-Rodriguez-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Gisel-Morales-Rodriguez-2023.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024-Giselle Morales-H.L..pdf'}]"
"Maternelle, INC",787-777-1107,"Cond Atrium Plaza Local 2 San Juan, PR 00926",18.4191,-66.0623,"[{'year': '2021', 'url': '/../docproveedores/Maternelle-Inc-2021.pdf'}, {'year': '2023', 'url': '/../docproveedores/Maternelle-2023.pdf'}, {'year': '2024', 'url': '/../docproveedores/5-2024- MATERNELLE.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024-Maternelle.pdf'}]"
Stephanie Nicol Guzmán Dávila,,"Bayamón, PR 00961",0,0,"[{'year': '2023', 'url': '/../docproveedores/Stephanie-N-Guzman-Davila-2023.pdf'}]"
Col Puertorriqueño Marinel Inc,787-795-7130,"Calle Jose Schwarthzkoff HG-64, 65 y 66, Levitown Toa Baja, PR 00949",18.4508307,-66.1809679,"[{'year': '2021', 'url': '/../docproveedores/Resultado-Col-Puertorriqueno-Marinel-Inc-2021.pdf'}, {'year': '2023', 'url': '/../docproveedores/Colegio-Puertorriqueno-Marinel-2023.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024 Colegio Puertorriqueño Marinel.pdf'}]"
Angelitos Brillantes I,787-736-0695,"Calle Luis Muños Rivera #164 San Lorenzo, PR 00754",18.1876,-65.9624,"[{'year': '2021', 'url': '/../docproveedores/Resultado-Mis-Angelitos-Brillantes-I-2021.pdf'}, {'year': '2022', 'url': '/../docproveedores/REPORTE-MIS-ANGELITOS-BRILLANTES-I.pdf'}, {'year': '2023', 'url': '/../docproveedores/Angelitos-Brillantes-I-2023.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024-Angelitos Brillantes I-San Lorenzo.pdf'}]"
Angelitos Brillantes II,787-943-3291,"BO Espino Carr 181 Ramal 745 San Lorenzo, PR 00754",18.4319,-66.1997,"[{'year': '2021', 'url': '/../docproveedores/Resultado-Mis-Angelitos-Brillantes-II-2021.pdf'}, {'year': '2022', 'url': '/../docproveedores/REPORTE-MIS-ANGELITOS-BRILLANTES-II.pdf'}, {'year': '2023', 'url': '/../docproveedores/Angelitos-Brillantes-II-2023.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024-ANGELITOS BRILLANTES  II San Lorenzo.pdf'}]"
Ana A Galarza Cordero,,"Moca, PR 00676",18.0352547,-66.8487055,"[{'year': '2021', 'url': '/../docproveedores/Resultado-Ana-A-Galarza-Cordero-2021.pdf'}, {'year': '2022', 'url': '/../docproveedores/Ana-A-Galarza-Cordero-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Ana-A-Galarza-Cordero-2023.pdf'}]"
Lil Explorer Academia La Milagrosa,787-738-4545,"Carr 171 Km 7.4 BO Rincón Cayey, PR 00736",18.11191,-66.166,"[{'year': '2021', 'url': '/../docproveedores/Resultado-Lil-Explorer-Academia-La-Milagrosa-2021.pdf'}, {'year': '2022', 'url': '/../docproveedores/Resultado-Lil-Explorer-Academia-La-Milagrosa-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Lil-Explorer-2023.pdf'}]"
Montessori House LLC,787-294-6471 / 787-905-0730,"Urb. El Paraiso Calle Parana #1611 San Juan, PR 00926",18.3694,-66.0628,"[{'year': '2022', 'url': '/../docproveedores/Resultado-Montessori-House-LLC-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Montessori-House-LLC-2023.pdf'}]"
CCD Mi Pequeño Corazón,787-261-6473 / 787-616-9249,"Urb. Levittown HN-39 Ave Gregorio Ledesma, Toa Baja, PR 00949",18.4319,-66.1997,"[{'year': '2023', 'url': '/../docproveedores/Mi-Pequeno-Corazon-2023.pdf'}]"
CCD Mi Paraíso Infantil,787-784-0769,"Levittown, 7ma Sección, HF-8 Calle Antonio Paoli Toa Baja, PR 00949",18.4319,-66.1997,"[{'year': '2021', 'url': '/../docproveedores/REPORTE-CCD-Mi-Paraiso-Infantil.pdf'}, {'year': '2023', 'url': '/../docproveedores/Resultado-Paraiso-Infantil-2023-Aguadilla.pdf'}]"
Mi Sueño,787-898-3601,"Carr. 119 Bo. Puente Sector Zanjas Camuy, PR 00627",18.4779,-66.8548,"[{'year': '2021', 'url': '/../docproveedores/REPORTE-Mi-Sueno.pdf'}, {'year': '2023', 'url': '/../docproveedores/Resultado-Mi Sueño-Camuy 2023.pdf'}]"
Esquilin Mangual,787-743-7336,"Urb. Bairoa BZ-4 Calle 1 Caguas, PR 00725",18.213,-66.058,"[{'year': '2021', 'url': '/../docproveedores/REPORTE-Esquilin-Mangual.pdf'}, {'year': '2023', 'url': '/../docproveedores/Resultado-Mi-Sueño-Camuy-2023.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024-ESQUILIN MANGUAL 2024.pdf'}]"
Leslie V. Cruz Pacheco,,"Santa Isabel, PR 00757",0,0,"[{'year': '2021', 'url': '/../docproveedores/REPORTE-Leslie-V.-Cruz-Pacheco.pdf'}, {'year': '2022', 'url': '/../docproveedores/Resultado-Leslie-V-Cruz-Pacheco-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Informe-de-Resultados-de-Hallazgos-Leslie-V.-Cruz-2023-1.pdf'}]"
Ruaj’s Day Care &amp; Preschool,787-529-7843,"Bo. Ortiz Plaza Los Palacios Local E6 Toa Alta, PR 00953",0,0,"[{'year': '2021', 'url': '/../docproveedores/REPORTE-Ruajs-Day-Care-and-Pre-School.pdf'}, {'year': '2024', 'url': ""/../docproveedores/2024-ruaj's-day-care.pdf""}]"
Mi pequeño Angelito,787-292-1842,"Ciudad Universitaria U-27 Carr 846 Trujillo Alto, PR 00976",18.3542408,-66.007377,"[{'year': '2021', 'url': '/../docproveedores/REPORTE-Mi-Pequeno-Angelito.pdf'}, {'year': '2023', 'url': '/../docproveedores/CCD-MI-PEQUENO-ANGELITO-2023.pdf'}]"
CDI Emmanuel -Roosevelt,787-763-7704,Urb. Roosevelt #370 Calle Rafael Lamar Hato Rey,18.3852,-66.072,"[{'year': '2021', 'url': '/../docproveedores/REPORTE-Centro-Desarrollo-Inf.-Emmanuel.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024-Centro Desarrollo Inf Emmanuel.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024-cdi-emmanuel-roosvelt.pdf'}]"
Colegio Mi Segundo Hogar,787-754-7682,"Urb. El Vedado 404 Ave. Hostos San Juan, Puerto Rico 00918",18.46633,-66.10572,"[{'year': '2021', 'url': '/../docproveedores/REPORTE-Colegio-Mi-Segundo-Hogar.pdf'}, {'year': '2023', 'url': '/../docproveedores/Resultado-Colegio-Mi-Segundo-Hogar-2023.pdf'}]"
Mi nueva casita inc,787-793-4112 / 787-642-7880,"Urb. Altamesa 1427 Calle San Ignacio San Juan, PR 00921",18.3904,-66.0661,"[{'year': '2021', 'url': '/../docproveedores/REPORTE-Mi-Nueva-Casita.pdf'}, {'year': '2022', 'url': '/../docproveedores/MI-NUEVA-CASITA-INC-2022.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024-Mi_Nueva_Casita.pdf'}]"
Little Hands Day Care,787-415-2574 / 939-625-4505,"Urb. El Vedado #514 Ave. Hostos Hato Rey, San Juan, PR 00917",18.4191,-66.0623,"[{'year': '2021', 'url': '/../docproveedores/REPORTE-Little-Hands-Day-Care.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024-Little Hands Day Care.pdf'}]"
Nathalia Méndez Sosa,,"Carolina, PR 00985",18.3808516,-65.9570244,"[{'year': '2021', 'url': '/../docproveedores/REPORTE-Nathalia-Mendez-Sosa.pdf'}]"
Lourdes Ortiz Roldan,,"Cidra, PR 00739",18.176424,-66.158947,"[{'year': '2021', 'url': '/../docproveedores/REPORTE-Lourdes-Ortiz-Roldan.pdf'}, {'year': '2023', 'url': '/../docproveedores/Resultado-Lourdes-Ortiz-Roldan-2023.pdf'}]"
Puerto Rico Steam Learning Center,787-503-8791,"Urb. San Gerardo Calle Atlanta Carr. 176 Km 1.2 San Juan, PR 00926",18.3694,-66.0628,"[{'year': '2021', 'url': '/../docproveedores/REPORTE-Puerto-Rico-Steam-Learning-Center.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024-PR Steam Learning.pdf'}]"
Watch Me Grow,787-720-4940,"Ave. Bucaré 2052 Calle Turquesa, Guaynabo, PR 00969",18.379898,-66.056491,"[{'year': '2021', 'url': '/../docproveedores/REPORTE-Watch-Me-Grow.pdf'}, {'year': '2022', 'url': '/../docproveedores/Resultado-Watch-Me-Grow-2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Watch-Me-Grow-2023.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024-watch-me-grow.pdf'}]"
Trópico,787-780-3463,"Urb. Los Almendros EA- 22 Calle Tilo, Bayamon, PR 00961",18.419368,66.160223,"[{'year': '2021', 'url': '/../docproveedores/REPORTE-Tropico.pdf'}, {'year': '2023', 'url': '/../docproveedores/Resultado- Tropico 2023.pdf'}]"
Evelyn Ortiz Concepción,,"Arecibo, PR 00612",18.470294,-66.72916,"[{'year': '2021', 'url': '/../docproveedores/REPORTE-Evelyn-E.-Ortiz-Concepcion.pdf'}, {'year': '2022', 'url': '/../docproveedores/REPORTE-Evelyn-Ortiz-Concepcion.pdf'}]"
Pasemisin Kids,787-201-3033,"Urb. Santa Juanita WR-1 Bayamon, PR 00956",18.357979,-66.164136,"[{'year': '2021', 'url': '/../docproveedores/REPORTE-Pasemisin-Kids.pdf'}, {'year': '2023', 'url': '/../docproveedores/Pasemisin-Kids-2023.pdf'}]"
Mommy s Day Care,787-251-5928,"Haciendas Del Norte Ave. Don Pelayo BB-21 Toa Baja, PR 00949",18.403132,-66.201368,"[{'year': '2021', 'url': '/../docproveedores/REPORTE-Mommys-Day-Care.pdf'}, {'year': '2022', 'url': '/../docproveedores/Resultado- Mommys Day Care 2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/Resultado-Mommy s Day Care 2023.pdf'}, {'year': '2024', 'url': '/../docproveedores/2024-mommys-day-care.pdf'}]"
Shalom School,787-768-9047,"Villa Carolina Bloq. 174 Casa 9 Calle 435 Carolina, PR 00983",18.408723,-65.956127,"[{'year': '2021', 'url': '/../docproveedores/REPORTE-Shalom-School.pdf'}, {'year': '2023', 'url': '/../docproveedores/Resultado-Shalom School 2023.pdf'}]"
Estación Infantil,787-602-3845,"Ave. Ana G. Méndez Carr. 176 Km. 1.1 San Juan, PR 00926",18.383126,-66.057211,"[{'year': '2021', 'url': '/../docproveedores/REPORTE-Estacion-Infantil.pdf'}, {'year': '2022', 'url': '/../docproveedores/Resultado- Estacion Infantil 2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/RESULTADOS-MONITORIA-DE-SALUD-Y-SEGURIDAD-ESTACION-INFANTIL-MAYO-DE-2023-1.pdf'}]"
Walking Kids Home Center,787-598-4341,"Urb. Pérez Morris 56 Calle Mayaguez Hato Rey, San Juan, PR 00917",18.412509,-66.049171,"[{'year': '2021', 'url': '/../docproveedores/REPORTE-Walking-Kids-Home-Center.pdf'}]"
Iazaira Otero Feliciano,939-456-3945,"Arecibo, PR 00612",18.449858,-66.753,"[{'year': '2021', 'url': '/../docproveedores/REPORTE-Desarrollo-del-Nino-Amanecer.pdf'}]"
CCD Pequeñas Manitas I,787-413-5762,"Urb. Los Maestro 485 Calle Luis Muñoz Souffornt San Juan, PR 00923",18.404634,-66.033272,"[{'year': '2021', 'url': '/../docproveedores/REPORTE-CCD-Pequenas-Manitas-I.pdf'}, {'year': '2022', 'url': '/../docproveedores/Resultado-  Pequeñas Manitas I 2022.pdf'}, {'year': '2023', 'url': '/../docproveedores/CCD PEQUEÑAS MANITAS 2023.pdf'}]"
