Program Name,Provider Enrollment Status,Program Phone,Program Email,Region,County,Shipping Street,Shipping City,Shipping State,Shipping Zip,Billing Street,Billing City,Billing State,Billing Zip,Account Record Type,GSQ Approved Step,License Number,License Issue Date,License Expiration Date,Capacity,Age Weeks Low,Age Months Low,Age Years Low,Age Years High,Program Type,
"GCLC-Little Bobcats","","(603) 466-5766","g_learning_center@hotmail.com","","","11 Bridge Street","Milan","NH","03588","","","","","Licensed Group Child Care Program","","","","","20","","","","","",""
"Gorham Community Learning Center","","(603) 466-5766","g_learning_center@hotmail.com","","","123 Main Street","Gorham","New Hampshire","03581","","","","","Licensed Group Child Care Program","Step 2","","","","39","","","","","",""
"Groveton Headstart","","(603) 636-2625","arideout@tccap.org","","","7 Preble Street","Groveton","New Hampshire","03582","","","","","Licensed Group Child Care Program","Step 3","","","","40","","","","","",""
"Lancaster Play and Learn Center","","(603) 788-4005","lpl03584@gmail.com","","","3 Cemetery Street","Lancaster","New Hampshire","03584","","","","","Licensed Group Child Care Program","Step 3","","","","49","","","","","",""
"Lincoln-Woodstock Community Child Care Center","","(603) 745-2200","lwcccc@myfairpoint.net","","","194 Pollard Road","Lincoln","New Hampshire","03251","","","","","Licensed Group Child Care Program","","","","","54","","","","","",""
"Little Busy Bodies Educational Child Care","","603-662-0330","littlebusybodies@gmail.com","","","152 Stark Road","Center Conway","NH","03813","","","","","Licensed Family Child Care Program","","","","","12","","","","","",""
"Little Hands, Big Dreams Childcare Center","","(603) 662-0131","k_gilmore15@hotmail.com","","","90 Odell Hill Road","Center Conway","New Hampshire","03813","","","","","Licensed Group Child Care Program","","","","","42","","","","","",""
"Littleton Head Start","","(603) 444-6022","kthomas@tccap.org","","","646 Union Street","Littleton","New Hampshire","03561","","","","","Licensed Group Child Care Program","Step 3","","","","44","","","","","",""
"Madison Preschool","","(603) 367-4614","madisonpreschool@yahoo.com","","","53 Conway Road","Madison","New Hampshire","03849","","","","","Licensed Group Child Care Program","","","","","16","","","","","",""
"Noah's Ark Day Care","","(603) 745-3279","jltamulonis@yahoo.com","","","31 Hanson Farm Road","Lincoln","New Hampshire","03251","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Sandwich Children's Center","","603-284-7014","","","","54 Maple Street","Center Sandwich","New Hampshire","03227","","","","","Licensed Group Child Care Program","","","","","50","","","","","",""
"Shining Lights Learning Center & Child Care At FCC","","(603) 444-7379","fccshininglightslearningcenter@gmail.com","","","189 Main Street","Littleton","New Hampshire","03561","","","","","Licensed Group Child Care Program","Step 1","","","","32","","","","","",""
"Small Connections","","(603) 447-3290","bjeanduchesne@gmail.com","","","149 Pleasant Street","Conway","New Hampshire","03818","","","","","Licensed Group Child Care Program","","","","","16","","","","","",""
"Sunnybrook Montessori School","","(603) 788-3884","director@sunnybrookmontessori.org","","","142 Main Street","Lancaster","New Hampshire","03584","","","","","Licensed Group Child Care Program","Step 2","","","","24","","","","","",""
"Tamworth Area Head Start","","(603) 323-9302","tamworthhs@tccap.org","","","448 White Mountain Highway","Tamworth","New Hampshire","03886","","","","","Licensed Group Child Care Program","Step 3","","","","20","","","","","",""
"Tamworth Village Homeschool","","603-323-6245","kdzenge@yahoo.com","","","101 Main Street","Tamworth","NH","03886","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"The Child-Care Express","","(603) 444-6334","csilvaferland@roadrunner.com","","","26 McBean Circle","Littleton","New Hampshire","03561","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"The Lilliputian School - White Mountain Highway Campus","","(603) 356-4464","melissa@thelilliputianschool.com","","","3470 White Mountain Highway","North Conway","NH","03860","","","","","Licensed Group Child Care Program","","","","","31","","","","","",""
"Tiny Tots Daycare","","603-315-6505","tinytots.ecovell@gmail.com","","","744 US Rt 3","Columbia","NH","03590","","","","","Licensed Family Child Care Program","","","","","8","","","","","",""
"Vaughan Learning Center","","(603) 356-5213","heather@vaughannh.com","","","2503 White Mountain Highway","North Conway","New Hampshire","03860","","","","","Licensed Group Child Care Program","Step 1","","","","120","","","","","",""
"White Mountains Learning Center","","603-884-1061","jjohnson@nhyouth.org","","","1 Wentworth Avenue","Gorham","NH","03581","","","","","Licensed Group Child Care Program","","","","","63","","","","","",""
"Whitefield Head Start","","(603) 837-3026","ncote@tccap.org","","","34 Jefferson Road","Whitefield","New Hampshire","03598","","","","","Licensed Group Child Care Program","Step 3","","","","18","","","","","",""
"Wildflowers Early Learning Center","","(603) 307-1008","amber@wildflowers-nh.com","","","65 Seavey St.","North Conway","NH","03860","","","","","Licensed Group Child Care Program","","","","","56","","","","","",""
"Woodsville Head Start","","(603) 747-4186","pallen@tccap.org","","","6 Church Street","Woodsville","New Hampshire","03785","","","","","Licensed Group Child Care Program","Step 3","","","","24","","","","","",""
