Program Name,Provider Enrollment Status,Program Phone,Program Email,Region,County,Shipping Street,Shipping City,Shipping State,Shipping Zip,Billing Street,Billing City,Billing State,Billing Zip,Account Record Type,GSQ Approved Step,License Number,License Issue Date,License Expiration Date,Capacity,Age Weeks Low,Age Months Low,Age Years Low,Age Years High,Program Type,
"Auburn Children's House, A Montessori School","","(603) 493-5825","info@auburnmontessori.com","","","78 Rockingham Road","Auburn","New Hampshire","03032","","","","","Licensed Group Child Care Program","","","","","30","","","","","",""
"B.A.S.E.","","(603) 387-7122","basegilmanton@gmail.com","","","1386 NH Route 140","Gilmanton IW","NH","03837","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"Back To Roots Learning Community Corp.","","(603) 833-5042","storybookelp@yahoo.com","","","16 Whitehall Road Suite 2","Rochester","NH","03867","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"Barnyard Buddies","","(603) 895-5455","lorrypr@aol.com","","","77 Chester Road","Fremont","New Hampshire","03044","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"Bearcamp Valley School & Children's Center","","(603) 323-8300","lsargent006@gmail.com","","","27 Durrell Road","Tamworth","New Hampshire","03886","","","","","Licensed Group Child Care Program","","","","","100","","","","","",""
"Beckam's Childcare","","(603) 507-8656","beckysantos1977@gmail.com","","","83 Cate Road","Barrington","NH","03825","","","","","Licensed Family Child Care Program","Step 2","","","","10","","","","","",""
"Becky's House Family Daycare","","603-830-3538","reba3@aol.com","","","17 Adam Drive","Hudson","New Hampshire","03051","","","","","Licensed Family Child Care Program","","","","","9","","","","","",""
"Bedford Montessori School","","(603) 627-9545","jessicaozner@bedfordmontessori.com","","","24 Tirrell Hill Road","Bedford","NH","03110","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"Beginning Discoveries Learning Center","","(603) 598-6310","bdlc@myfairpoint.net","","","292 Derry Road","Hudson","New Hampshire","03051","","","","","Licensed Group Child Care Program","","","","","88","","","","","",""
"Beginnings and Beyond","","(603) 329-0124","beginningsandbeyondelc@yahoo.com","","","320 Sandown Road","East Hampstead","New Hampshire","03826","","","","","Licensed Group Child Care Program","","","","","52","","","","","",""
"Being Kool After School and Preschool","","(603) 859-0200","beingkoolschool@gmail.com","","","7 Depot Road","New Durham","NH","03855","","","","","Licensed Group Child Care Program","","","","","39","","","","","",""
"Bertogli Family Day Care","","(603) 679-8200","jbertogli@comcast.net","","","221 Hedding Road","Epping","New Hampshire","03042","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"BGCCNH Andover","","(603) 268-9569","carter@nhyouth.org","","","6 School Street","Andover","New Hampshire","03216","","","","","Licensed Group Child Care Program","","","","","152","","","","","",""
"BGCCNH BELC","","(603) 409-6672","ebrough@nhyouth.org","","","24 Eastgate Park Drive","Belmont","New Hampshire","03220","","","","","Licensed Group Child Care Program","Step 3","","","","60","","","","","",""
"BGCCNH Belmont ASP","","(603) 455-6630","lparonto@nhyouth.org","","","26 Best Street","Belmont","New Hampshire","03220","","","","","Licensed Group Child Care Program","Step 2","","","","60","","","","","",""
"BGCCNH Bradley","","(603) 224-1061","emond@nhyouth.org","","","55 Bradley Street","Concord","New Hampshire","03301","","","","","Licensed Group Child Care Program","","","","","318","","","","","",""
"BGCCNH Christa McAuliffe","","(603) 224-1061","emond@nhyouth.org","","","17 North Spring Street","Concord","New Hampshire","03301","","","","","Licensed Group Child Care Program","","","","","212","","","","","",""
"BGCCNH Eastman","","(603) 410-5489","emond@nhyouth.org","","","15 Shawmut Street","Concord","New Hampshire","03301","","","","","Licensed Group Child Care Program","","","","","137","","","","","",""
"BGCCNH Elm Street","","(603) 224-1061","lparonto@nhyouth.org","","","478 Elm Street","Laconia","New Hampshire","03246","","","","","Licensed Group Child Care Program","","","","","90","","","","","",""
"BGCCNH Epsom","","(603) 268-9566","emond@nhyouth.org","","","282 Black Hall Road","Epsom","New Hampshire","03234","","","","","Licensed Group Child Care Program","","","","","80","","","","","",""
"BGCCNH Holderness","","(603) 268-9565","lparonto@nhyouth.org","","","19 School Road","Holderness","New Hampshire","03245","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"BGCCNH Lakes Region","","(603) 410-5278","lparonto@nhyouth.org","","","876 North Main Street","Laconia","New Hampshire","03246","","","","","Licensed Group Child Care Program","","","","","160","","","","","",""
"BGCCNH LELC","","(603) 409-6687","slancaster@nhyouth.org","","","22 Strafford Street, Unit #4","Laconia","New Hampshire","03246","","","","","Licensed Group Child Care Program","Step 3","","","","131","","","","","",""
"BGCCNH Mary Stuart Gile","","(603) 410-5184","emond@nhyouth.org","","","31 College Drive","Concord","New Hampshire","03301","","","","","Licensed Group Child Care Program","","","","","68","","","","","",""
"BGCCNH Penacook Elementary","","(603) 224-1061","jholmes@nhyouth.org","","","60 Village Street","Concord","NH","03301","","","","","Licensed Group Child Care Program","","","","","53","","","","","",""
"BGCCNH Pittsfield","","(603) 224-1061","carter@nhyouth.org","","","34 Bow St","Pittsfield","NH","03263","","","","","Licensed Group Child Care Program","","","","","44","","","","","",""
"BGCCNH Pleasant Street","","(603) 455-6631","lparonto@nhyouth.org","","","350 Pleasant St.","Laconia","New Hampshire","03246","","","","","Licensed Group Child Care Program","Licensed","","","","60","","","","","",""
"BGCCNH River's Edge","","(603) 409-6649","slancaster@nhyouth.org","","","126 Union Avenue","Laconia","New Hampshire","03246","","","","","Licensed Group Child Care Program","","","","","10","","","","","",""
"BGCCNH Suncook","","(603) 224-1061","emond@nhyouth.org","","","8 Whitten Street","Allenstown","New Hampshire","03275","","","","","Licensed Group Child Care Program","","","","","112","","","","","",""
"BGCCNH Sutton","","(603) 268-9563","carter@centralnhclubs.org","","","28 Newbury Road","Sutton","New Hampshire","03221","","","","","Licensed Group Child Care Program","","","","","52","","","","","",""
"BGCCNH Warner","","(603) 268-9561","carter@centralnhclubs.org","","","14 Church Street","Warner","New Hampshire","03278","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"BGCCNH Weare","","(603) 224-1061","carter@nhyouth.org","","","16 East Road","Weare","New Hampshire","03281","","","","","Licensed Group Child Care Program","","","","","250","","","","","",""
"BGCCNH Woodland Heights","","(603) 455-6632","lparonto@nhyouth.org","","","225 Winter Street","Laconia","New Hampshire","03246","","","","","Licensed Group Child Care Program","","","","","90","","","","","",""
"BGCCNH-Hopkinton","","(603) 224-1061","emond@nhyouth.org","","","194 Maple Street","Contoocook","New Hampshire","03229","","","","","Licensed Group Child Care Program","","","","","90","","","","","",""
"BGCCNNH at Richards Elementary","","603.224.1061","carter@nhyouth.org","","","21 School St","Newport","NH","03773","","","","","Licensed Group Child Care Program","","","","","30","","","","","",""
"BGCCNNH Penacook Community Center","","603-224-1061","emond@nhyouth.org","","","76 Community Drive","Concord","NH","03303","","","","","Licensed Group Child Care Program","","","","","91","","","","","",""
"Bird's Nest Day Care","","603-490-7988","birdsnestdaycare15@gmail.com","","","15 Chestnut Hill Drive","Londonderry","NH","03053","","","","","Licensed Family Child Care Program","","","","","6","","","","","",""
"Blue Heron School at SLNSC","","603-968-7036","jordy.gianforte@nhnature.org","","","23 Science Center Road","Holderness","New Hampshire","03245","","","","","Licensed Group Child Care Program","","","","","48","","","","","",""
"Blue Skies & Rainbows","","(603) 332-9695","tinabraman@yahoo.com","","","65 Summer Street","Rochester","New Hampshire","03867","","","","","Licensed Family Child Care Program","","","","","12","","","","","",""
"Blueberry Express Day Care Center","","(603) 435-6149","goodhue15@hotmail.com","","","8 Catamount Street","Pittsfield","New Hampshire","03263","","","","","Licensed Group Child Care Program","","","","","56","","","","","",""
"Blueberry Mountain Child Care","","(603) 863-7657","blueberrymt.cc@gmail.com","","","12 Springfield Road","Newport","New Hampshire","03773","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Boys & Girls - Highland Goffs Falls Extension","","(603) 625-5031","nstonge@bgcgm.org","","","2021 Goffs Falls Road","Manchester","New Hampshire","03104","","","","","Licensed Group Child Care Program","","","","","80","","","","","",""
"Boys & Girls Club of Greater Derry","","(603) 434-6695","jenc@derrybgclub.org","","","40 East Derry Road","Derry","New Hampshire","03038","","","","","License Exempt Facility","","","","","354","","","","","",""
"Boys and Girls Club of Central NH - Warner Early Learning Center","","(603) 224-1061","dthurston@nhyouth.org","","","49 West Main Street","Warner","NH","03278","","","","","Licensed Group Child Care Program","","","","","20","","","","","",""
"Boys and Girls Club of Manchester at Gossler Park Elementary","","(603) 625-5982","gbouch@mbgcnh.org","","","145 Parkside Ave","Manchester","NH","03102","","","","","Licensed Group Child Care Program","","","","","85","","","","","",""
"Bridgegap Learning Resource","","(318) 393-5928","bgrlearning@gmail.com","","","81b Waterman Street","Manchester","NH","03103","","","","","License Exempt Family Child Care Program","","","","","","","","","","",""
"Bright Beginnings Early Learning Center","","(603) 606-1256","bblearningnh@gmail.com","","","1461 Hooksett Road C1-C5","Hooksett","NH","03106","","","","","Licensed Group Child Care Program","","","","","89","","","","","",""
"Bright Horizons at Bedford","","(603) 472-5451","bedford@brighthorizons.com","","","54 Constitution Drive","Bedford","New Hampshire","03110","","","","","Licensed Group Child Care Program","","","","","141","","","","","",""
"Bright Horizons at Timberland","","(603) 681-6500","timbr@brighthorizons.com","","","200 Domain Drive","Stratham","New Hampshire","03885","","","","","Licensed Group Child Care Program","","","","","124","","","","","",""
"Bright House Early Learning Program and Childcare","","603-434-4974","bhearlylearning@gmail.com","","","79 Hovey Road","Londonderry","New Hampshire","03053","","","","","Licensed Family Child Care Program","","","","","9","","","","","",""
"Bright Ideas","","(603) 258-0074","sarah@brightideasnh.com","","","292 Route 101, Building D","Amherst","New Hampshire","03031","","","","","Licensed Group Child Care Program","","","","","15","","","","","",""
"Bright Village Early Education","","(603) 458-7684","info@bvearlyeducation.com","","","32 Stiles Road, Suite 101","Salem","NH","03079","","","","","Licensed Group Child Care Program","","","","","65","","","","","",""
"Bristol Recreation Advisory Council dba Tapply-Thompson Community Center","","(603) 744-2713","ldion@ttccrec.org","","","30 North Main Street","Bristol","New Hampshire","03222","","","","","License Exempt Facility","","","","","80","","","","","",""
"Brookline After School Program @ RMMS","","(603) 801-4802","brooklineasp@gmail.com","","","22 Milford Road","Brookline","New Hampshire","03033","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"Brookline After School Program At The Academy","","(603) 801-4802","brooklineasp@gmail.com","","","24 Townsend Hill Road","Brookline","New Hampshire","03033","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"Brown's Way Family Child Care","","(603) 731-8144","christinebarr73@gmail.com","","","55 Brown's Way","Henniker","New Hampshire","03242","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Busy Bees Child Care Center","","603-469-3800","busybees1284@gmail.com","","","1284 Route 120","Meriden","New Hampshire","03770","","","","","Licensed Group Child Care Program","","","","","19","","","","","",""
"Buzy Beez Child Care","","(603) 617-0498","buzybeez203@gmail.com","","","203 Peacham Road","Center Barnstead","NH","03225","","","","","Licensed Group Child Care Program","","","","","17","","","","","",""
"BVS Family and Child Enrichment Center","","(603) 905-9183","wdemers@bvsfamilyandchildcare.com","","","45 Commerce Way","Barrington","New Hampshire","03825","","","","","Licensed Group Child Care Program","Step 4","","","","115","","","","","",""
"CAPHR Head Start at Nashua Community College","","603-578-8935  Ext. 1437","snhschdev@caphr.org","","","505 Amherst St","Nashua","NH","03063","","","","","Licensed Group Child Care Program","","","","","18","","","","","",""
"CAPSC: Dover Bradley Early Education Center","","603.435.2500  x7002","ftrial@straffordcap.org","","","11 Towle Ave.","Dover","New Hampshire","03820","","","","","Licensed Group Child Care Program","Step 3","","","","18","","","","","",""
"CAPSC: Rochester Early Education Center","","(603) 285-9461","ftrial@straffordcap.org","","","150 Wakefield Street","Rochester","New Hampshire","03867","","","","","Licensed Group Child Care Program","Step 3","","","","92","","","","","",""
"Carriage Towne Kids","","(603) 347-5414","carriagetownekids@yahoo.com","","","43 Church Street Unit B","Kingston","New Hampshire","03848","","","","","Licensed Group Child Care Program","","","","","37","","","","","",""
"Casa dei Bambini Montessori Children's Center","","(603) 227-9300","casadeibambini@comcast.net","","","507 A South Street","Bow","New Hampshire","03304","","","","","Licensed Group Child Care Program","","","","","74","","","","","",""
"Cathy's Kiddy Corner FDC","","603-508-7104","slantroad@msn.com","","","60 Burns Road","Pelham","NH","03076","","","","","Licensed Family Child Care Program","","","","","6","","","","","",""
"CCBA Afterschool Program","","(603) 448-6477","sue.olmsted@joinccba.org","","","1 Campbell Street","Lebanon","New Hampshire","03766","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"Chapel School","","(603) 589-0545","director@chapelschool.org","","","3 Lutheran Drive","Nashua","New Hampshire","03063","","","","","Licensed Group Child Care Program","Step 2","","","","50","","","","","",""
"Charlotte Street Early Education and Care","","(603) 465-8795","lucinda.evans@gmail.com","","","#1 Charlotte Street","Nashua","New Hampshire","03064","","","","","Licensed Family Child Care Program","","","","","12","","","","","",""
"Chester Village Childcare and Preschool","","","kristina.toney402@gmail.com","","","184 Raymond Road","Chester","NH","03036","","","","","Licensed Group Child Care Program","","","","","56","","","","","",""
"Chesterbrook School of Natural Learning","","(603) 489-9776","sarah@csnaturallearning.com","","","232 Fremont Road","Chester","New Hampshire","03036","","","","","Licensed Group Child Care Program","","","","","24","","","","","",""
"Chestnut Christian Preschool & Kindergarten","","(603) 472-2709","lormiller@juno.com","","","219 Chestnut Hill Road","New Boston","New Hampshire","03070","","","","","Licensed Group Child Care Program","","","","","50","","","","","",""
"Child Guidance Early Learning Center","","(603) 625-1880","childguidance@comcast.net","","","75 Talbot Street","Manchester","New Hampshire","03109","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"Children In Motion","","(603) 743-3312","mahpez1@aol.com","","","274 County Farm Road","Dover","New Hampshire","03820","","","","","Licensed Group Child Care Program","","","","","56","","","","","",""
"Children's Center For Creative Learning - Bradford","","(603) 938-2546","childrenscenter13@gmail.com","","","57 West Main Street","Bradford","New Hampshire","03221","","","","","Licensed Group Child Care Program","","","","","41","","","","","",""
"Children's Center of The Upper Valley","","(603) 448-1615","l.heiser@ccuv.org","","","178 Mechanic Street","Lebanon","New Hampshire","03766","","","","","Licensed Group Child Care Program","Step 1","","","","95","","","","","",""
"Children's Early Learning Center","","(603) 232-3870","info@childrenselc.net","","","673 Weston Road","Manchester","New Hampshire","03103","","","","","Licensed Group Child Care Program","","","","","24","","","","","",""
"Children's Garden Family Daycare","","(603) 593-9259","bennettrindge@yahoo.com","","","81 Meadow View Road","Rindge","New Hampshire","03461","","","","","Licensed Family Child Care Program","","","","","9","","","","","",""
"Children's Winter Garden with White Wing School","","(603) 882-1041","chrisclanin@comcast.net","","","58 Lowell Street","Nashua","New Hampshire","03064","","","","","Licensed Group Child Care Program","","","","","100","","","","","",""
"ChildsPlace","","603.929.1976","jennifer.childsplace@gmail.com","","","105 Lafayette Road","Hampton Falls","NH","03844","","","","","Licensed Group Child Care Program","","","","","166","","","","","",""
"Circle Child Care","","(603) 736-3393","circlechildcare@gmail.com","","","41 Goboro Road","Epsom","New Hampshire","03234","","","","","Licensed Group Child Care Program","","","","","53","","","","","",""
"City of Franklin-Parks & Recreation","","(603) 934-2118","kalpers@franklinnh.org","","","12 Rowell Drive","Franklin","New Hampshire","03235","","","","","Licensed Group Child Care Program","","","","","185","","","","","",""
"Claremont's Best After School and Summer Camp","","603-543-7454","nimmakarate@gmail.com","","","140 North Street","Claremont","New Hampshire","03743","","","","","Licensed Group Child Care Program","","","","","80","","","","","",""
"Clubhouse Child Care Center","","(603) 434-7897","clubhouse@comcast.net","","","11 &13 Peabody Road","Derry","New Hampshire","03038","","","","","Licensed Group Child Care Program","","","","","58","","","","","",""
"Colorful Apples Learning Center","","(603) 623-0678","colorfulapples91@yahoo.com","","","91 Penacook Street","Manchester","New Hampshire","03104","","","","","Licensed Group Child Care Program","","","","","11","","","","","",""
"Colorful Apples Learning Center - Hooksett","","(603) 206-5420","colorfulapples91@yahoo.com","","","1249 Hookset Road","Hooksett","New Hampshire","03106","","","","","Licensed Group Child Care Program","","","","","56","","","","","",""
"Community Action Program Belknap-Merrimack Head start, Early Head Start and Childcare","","603-225-3295","jclewley@capbm.org","","","7 Fayette Street","Pittsfield","NH","03263","","","","","Licensed Group Child Care Program","","","","","9","","","","","",""
"Concord Early Enrichment Center","","(603) 224-3282","eecdirector@comcast.net","","","16 Chenell Drive","Concord","New Hampshire","03301","","","","","Licensed Group Child Care Program","","","","","65","","","","","",""
"Concord Head Start, Early Head Start And Community Child Care","","(603) 224-6492","ashea@capbm.org","","","67 Old Loudon Road","Concord","New Hampshire","03301","","","","","Licensed Group Child Care Program","Step 3","","","","145","","","","","",""
"Concord Karate Academy","","(603) 224-5425","info@cks-nh.com","","","89 Fort Eddy Road Suite 3","Concord","NH","03301","","","","","Licensed Group Child Care Program","","","","","25","","","","","",""
"Cotton Hill Day Care","","(603) 393-8116","holly528@icloud.com","","","179 Cotton Hill Road","Laconia","New Hampshire","03246","","","","","Licensed Family Child Care Program","","","","","9","","","","","",""
"Country Bear Preschool and Child Care","","(603) 880-6802","info@countrybearpreschool.com","","","1 Cutler Road","Hudson","New Hampshire","03051","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"Country Club for Kids","","(603) 895-2234","countryclubforkids@gmail.com","","","25 Spaulding Road","Fremont","New Hampshire","03044","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"Country Club for Kids II","","(603) 895-2234","countryclubforkids@gmail.com","","","48-50 Main Street","Fremont","New Hampshire","03044","","","","","Licensed Group Child Care Program","","","","","61","","","","","",""
"Country Kids Daycare","","603-755-3225","bailies3@roadrunner.com","","","24 Silver Street","Middleton","New Hampshire","03887","","","","","Licensed Family Child Care Program","","","","","15","","","","","",""
"Country Village Montessori School","","(603) 672-3882","cedbasket@aol.com","","","2 Overlook Drive","Amherst","New Hampshire","03031","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"Country Woods Family Child Care","","(603) 817-4302","countrywoodsfamilychildcare@yahoo.com","","","18 Hickory Hill Road","Epping","New Hampshire","03042","","","","","Licensed Family Child Care Program","Step 2","","","","12","","","","","",""
"Covered Bridge Montessori School","","603-529-0607","cristinavalente54@gmail.com","","","118 Center Rd","Weare","NH","03281","","","","","Licensed Group Child Care Program","","","","","12","","","","","",""
"Cozy Kids Child Care","","(603) 437-5437","cozykidsnh@gmail.com","","","3 Sanborn Road","Londonderry","New Hampshire","03053","","","","","Licensed Group Child Care Program","","","","","130","","","","","",""
"Create and Discover Learning Center","","(603) 894-5250","createandiscover@comcast.net","","","176 Main Street","Salem","New Hampshire","03079","","","","","Licensed Group Child Care Program","","","","","50","","","","","",""
"Create and Discover Learning Center","","(603) 894-7251","createma@comcast.net","","","196 Main Street","Salem","New Hampshire","03079","","","","","Licensed Group Child Care Program","","","","","75","","","","","",""
"Creative Imaginations Child Care Center","","(603) 672-4111","ciccdirectorm@gmail.com","","","108 Route 13","Brookline","New Hampshire","03033","","","","","Licensed Group Child Care Program","","","","","46","","","","","",""
"Creative Kids Preschool @ BYPC","","(603) 472-3894","mdonohue@bypc.org","","","155 Route 101","Bedford","New Hampshire","03110","","","","","Licensed Group Child Care Program","","","","","28","","","","","",""
"Creative Learning Program","","(603) 938-2546","childrenscenter13@gmail.com","","","163 Old Warner Road","Bradford","New Hampshire","03221","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"Creative Years Child Development and Learning Center","","603-880-7304","creativeyears30@gmail.com","","","30 Broad Street","Nashua","New Hampshire","03064","","","","","Licensed Group Child Care Program","","","","","235","","","","","",""
"Cross Road Children's Center","","(603) 749-4278","crossroadcc@gmail.com","","","18 French Cross Road","Dover","New Hampshire","03820","","","","","Licensed Group Child Care Program","Step 1","","","","81","","","","","",""
"Dagmar's Place","","603-826-3263","dagmarcongdon@yahoo.com","","","801 Meany Road","Charlestown","New Hampshire","03603","","","","","Licensed Group Child Care Program","","","","","14","","","","","",""
"Dartmouth Health Child Care Center - Lebanon","","6033086576","dhccclebanon@brighthorizons.com","","","1 Campbell Street","Lebanon","NH","03766","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"Dartmouth Hitchcock Medical Center Child Care","","(603) 650-9700","dhmc@brighthorizons.com","","","1 Medical Center Drive","Lebanon","New Hampshire","03756","","","","","Licensed Group Child Care Program","","","","","99","","","","","",""
"Dawn McDonald","","(603) 660-0744","dawnmcdonald738@gmail.com","","","28 Lufkin Rd Apt 3","Weare","NH","03281","","","","","License Exempt Family Child Care Program","","","","","3","","","","","",""
"DD's Daycare","","978-228-9018","dddaycare9@gmail.com","","","16 Hampton Street","Manchester","NH","03103","","","","","Licensed Group Child Care Program","","","","","32","","","","","",""
"Deb's Day Care","","603-826-5733","d.harvey29@comcast.net","","","44 Old Claremont Road","Charlestown","New Hampshire","03603","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Deb's Daycare","","(603) 793-2887","deary3isd@hotmail.com","","","10 Fisher Drive","Epping","New Hampshire","03042","","","","","Licensed Family Child Care Program","","","","","9","","","","","",""
"Debbie's Play Group","","603-882-4343","dpg174@hotmail.com","","","174 Robinson Road","Hudson","New Hampshire","03051","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Deborah Cloutier's Family Day Care","","(603) 432-0876","mom4evry1@msn.com","","","9 King Arthur Drive","Londonderry","New Hampshire","03053","","","","","Licensed Family Child Care Program","","","","","12","","","","","",""
"Deerfield Preschool","","(603) 463-6446","lori@deerfieldpreschool.com","","","24 Mountain View Road","Deerfield","New Hampshire","03037","","","","","Licensed Group Child Care Program","","","","","16","","","","","",""
"Derry Head Start","","(603) 216-8864","snhschdev@snhs.org","","","9 Crystal Avenue","Derry","New Hampshire","03038","","","","","Licensed Group Child Care Program","Step 3","","","","37","","","","","",""
"Derry Road KinderCare","","(603) 341- 0818","derryroad@kindercare.com","","","301 Derry Road","Hudson","NH","03051","","","","","Licensed Group Child Care Program","","","","","143","","","","","",""
"Dianne M. Pratt","","(603) 648-2216","diannebatchelderpratt@gmail.com","","","1607 Battle St","Webster","New Hampshire","03303","","","","","License Exempt Family Child Care Program","","","","","3","","","","","",""
"Discovery Child Enrichment Center","","(603) 334-6336","discoverychildec@hotmail.com","","","30 Rye Street","Portsmouth","New Hampshire","03801","","","","","Licensed Group Child Care Program","","","","","143","","","","","",""
"Discovery Club - Barron Elementary School","","(603) 894-7251","createandiscover@gmail.com","","","55 Butler Street","Salem","New Hampshire","03079","","","","","Licensed Group Child Care Program","","","","","75","","","","","",""
"Discovery Club - Lancaster Elementary School","","(603) 894-7251","createma@comcast.net","","","54 Millville Street","Salem","New Hampshire","03079","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"Donna Clarke's Family Day Care","","(603) 679-2771","donnamclarke1965@gmail.com","","","17 Sanborn Way","Brentwood","New Hampshire","03833","","","","","Licensed Family Child Care Program","","","","","9","","","","","",""
