Program Name,Provider Enrollment Status,Program Phone,Program Email,Region,County,Shipping Street,Shipping City,Shipping State,Shipping Zip,Billing Street,Billing City,Billing State,Billing Zip,Account Record Type,GSQ Approved Step,License Number,License Issue Date,License Expiration Date,Capacity,Age Weeks Low,Age Months Low,Age Years Low,Age Years High,Program Type,
"Dartmouth Health Child Care Center - Lebanon","","6033086576","dhccclebanon@brighthorizons.com","","","1 Campbell Street","Lebanon","NH","03766","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"Dartmouth Hitchcock Medical Center Child Care","","(603) 650-9700","dhmc@brighthorizons.com","","","1 Medical Center Drive","Lebanon","New Hampshire","03756","","","","","Licensed Group Child Care Program","","","","","99","","","","","",""
"Easterseals Gammon Academy at Lancaster","","(603) 788-0911","gcook@eastersealsnh.org","","","525 Prospect Street","Lancaster","New Hampshire","03584","","","","","Residential Child Care Program","","","","","24","","","","","",""
"Enfield Village After School Program","","603-304-9041","enfieldafterschool@yahoo.com","","","271 Route 4","Enfield","New Hampshire","03748","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"Explorations for the Young Child","","(603) 986-0225","explorationsfortheyoungchild@gmail.com","","","66 Main Street","Conway","New Hampshire","03818","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"Family Child Care of Madison","","603-367-9094","madisonfamilychildcare@gmail.com","","","571 East Madison Road","Madison","New Hampshire","03849","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Fit Kids Child Care at River Valley Club","","(603) 643-8650","fitkidsadmin@rivervalleyclub.com","","","14 Lafayette Street & 33 Morgan Drive","Lebanon","New Hampshire","03766","","","","","Licensed Group Child Care Program","","","","","248","","","","","",""
"Franconia Children's Center","","(603) 823-5643","fcc.execdirector@gmail.com","","","73 Main Street","Franconia","New Hampshire","03580","","","","","Licensed Group Child Care Program","","","","","76","","","","","",""
"Gale River Cooperative Preschool","","(603) 823-9995","galerivercoop@gmail.com","","","231 Gale River Road","Bethlehem","New Hampshire","03574","","","","","Licensed Group Child Care Program","","","","","36","","","","","",""
"GCLC - Little Huskies","","(603) 466-5766","g_learning_center@hotmail.com","","","169 Main Street","Gorham","NH","03581","","","","","Licensed Group Child Care Program","","","","","65","","","","","",""
"GCLC-Little Bobcats","","(603) 466-5766","g_learning_center@hotmail.com","","","11 Bridge Street","Milan","NH","03588","","","","","Licensed Group Child Care Program","","","","","20","","","","","",""
"Gorham Community Learning Center","","(603) 466-5766","g_learning_center@hotmail.com","","","123 Main Street","Gorham","New Hampshire","03581","","","","","Licensed Group Child Care Program","Step 2","","","","39","","","","","",""
"Groveton Headstart","","(603) 636-2625","arideout@tccap.org","","","7 Preble Street","Groveton","New Hampshire","03582","","","","","Licensed Group Child Care Program","Step 3","","","","40","","","","","",""
"Hampshire Cooperative Nursery School","","603-643-4640","director@hampshirecooperative.org","","","104 Lyme Road","Hanover","New Hampshire","03755","","","","","Licensed Group Child Care Program","","","","","29","","","","","",""
"Hanover Nursery School","","603-643-3315","","","","40 Valley Road Extension","Hanover","New Hampshire","03755","","","","","Licensed Group Child Care Program","","","","","32","","","","","",""
"Heather's Little Angels","","(603) 536-2332","alsgal72599@gmail.com","","","12 Yeaton Road, Suite C8","Plymouth","New Hampshire","03264","","","","","Licensed Group Child Care Program","","","","","28","","","","","",""
"Imaginations...A Child's Place","","(603) 476-8400","childsplace@roadrunner.com","","","903 Whittier Highway","Moultonborough","New Hampshire","03254","","","","","Licensed Group Child Care Program","","","","","59","","","","","",""
"Immersion Montessori School","","603-322-3556","operations@uvims.com","","","434 N. Main Street","West Lebanon","New Hampshire","03784","","","","","Licensed Group Child Care Program","","","","","66","","","","","",""
"Immersion Montessori School - Hanover Street","","(603) 322-3556","operations@uvims.com","","","139 Hanover Street","Lebanon","NH","03766","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"Immersion Montessori School - Mt. Lebanon","","(603) 322-3556","operations@uvims.com","","","5 White Ave","West Lebanon","NH","03784","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"Immersion Montessori School - Wonder Woods","","603-359-6630","operations@uvims.com","","","79 E. Wilder Road","West Lebanon","NH","03784","","","","","Licensed Group Child Care Program","","","","","58","","","","","",""
"Inter-Lakes Day Care Center And Nursery School","","(603) 279-8903","ildcc@metrocast.net","","","The Bixby House, 36 Lang Street","Meredith","New Hampshire","03253","","","","","Licensed Group Child Care Program","","","","","55","","","","","",""
"Karen's Kare","","(603) 787-6141","knorcross85@gmail.com","","","20 Willow Lane","North Haverhill","New Hampshire","03774","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Kelly's Little Friends Daycare","","(603) 523-8875","nhfriends111@yahoo.com","","","45 Grafton Turnpike Road","Canaan","New Hampshire","03741","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Kendal At Hanover 1 Early Learning Center","","(603) 643-7020","childcaredirector@kah.kendal.org","","","8 Cummings Road","Hanover","New Hampshire","03755","","","","","Licensed Group Child Care Program","","","","","32","","","","","",""
"Kidworks Learning Center","","(603) 279-6633","kidworkslc@gmail.com","","","37 Reservoir Road","Meredith","New Hampshire","03253","","","","","Licensed Group Child Care Program","","","","","88","","","","","",""
"La Petite Creche II","","603-643-0451","lapetitecreche@gmail.com","","","5 Summer Street","Hanover","New Hampshire","03755","","","","","Licensed Group Child Care Program","","","","","30","","","","","",""
"Lancaster Play and Learn Center","","(603) 788-4005","lpl03584@gmail.com","","","3 Cemetery Street","Lancaster","New Hampshire","03584","","","","","Licensed Group Child Care Program","Step 3","","","","49","","","","","",""
"Learn And Grow Preschool And Enrichment Classes","","(603) 989-5614","","","","55 Dartmouth College Highway","Haverhill","New Hampshire","03765","","","","","Licensed Group Child Care Program","","","","","8","","","","","",""
"Lincoln-Woodstock Community Child Care Center","","(603) 745-2200","lwcccc@myfairpoint.net","","","194 Pollard Road","Lincoln","New Hampshire","03251","","","","","Licensed Group Child Care Program","","","","","54","","","","","",""
"Little Antlers Learning Center","","(603) 536-3898","amurphy@midstatehealth.org","","","742 Tenney Mountain Highway","Plymouth","New Hampshire","03264","","","","","Licensed Group Child Care Program","","","","","97","","","","","",""
"Little Busy Bodies Educational Child Care","","603-662-0330","littlebusybodies@gmail.com","","","152 Stark Road","Center Conway","NH","03813","","","","","Licensed Family Child Care Program","","","","","12","","","","","",""
"Little Folks Day Care","","(603) 306-6058","bethlittlefolksdaycare@gmail.com","","","30 Shedd Street","Enfield","New Hampshire","03748","","","","","Licensed Family Child Care Program","","","","","16","","","","","",""
"Little Hands, Big Dreams Childcare Center","","(603) 662-0131","k_gilmore15@hotmail.com","","","90 Odell Hill Road","Center Conway","New Hampshire","03813","","","","","Licensed Group Child Care Program","","","","","42","","","","","",""
"Littleton Head Start","","(603) 444-6022","kthomas@tccap.org","","","646 Union Street","Littleton","New Hampshire","03561","","","","","Licensed Group Child Care Program","Step 3","","","","44","","","","","",""
"Lyme After School Program","","(603) 208-8303","megfryman77@gmail.com","","","35 Union Street","Lyme","New Hampshire","03768","","","","","Licensed Group Child Care Program","","","","","38","","","","","",""
"Lyme Nursery School","","(603) 795-4567","lnsdirector33@gmail.com","","","155 Dartmouth College Highway","Lyme","New Hampshire","03768","","","","","Licensed Group Child Care Program","","","","","36","","","","","",""
"Madison Preschool","","(603) 367-4614","madisonpreschool@yahoo.com","","","53 Conway Road","Madison","New Hampshire","03849","","","","","Licensed Group Child Care Program","","","","","16","","","","","",""
"Marie's Day Care","","(603) 530-1888","mariegcarson@gmail.com","","","137 Berry Farm Road","Alexandria","New Hampshire","03222","","","","","Licensed Family Child Care Program","","","","","16","","","","","",""
"Miss Amber's Daycare","","(603) 254-3904","amberjohnson1126@gmail.com","","","19 Page Street","Plymouth","New Hampshire","03264","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Montessori Discovery School of the Twin States","","603-667-8166","lebanonmontessori@aol.com","","","112 Etna Road","Lebanon","New Hampshire","03766","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"MPA at Campton:  Depot Street and Owl Street","","(603) 726-4950","ian.detamore@mpa.us","","","19 Owl Street and 32 Depot Street","Campton","New Hampshire","03223","","","","","Residential Child Care Program","","","","","35","","","","","",""
"MPA at Pike: The Hall Farm and Blake House","","(603) 353-9102","joe.michel@mpa.us","","","1977 and 2056 Mount Moosilauke Highway","Pike","New Hampshire","03780","","","","","Residential Child Care Program","","","","","26","","","","","",""
"MPA at Pike: The Mitchell House","","781-434-8582","joe.michel@mpa.us","","","2275 Mount Moosilauke Highway","Pike","New Hampshire","03780","","","","","Residential Child Care Program","","","","","10","","","","","",""
"MPA at Plymouth","","603-616-1644","rachel.umberger@mpa.us","","","350 Main Street","Plymouth","New Hampshire","03264","","","","","Residential Child Care Program","","","","","34","","","","","",""
"MPA at Rumney","","(603) 786-9216","rachel.umberger@mpa.us","","","1765 Route 25","Rumney","New Hampshire","03266","","","","","Residential Child Care Program","","","","","16","","","","","",""
"MPA at Warren","","603-764-9290","andrew.larvia@mpa.us","","","254 NH Route 25","Warren","New Hampshire","03279","","","","","Residential Child Care Program","","","","","12","","","","","",""
"Noah's Ark Day Care","","(603) 745-3279","jltamulonis@yahoo.com","","","31 Hanson Farm Road","Lincoln","New Hampshire","03251","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Pals & Paws LLC","","(603) 937-0284","funsullys@gmail.com","","","2 Clough St","Meredith","NH","03253","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"PB & J's Child Care and Learning Center","","(603) 744-0048","jasontinanorth@gmail.com","","","1420 Peaked Hill Road","Bristol","New Hampshire","03222","","","","","Licensed Group Child Care Program","","","","","48","","","","","",""
"Pemi Youth Center","","(603) 536-7264","mjdunn@pemiyouthcenter.org","","","111 Main Street","Plymouth","New Hampshire","03264","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"Piggyback Rides and Slippery Slides","","(603) 744-9448","piggybackridesbristol@gmail.com","","","12 Bristol Hill Road","Bristol","New Hampshire","03222","","","","","Licensed Group Child Care Program","","","","","80","","","","","",""
"Plymouth Area Head Start","","(603) 536-1393","jsolomon@tccap.org","","","258 Highland Street","Plymouth","New Hampshire","03264","","","","","Licensed Group Child Care Program","Step 3","","","","20","","","","","",""
"Plymouth State University Center for Young Children and Families","","(603) 535-2299","klsanders@plymouth.edu","","","35 Langdon Street","Plymouth","New Hampshire","03264","","","","","Licensed Group Child Care Program","","","","","75","","","","","",""
"SANDRA GANZEL","","(603) 365-0465","sandraganzel@yahoo.com","","","151 Beaverbrook Road","Campton","New Hampshire","03223","","","","","License Exempt Family Child Care Program","","","","","3","","","","","",""
"Sandwich Children's Center","","603-284-7014","","","","54 Maple Street","Center Sandwich","New Hampshire","03227","","","","","Licensed Group Child Care Program","","","","","50","","","","","",""
"Seeds to Trees Montessori","","857-526-5877","lenahart@me.com","","","24 Southmayd Street","Campton","New Hampshire","03223","","","","","Licensed Group Child Care Program","","","","","26","","","","","",""
"Shining Lights Learning Center & Child Care At FCC","","(603) 444-7379","fccshininglightslearningcenter@gmail.com","","","189 Main Street","Littleton","New Hampshire","03561","","","","","Licensed Group Child Care Program","Step 1","","","","32","","","","","",""
"Small Connections","","(603) 447-3290","bjeanduchesne@gmail.com","","","149 Pleasant Street","Conway","New Hampshire","03818","","","","","Licensed Group Child Care Program","","","","","16","","","","","",""
"Sunnybrook Montessori School","","(603) 788-3884","director@sunnybrookmontessori.org","","","142 Main Street","Lancaster","New Hampshire","03584","","","","","Licensed Group Child Care Program","Step 2","","","","24","","","","","",""
"Tamworth Area Head Start","","(603) 323-9302","tamworthhs@tccap.org","","","448 White Mountain Highway","Tamworth","New Hampshire","03886","","","","","Licensed Group Child Care Program","Step 3","","","","20","","","","","",""
"Tamworth Village Homeschool","","603-323-6245","kdzenge@yahoo.com","","","101 Main Street","Tamworth","NH","03886","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"Tata's Tots Home Day Care","","(603) 632-5857","daycaredoona@me.com","","","687 Route 4A","Enfield","New Hampshire","03748","","","","","Licensed Family Child Care Program","","","","","12","","","","","",""
"The Child-Care Express","","(603) 444-6334","csilvaferland@roadrunner.com","","","26 McBean Circle","Littleton","New Hampshire","03561","","","","","Licensed Family Child Care Program","","","","","17","","","","","",""
"The Lilliputian School - White Mountain Highway Campus","","(603) 356-4464","melissa@thelilliputianschool.com","","","3470 White Mountain Highway","North Conway","NH","03860","","","","","Licensed Group Child Care Program","","","","","31","","","","","",""
"The Montessori Children's School In Hanover","","(603) 643-2828","montessorihanovernh@gmail.com","","","67 Trescott Road","Etna","New Hampshire","03750","","","","","Licensed Group Child Care Program","","","","","49","","","","","",""
"The Village Preschool","","(603) 455-1067","plcpncurran@gmail.com","","","52 Main Street","Center Harbor","New Hampshire","03226","","","","","Licensed Group Child Care Program","","","","","14","","","","","",""
"Tiny Tots Daycare","","603-315-6505","tinytots.ecovell@gmail.com","","","744 US Rt 3","Columbia","NH","03590","","","","","Licensed Family Child Care Program","","","","","8","","","","","",""
"Twin River Children's Center","","(603) 298-7405","twinrivercc@gmail.com","","","76 Seminary Hill","West Lebanon","New Hampshire","03784","","","","","Licensed Group Child Care Program","","","","","48","","","","","",""
"Vaughan Learning Center","","(603) 356-5213","heather@vaughannh.com","","","2503 White Mountain Highway","North Conway","New Hampshire","03860","","","","","Licensed Group Child Care Program","Step 1","","","","120","","","","","",""
"Watch Me Grow","","(603) 236-2704","aldemers37@gmail.com","","","164 Blair Road","Campton","New Hampshire","03223","","","","","Licensed Family Child Care Program","","","","","8","","","","","",""
"White Mountain Montessori School","","(603) 536-2555","kelly@whitemountainmontessori.com","","","133 Mt. Prospect Road","Holderness","New Hampshire","03245","","","","","Licensed Group Child Care Program","","","","","28","","","","","",""
"White Mountains Learning Center","","603-884-1061","jjohnson@nhyouth.org","","","1 Wentworth Avenue","Gorham","NH","03581","","","","","Licensed Group Child Care Program","","","","","63","","","","","",""
"Whitefield Head Start","","(603) 837-3026","ncote@tccap.org","","","34 Jefferson Road","Whitefield","New Hampshire","03598","","","","","Licensed Group Child Care Program","Step 3","","","","18","","","","","",""
"Wild Roots Early Learning Center LLC","","(603) 707-2244","wildroots603@gmail.com","","","31 Lang Street","Meredith","NH","03253","","","","","Licensed Group Child Care Program","","","","","18","","","","","",""
"Wild Roots Learning Center","","603-304-9211","explore.wildrootslearning@gmail.com","","","47 Smith Hastings Road","Grantham","NH","03753","","","","","Licensed Group Child Care Program","","","","","14","","","","","",""
"Wildflowers Early Learning Center","","(603) 307-1008","amber@wildflowers-nh.com","","","65 Seavey St.","North Conway","NH","03860","","","","","Licensed Group Child Care Program","","","","","56","","","","","",""
"Woodsville Head Start","","(603) 747-4186","pallen@tccap.org","","","6 Church Street","Woodsville","New Hampshire","03785","","","","","Licensed Group Child Care Program","Step 3","","","","24","","","","","",""
